ENABLE,id,release_key,mst_event_id,criterion_type,criterion_value,criterion_count,unlock_criterion_type,unlock_criterion_value,unlock_criterion_count,group_key,mst_mission_reward_group_id,sort_order,destination_scene
e,event_kim_00001_1,202602020,event_kim_00001,DefeatBossCount,,1,__NULL__,,0,,kim_00001_mission_reward_01,1,Event
e,event_kim_00001_2,202602020,event_kim_00001,DefeatBossCount,,3,__NULL__,,0,,kim_00001_mission_reward_02,2,Event
e,event_kim_00001_3,202602020,event_kim_00001,DefeatBossCount,,5,__NULL__,,0,,kim_00001_mission_reward_03,3,Event
e,event_kim_00001_4,202602020,event_kim_00001,DefeatBossCount,,10,__NULL__,,0,,kim_00001_mission_reward_04,4,Event
e,event_kim_00001_5,202602020,event_kim_00001,DefeatBossCount,,15,__NULL__,,0,,kim_00001_mission_reward_05,5,Event
e,event_kim_00001_6,202602020,event_kim_00001,DefeatBossCount,,20,__NULL__,,0,,kim_00001_mission_reward_06,6,Event
e,event_kim_00001_7,202602020,event_kim_00001,DefeatBossCount,,25,__NULL__,,0,,kim_00001_mission_reward_07,7,Event
e,event_kim_00001_8,202602020,event_kim_00001,DefeatBossCount,,30,__NULL__,,0,,kim_00001_mission_reward_08,8,Event
e,event_kim_00001_9,202602020,event_kim_00001,DefeatBossCount,,35,__NULL__,,0,,kim_00001_mission_reward_09,9,Event
e,event_kim_00001_10,202602020,event_kim_00001,DefeatBossCount,,40,__NULL__,,0,,kim_00001_mission_reward_10,10,Event
e,event_kim_00001_11,202602020,event_kim_00001,DefeatBossCount,,45,__NULL__,,0,,kim_00001_mission_reward_11,11,Event
e,event_kim_00001_12,202602020,event_kim_00001,DefeatBossCount,,50,__NULL__,,0,,kim_00001_mission_reward_12,12,Event
e,event_kim_00001_13,202602020,event_kim_00001,DefeatBossCount,,55,__NULL__,,0,,kim_00001_mission_reward_13,13,Event
e,event_kim_00001_14,202602020,event_kim_00001,DefeatBossCount,,60,__NULL__,,0,,kim_00001_mission_reward_14,14,Event
e,event_kim_00001_15,202602020,event_kim_00001,DefeatBossCount,,65,__NULL__,,0,,kim_00001_mission_reward_15,15,Event
e,event_kim_00001_16,202602020,event_kim_00001,DefeatBossCount,,70,__NULL__,,0,,kim_00001_mission_reward_16,16,Event
e,event_kim_00001_17,202602020,event_kim_00001,DefeatBossCount,,75,__NULL__,,0,,kim_00001_mission_reward_17,17,Event
e,event_kim_00001_18,202602020,event_kim_00001,DefeatBossCount,,80,__NULL__,,0,,kim_00001_mission_reward_18,18,Event
e,event_kim_00001_19,202602020,event_kim_00001,DefeatBossCount,,85,__NULL__,,0,,kim_00001_mission_reward_19,19,Event
e,event_kim_00001_20,202602020,event_kim_00001,DefeatBossCount,,90,__NULL__,,0,,kim_00001_mission_reward_20,20,Event
e,event_kim_00001_21,202602020,event_kim_00001,DefeatBossCount,,95,__NULL__,,0,,kim_00001_mission_reward_21,21,Event
e,event_kim_00001_22,202602020,event_kim_00001,DefeatBossCount,,100,__NULL__,,0,,kim_00001_mission_reward_22,22,Event
e,event_kim_00001_23,202602020,event_kim_00001,SpecificQuestClear,quest_event_kim1_collection,1,__NULL__,,0,,kim_00001_mission_reward_23,23,Event
e,event_kim_00001_24,202602020,event_kim_00001,SpecificQuestClear,quest_event_kim1_story,1,__NULL__,,0,,kim_00001_mission_reward_24,24,Event
e,event_kim_00001_25,202602020,event_kim_00001,SpecificQuestClear,quest_event_kim1_challenge,1,__NULL__,,0,,kim_00001_mission_reward_25,25,Event
e,event_kim_00001_26,202602020,event_kim_00001,SpecificQuestClear,quest_event_kim1_savage,1,__NULL__,,0,,kim_00001_mission_reward_26,26,Event
e,event_kim_00001_27,202602020,event_kim_00001,DefeatEnemyCount,,10,__NULL__,,0,,kim_00001_mission_reward_27,27,Event
e,event_kim_00001_28,202602020,event_kim_00001,DefeatEnemyCount,,20,__NULL__,,0,,kim_00001_mission_reward_28,28,Event
e,event_kim_00001_29,202602020,event_kim_00001,DefeatEnemyCount,,30,__NULL__,,0,,kim_00001_mission_reward_29,29,Event
e,event_kim_00001_30,202602020,event_kim_00001,DefeatEnemyCount,,40,__NULL__,,0,,kim_00001_mission_reward_30,30,Event
e,event_kim_00001_31,202602020,event_kim_00001,DefeatEnemyCount,,50,__NULL__,,0,,kim_00001_mission_reward_31,31,Event
e,event_kim_00001_32,202602020,event_kim_00001,DefeatEnemyCount,,60,__NULL__,,0,,kim_00001_mission_reward_32,32,Event
e,event_kim_00001_33,202602020,event_kim_00001,DefeatEnemyCount,,70,__NULL__,,0,,kim_00001_mission_reward_33,33,Event
e,event_kim_00001_34,202602020,event_kim_00001,DefeatEnemyCount,,80,__NULL__,,0,,kim_00001_mission_reward_34,34,Event
e,event_kim_00001_35,202602020,event_kim_00001,DefeatEnemyCount,,90,__NULL__,,0,,kim_00001_mission_reward_35,35,Event
e,event_kim_00001_36,202602020,event_kim_00001,DefeatEnemyCount,,100,__NULL__,,0,,kim_00001_mission_reward_36,36,Event
e,event_kim_00001_37,202602020,event_kim_00001,DefeatEnemyCount,,150,__NULL__,,0,,kim_00001_mission_reward_37,37,Event
e,event_kim_00001_38,202602020,event_kim_00001,DefeatEnemyCount,,200,__NULL__,,0,,kim_00001_mission_reward_38,38,Event
e,event_kim_00001_39,202602020,event_kim_00001,DefeatEnemyCount,,300,__NULL__,,0,,kim_00001_mission_reward_39,39,Event
