asset_key,series,name_ja,role_pattern,stage_param_count,ingame_count
chara_dan_00002,dan,ターボババアの霊力 オカルン,Boss のみ,5,12
chara_dan_00202,dan,アクさらの愛 アイラ,Boss のみ,1,2
enemy_dan_00301,dan,アクロバティックさらさら,Boss のみ,4,5
enemy_glo_00101,glo,ボスファントム,Boss のみ,16,17
chara_gom_00001,gom,囚われの王女 姫様,Boss のみ,3,7
chara_gom_00101,gom,トーチャー・トルチュール,Boss のみ,7,6
enemy_gom_00301,gom,キュイ,Boss のみ,1,9
chara_jig_00201,jig,杠,Boss のみ,2,2
chara_jig_00601,jig,民谷 巌鉄斎,Boss のみ,1,3
enemy_jig_00501,jig,山田浅ェ門 源嗣,Boss のみ,2,2
chara_kai_00201,kai,第三部隊隊長 亜白 ミナ,Boss のみ,2,2
chara_kim_00001,kim,溢れる母性 花園 羽々里,Boss のみ,4,5
chara_mag_00001,mag,新人魔法少女 桜木 カナ,Boss のみ,5,7
chara_mag_00201,mag,絶対効率の体現者 土刃 メイ,Boss のみ,1,1
chara_mag_00301,mag,葵 リリー,Boss のみ,2,2
chara_mag_00401,mag,槇野 あかね,Boss のみ,2,2
enemy_mag_00401,mag,工事現場の怪異,Boss のみ,4,5
chara_osh_00501,osh,黒川あかね,Boss のみ,2,2
chara_spy_00501,spy,姉を想う盲愛 ユーリ・ブライア,Boss のみ,2,3
chara_you_00101,you,ルーク,Boss のみ,4,4
chara_yuw_00501,yuw,753♡,Boss のみ,3,6
enemy_kai_00101,kai,怪獣 余獣,Normal + AdventBattleBoss,17,24
chara_aka_00001,aka,佐々木,Normal + Boss,9,9
chara_aka_00101,aka,文蔵,Normal + Boss,8,10
chara_ara_00001,ara,灰（アラガネの子）,Normal + Boss,4,6
chara_chi_00001,chi,デンジ,Normal + Boss,4,5
chara_chi_00002,chi,悪魔が恐れる悪魔 チェンソーマン,Normal + Boss,5,4
chara_chi_00201,chi,早川 アキ,Normal + Boss,8,7
enemy_chi_00001,chi,ゾンビの悪魔,Normal + Boss,5,4
enemy_chi_00201,chi,コウモリの悪魔,Normal + Boss,7,6
chara_dan_00001,dan,オカルン,Normal + Boss,13,20
chara_dan_00101,dan,モモ,Normal + Boss,8,15
chara_dan_00201,dan,アイラ,Normal + Boss,3,4
chara_dan_00301,dan,招き猫 ターボババア,Normal + Boss,3,5
enemy_dan_00001,dan,セルポ星人,Normal + Boss,22,21
enemy_dan_00101,dan,セルポ星人 (変身),Normal + Boss,13,15
enemy_dan_00201,dan,ターボババア,Normal + Boss,6,14
chara_gam_00001,gam,祥龍院 隆子,Normal + Boss,5,6
enemy_glo_00001,glo,ファントム,Normal + Boss,148,177
enemy_glo_00002,glo,推し活ファントム,Normal + Boss,21,21
enemy_sur_00101,glo,醜鬼,Normal + Boss,20,41
chara_gom_00201,gom,クロル,Normal + Boss,4,7
chara_gom_00701,gom,カナッジ,Normal + Boss,3,2
enemy_gom_00401,gom,たこ焼きくん,Normal + Boss,5,10
enemy_gom_00701,gom,ラーメン,Normal + Boss,6,11
enemy_gom_01001,gom,あんぱん,Normal + Boss,7,10
enemy_gom_01002,gom,トーストあんぱん,Normal + Boss,6,10
chara_hut_00001,hut,ひたむきギタリスト 鳩野 ちひろ,Normal + Boss,12,16
chara_hut_00101,hut,幸山 厘,Normal + Boss,10,11
chara_hut_00201,hut,内田 桃,Normal + Boss,8,9
chara_hut_00301,hut,藤井 彩目,Normal + Boss,6,6
enemy_hut_00001,hut,鷹見 項希,Normal + Boss,4,3
chara_hyp_00001,hyp,ルーク,Normal + Boss,4,5
chara_jig_00001,jig,がらんの画眉丸,Normal + Boss,8,13
chara_jig_00101,jig,山田浅ェ門 佐切,Normal + Boss,6,13
chara_jig_00301,jig,山田浅ェ門 仙汰,Normal + Boss,3,3
chara_jig_00401,jig,賊王 亜左 弔兵衛,Normal + Boss,3,6
chara_jig_00501,jig,山田浅ェ門 桐馬,Normal + Boss,3,5
enemy_jig_00001,jig,門神,Normal + Boss,12,19
enemy_jig_00201,jig,門神 (大),Normal + Boss,3,7
enemy_jig_00301,jig,竈神 魚,Normal + Boss,11,21
enemy_jig_00601,jig,朱槿,Normal + Boss,3,4
chara_kai_00001,kai,日比野 カフカ,Normal + Boss,7,7
chara_kai_00002,kai,隠された英雄の姿 怪獣８号,Normal + Boss,7,7
chara_kai_00102,kai,識別怪獣兵器6 市川 レノ,Normal + Boss,2,2
chara_kai_00301,kai,四ノ宮 キコル,Normal + Boss,7,5
chara_kai_00401,kai,保科 宗四郎,Normal + Boss,4,4
chara_kai_00501,kai,四ノ宮 功,Normal + Boss,2,1
chara_kai_00601,kai,古橋 伊春,Normal + Boss,2,1
chara_kai_00701,kai,識別怪獣兵器1 鳴海 弦,Normal + Boss,2,2
enemy_kai_00201,kai,怪獣９号,Normal + Boss,9,8
chara_kim_00101,kim,花園 羽香里,Normal + Boss,11,13
chara_kim_00201,kim,院田 唐音,Normal + Boss,10,13
chara_kim_00301,kim,好本 静,Normal + Boss,7,10
chara_mag_00101,mag,越谷 仁美,Normal + Boss,4,6
enemy_mag_00001,mag,冷却系怪異,Normal + Boss,7,8
enemy_mag_00201,mag,建造物寄生型の怪異 (大),Normal + Boss,13,13
chara_osh_00001,osh,B小町不動のセンター アイ,Normal + Boss,13,15
chara_osh_00201,osh,星野 ルビー,Normal + Boss,8,7
