ENABLE,id,mst_advent_battle_id,reward_category,condition_value,release_key
e,quest_raid_jig1_reward_group_00001_01,quest_raid_jig1_00001,MaxScore,5000,202601010
e,quest_raid_jig1_reward_group_00001_02,quest_raid_jig1_00001,MaxScore,7500,202601010
e,quest_raid_jig1_reward_group_00001_03,quest_raid_jig1_00001,MaxScore,10000,202601010
e,quest_raid_jig1_reward_group_00001_04,quest_raid_jig1_00001,MaxScore,15000,202601010
e,quest_raid_jig1_reward_group_00001_05,quest_raid_jig1_00001,MaxScore,30000,202601010
e,quest_raid_jig1_reward_group_00001_06,quest_raid_jig1_00001,MaxScore,45000,202601010
e,quest_raid_jig1_reward_group_00001_07,quest_raid_jig1_00001,MaxScore,60000,202601010
e,quest_raid_jig1_reward_group_00001_08,quest_raid_jig1_00001,MaxScore,75000,202601010
e,quest_raid_jig1_reward_group_00001_09,quest_raid_jig1_00001,MaxScore,100000,202601010
e,quest_raid_jig1_reward_group_00001_19,quest_raid_jig1_00001,RaidTotalScore,500,202601010
e,quest_raid_jig1_reward_group_00001_20,quest_raid_jig1_00001,RaidTotalScore,5000,202601010
e,quest_raid_jig1_reward_group_00001_21,quest_raid_jig1_00001,RaidTotalScore,15000,202601010
e,quest_raid_jig1_reward_group_00001_22,quest_raid_jig1_00001,RaidTotalScore,20000,202601010
e,quest_raid_jig1_reward_group_00001_23,quest_raid_jig1_00001,RaidTotalScore,30000,202601010
e,quest_raid_jig1_reward_group_00001_24,quest_raid_jig1_00001,RaidTotalScore,40000,202601010
e,quest_raid_jig1_reward_group_00001_25,quest_raid_jig1_00001,RaidTotalScore,50000,202601010
e,quest_raid_jig1_reward_group_00001_26,quest_raid_jig1_00001,RaidTotalScore,60000,202601010
e,quest_raid_jig1_reward_group_00001_27,quest_raid_jig1_00001,RaidTotalScore,70000,202601010
e,quest_raid_jig1_reward_group_00001_28,quest_raid_jig1_00001,RaidTotalScore,80000,202601010
e,quest_raid_jig1_reward_group_00001_29,quest_raid_jig1_00001,RaidTotalScore,90000,202601010
e,quest_raid_jig1_reward_group_00001_30,quest_raid_jig1_00001,RaidTotalScore,100000,202601010
e,quest_raid_jig1_reward_group_00001_31,quest_raid_jig1_00001,RaidTotalScore,110000,202601010
e,quest_raid_jig1_reward_group_00001_32,quest_raid_jig1_00001,RaidTotalScore,120000,202601010
e,quest_raid_jig1_reward_group_00001_33,quest_raid_jig1_00001,RaidTotalScore,130000,202601010
e,quest_raid_jig1_reward_group_00001_34,quest_raid_jig1_00001,RaidTotalScore,140000,202601010
e,quest_raid_jig1_reward_group_00001_35,quest_raid_jig1_00001,RaidTotalScore,150000,202601010
e,quest_raid_jig1_reward_group_00001_36,quest_raid_jig1_00001,RaidTotalScore,160000,202601010
e,quest_raid_jig1_reward_group_00001_53,quest_raid_jig1_00001,Ranking,1,202601010
e,quest_raid_jig1_reward_group_00001_54,quest_raid_jig1_00001,Ranking,2,202601010
e,quest_raid_jig1_reward_group_00001_55,quest_raid_jig1_00001,Ranking,3,202601010
e,quest_raid_jig1_reward_group_00001_56,quest_raid_jig1_00001,Ranking,50,202601010
e,quest_raid_jig1_reward_group_00001_57,quest_raid_jig1_00001,Ranking,300,202601010
e,quest_raid_jig1_reward_group_00001_58,quest_raid_jig1_00001,Ranking,1000,202601010
