ENABLE,id,mst_advent_battle_reward_group_id,resource_type,resource_id,resource_amount,release_key
e,quest_raid_jig1_reward_01,quest_raid_jig1_reward_group_00001_01,FreeDiamond,prism_glo_00001,20,202601010
e,quest_raid_jig1_reward_02,quest_raid_jig1_reward_group_00001_02,Coin,,1500,202601010
e,quest_raid_jig1_reward_03,quest_raid_jig1_reward_group_00001_03,FreeDiamond,prism_glo_00001,30,202601010
e,quest_raid_jig1_reward_04,quest_raid_jig1_reward_group_00001_04,Coin,,3000,202601010
e,quest_raid_jig1_reward_05,quest_raid_jig1_reward_group_00001_05,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_jig1_reward_06,quest_raid_jig1_reward_group_00001_06,Coin,,4500,202601010
e,quest_raid_jig1_reward_07,quest_raid_jig1_reward_group_00001_07,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_jig1_reward_08,quest_raid_jig1_reward_group_00001_08,Coin,,6000,202601010
e,quest_raid_jig1_reward_09,quest_raid_jig1_reward_group_00001_09,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_reward_19,quest_raid_jig1_reward_group_00001_19,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_jig1_reward_20,quest_raid_jig1_reward_group_00001_20,Coin,,5000,202601010
e,quest_raid_jig1_reward_21,quest_raid_jig1_reward_group_00001_21,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_jig1_reward_22,quest_raid_jig1_reward_group_00001_22,Coin,,5000,202601010
e,quest_raid_jig1_reward_23,quest_raid_jig1_reward_group_00001_23,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_reward_24,quest_raid_jig1_reward_group_00001_24,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_reward_25,quest_raid_jig1_reward_group_00001_25,Coin,,5000,202601010
e,quest_raid_jig1_reward_26,quest_raid_jig1_reward_group_00001_26,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_reward_27,quest_raid_jig1_reward_group_00001_27,Item,box_glo_00003,10,202601010
e,quest_raid_jig1_reward_28,quest_raid_jig1_reward_group_00001_28,Coin,,5000,202601010
e,quest_raid_jig1_reward_29,quest_raid_jig1_reward_group_00001_29,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_reward_30,quest_raid_jig1_reward_group_00001_30,Coin,,5000,202601010
e,quest_raid_jig1_reward_31,quest_raid_jig1_reward_group_00001_31,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_jig1_reward_32,quest_raid_jig1_reward_group_00001_32,Coin,,5000,202601010
e,quest_raid_jig1_reward_33,quest_raid_jig1_reward_group_00001_33,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_reward_34,quest_raid_jig1_reward_group_00001_34,FreeDiamond,prism_glo_00001,50,202601010
e,quest_raid_jig1_reward_35,quest_raid_jig1_reward_group_00001_35,Coin,,5000,202601010
e,quest_raid_jig1_reward_36,quest_raid_jig1_reward_group_00001_36,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_rank01_01,quest_raid_jig1_reward_group_00001_53,Emblem,emblem_adventbattle_jig_season01_00001,1,202601010
e,quest_raid_jig1_rank01_02,quest_raid_jig1_reward_group_00001_53,Item,ticket_glo_00003,3,202601010
e,quest_raid_jig1_rank01_03,quest_raid_jig1_reward_group_00001_53,FreeDiamond,prism_glo_00001,500,202601010
e,quest_raid_jig1_rank02_01,quest_raid_jig1_reward_group_00001_54,Emblem,emblem_adventbattle_jig_season01_00002,1,202601010
e,quest_raid_jig1_rank02_02,quest_raid_jig1_reward_group_00001_54,Item,ticket_glo_00003,2,202601010
e,quest_raid_jig1_rank02_03,quest_raid_jig1_reward_group_00001_54,FreeDiamond,prism_glo_00001,400,202601010
e,quest_raid_jig1_rank03_01,quest_raid_jig1_reward_group_00001_55,Emblem,emblem_adventbattle_jig_season01_00003,1,202601010
e,quest_raid_jig1_rank03_02,quest_raid_jig1_reward_group_00001_55,Item,ticket_glo_00003,2,202601010
e,quest_raid_jig1_rank03_03,quest_raid_jig1_reward_group_00001_55,FreeDiamond,prism_glo_00001,300,202601010
e,quest_raid_jig1_rank50_01,quest_raid_jig1_reward_group_00001_56,Emblem,emblem_adventbattle_jig_season01_00004,1,202601010
e,quest_raid_jig1_rank50_02,quest_raid_jig1_reward_group_00001_56,Item,ticket_glo_00003,1,202601010
e,quest_raid_jig1_rank50_03,quest_raid_jig1_reward_group_00001_56,FreeDiamond,prism_glo_00001,200,202601010
e,quest_raid_jig1_rank300_01,quest_raid_jig1_reward_group_00001_57,Emblem,emblem_adventbattle_jig_season01_00005,1,202601010
e,quest_raid_jig1_rank300_02,quest_raid_jig1_reward_group_00001_57,Item,ticket_glo_00003,1,202601010
e,quest_raid_jig1_rank300_03,quest_raid_jig1_reward_group_00001_57,FreeDiamond,prism_glo_00001,100,202601010
e,quest_raid_jig1_rank1000_01,quest_raid_jig1_reward_group_00001_58,Emblem,emblem_adventbattle_jig_season01_00006,1,202601010
e,quest_raid_jig1_rank1000_02,quest_raid_jig1_reward_group_00001_58,FreeDiamond,prism_glo_00001,50,202601010
