ENABLE,id,mst_stage_id,resource_type,resource_id,resource_amount,drop_rate,release_key
e,jig_daily_reward_01_01,event_jig1_daily_00001,Coin,,500,100,202601010
e,jig_daily_reward_01_02,event_jig1_daily_00001,Item,memory_glo_00003,50,30,202601010
e,jig_daily_reward_01_03,event_jig1_daily_00001,Item,piece_jig_00601,5,20,202601010
e,jig_daily_reward_02_01,event_jig1_daily_00002,Coin,,500,100,202601010
e,jig_daily_reward_02_02,event_jig1_daily_00002,Item,memory_glo_00003,50,30,202601010
e,jig_daily_reward_02_03,event_jig1_daily_00002,Item,piece_jig_00701,5,20,202601010
e,jig_daily_reward_03_01,event_jig1_daily_00003,Coin,,500,100,202601010
e,jig_daily_reward_03_02,event_jig1_daily_00003,Item,memory_glo_00003,50,30,202601010
e,jig_daily_reward_03_03,event_jig1_daily_00003,Item,memoryfragment_glo_00001,3,15,202601010
e,jig_story1_reward_01_01,event_jig1_charaget01_00001,Item,piece_jig_00601,10,100,202601010
e,jig_story1_reward_01_02,event_jig1_charaget01_00001,Coin,,400,100,202601010
e,jig_story1_reward_02_01,event_jig1_charaget01_00002,Item,piece_jig_00601,10,100,202601010
e,jig_story1_reward_02_02,event_jig1_charaget01_00002,Coin,,400,100,202601010
e,jig_story1_reward_03_01,event_jig1_charaget01_00003,Item,piece_jig_00601,10,100,202601010
e,jig_story1_reward_03_02,event_jig1_charaget01_00003,Coin,,400,100,202601010
e,jig_story1_reward_04_01,event_jig1_charaget01_00004,Item,piece_jig_00601,10,100,202601010
e,jig_story1_reward_04_02,event_jig1_charaget01_00004,Coin,,400,100,202601010
e,jig_story1_reward_05_01,event_jig1_charaget01_00005,Item,piece_jig_00601,10,100,202601010
e,jig_story1_reward_05_02,event_jig1_charaget01_00005,Coin,,400,100,202601010
e,jig_story1_reward_06_01,event_jig1_charaget01_00006,Unit,chara_jig_00601,1,100,202601010
e,jig_story1_reward_06_02,event_jig1_charaget01_00006,Item,piece_jig_00601,10,100,202601010
e,jig_story2_reward_01_01,event_jig1_charaget02_00001,Item,piece_jig_00701,10,100,202601010
e,jig_story2_reward_01_02,event_jig1_charaget02_00001,Coin,,400,100,202601010
e,jig_story2_reward_02_01,event_jig1_charaget02_00002,Item,piece_jig_00701,10,100,202601010
e,jig_story2_reward_02_02,event_jig1_charaget02_00002,Coin,,400,100,202601010
e,jig_story2_reward_03_01,event_jig1_charaget02_00003,Item,piece_jig_00701,10,100,202601010
e,jig_story2_reward_03_02,event_jig1_charaget02_00003,Coin,,400,100,202601010
e,jig_story2_reward_04_01,event_jig1_charaget02_00004,Item,piece_jig_00701,10,100,202601010
e,jig_story2_reward_04_02,event_jig1_charaget02_00004,Coin,,400,100,202601010
e,jig_story2_reward_05_01,event_jig1_charaget02_00005,Item,piece_jig_00701,10,100,202601010
e,jig_story2_reward_05_02,event_jig1_charaget02_00005,Coin,,400,100,202601010
e,jig_story2_reward_06_01,event_jig1_charaget02_00006,Unit,chara_jig_00701,1,100,202601010
e,jig_story2_reward_06_02,event_jig1_charaget02_00006,Item,piece_jig_00701,10,100,202601010
e,jig_challenge_reward_01_01,event_jig1_challenge01_00001,FreeDiamond,,50,100,202601010
e,jig_challenge_reward_01_02,event_jig1_challenge01_00001,Coin,,1000,100,202601010
e,jig_challenge_reward_02_01,event_jig1_challenge01_00002,FreeDiamond,,50,100,202601010
e,jig_challenge_reward_02_02,event_jig1_challenge01_00002,Coin,,1500,100,202601010
e,jig_challenge_reward_03_01,event_jig1_challenge01_00003,FreeDiamond,,100,100,202601010
e,jig_challenge_reward_03_02,event_jig1_challenge01_00003,Item,ticket_glo_00003,1,100,202601010
e,jig_savage_reward_01_01,event_jig1_savage_00001,FreeDiamond,,100,100,202601010
e,jig_savage_reward_01_02,event_jig1_savage_00001,Item,box_glo_00003,5,100,202601010
