"キャラ詳細数値
※作業時は基本、各個人のローカルのスプシにコピーしてから作業!!
謎のコピーシート見つけたら、管理衛生上、削除してしまうのでご注意を。
↑↑運用定着したら注意表記削除します",,,,,,,,"※A列(A列)〜K列、「監修・企画」ID管理更新待ち。
↓↓↓(D列〜J列は作品表示順、自動出力数値etcに影響)",,,※↓手動,,0.0,※↓手動,※↓手動,"※新ワザ
追加時
メンテ必要","※新特性
追加時
メンテ必要",,,,※↓手動,,※↓手動,,,※↓手動,,※↓手動,,,※↓手動,"※新ワザ
追加時
メンテ必要",,,,,,,,,,,※↓手動,,,,"手動
※攻撃力との差し引きなし",,,,,,,※メンテ中,※メンテ中,,,※↓手動,,,"手動
※体力との差し引きなし",,,,,※↓手動,,※↓手動(レギュ参照),※↓半自動,※↓半自動,※↓半手動,※↓手動,※手動(指示書),※↓手動,※↓半手動,,"※↓手動
※UR以上は特性2つ",※↓半手動,,※半自動,"※指示書
※↓範囲指定手動",,,"※指示書
※↓範囲指定手動","※指示書
※↓範囲指定手動",,※SPキャラは手動,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",,,,"※↓手動
※Fes_UR以上は特性3つ",※↓半手動,,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",※↓手動,※↓手動,※↓手動,※↓手動,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,範囲対象数→,5,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,"※
必殺ワザ1、その他ワザと
差分ある時のみ指定
【対象範囲：DF列〜DK列】",,,
"作品名
※ID管理","キャラクター名
※ID管理","ID
※ID管理","レアリティ
※ID管理",属性,"ロール
※ID管理","間合い
※ID管理","通常攻撃_
オノマトペ","必殺攻撃_
オノマトペ","リリースキー
※ID管理","施策名
※ID管理",※指示書,"召喚
コスト","基礎
コスト",コスト帯,"キャラ
補正値","必殺ワザ
補正値","特性
補正値","召喚
時間(s)","再召喚時間F
※",再召喚時間(s),"キャラ
補正値","再召喚時間
属性&ロール
補正値(s)","※
(予備調整枠)","初回必殺CDF
※","初回
必殺ワザ
CDT","キャラ
補正値","CDT
属性&ロール
補正値","※
(予備調整枠)","2回目以降必殺
CDF
※","2回目以降
必殺ワザ
CDT","キャラ
補正値","必殺ワザ
補正値","CDT
属性&ロール
補正値","※
ワザ効果時間","※
ワザ間隔
(確認用)",必殺ワザ発動可能回数(最低値),体力Lv1,"体力
Lv80
最大凸","体力
Lv80
最大凸
生存時間(s)
(敵1体)","体力
Lv80
最大凸
生存時間(s)
(敵2体)","基礎
体力","ロール
補正値","キャラ
補正値1","キャラ
補正値2
※距離補正","キャラ
補正値3
※攻撃値分","属性&ロール
補正値","※
特殊
調整値","※
(予備調整枠)",攻撃力Lv1,"攻撃
Lv80
最大凸","DPS
通常攻撃Lv1
単体","DPS
Lv80
最大凸
単体","DPS
Lv80
最大凸
単体
(自己バフ時)","DPS
通常攻撃&ワザLv1
単体(合算)","DPS
通常攻撃&ワザLv80
単体(合算)","通常攻撃
基礎値
(補正値合算)
※範囲補正値込み","通常攻撃
基礎値","キャラ
補正値","ロール
基礎補正値","属性&ロール
補正値","※
特殊
調整値","キャラ
補正値3
※体力値分","キャラ
補正値
※距離補正",攻撃CDF,"基礎攻撃
CDF","キャラ
補正値","攻撃
CDT
(確認用)",攻撃手段,KB回数,move_speed,well_distance,"well_distance
※調整値",移動,特性1,効果値,解放ランク,特性2,効果値,解放ランク,"通常
攻撃距離","通常
攻撃範囲","※攻撃倍率
(範囲_
補正値)","通常攻撃
射程数値","必殺ワザ
距離","必殺ワザ
範囲","※攻撃倍率
(範囲_
補正値)","必殺ワザ
射程数値","必殺ワザ_
対象","
ワザ_対象属性",ワザ_対象ロール,"※
CDT
(確認用)",特性3,効果値,解放ランク,"※
バフ・デバフ
効果型",必殺ワザ1,"バフ・デバフ
効果型","必殺ワザ_
対象","
ワザ_
対象属性",ワザ_対象ロール,"効果値1
※倍率
(完凸)","効果値2
※効果時間(s)
(完凸)","必殺ワザ1
攻撃値
※Lv80完凸","※
必殺ワザDPS
(単体)","※
必殺ワザDPS
(範囲CD1 x n体)",必殺ワザ2,"効果値1
※倍率
(完凸)","効果値2
※効果時間(s)
(完凸)","※
バフ・デバフ
効果型","※
必殺ワザ2
範囲","※
必殺ワザ
射程数値
(自動)","※
必殺ワザ_
対象","※
ワザ_
対象属性"
怪獣８号,隠された英雄の姿 怪獣８号,chara_kai_00002,PremiumUR,緑,アタック,近距離,dageki_1,dageki_2,202509010_リリース,リリース時,※,1000,1000,高コスト,-40,15.0,25.0,22.5,1025,20.5,0.0,0.0,0.0,535,10.7,0.0,0.00,0.0,880,17.6,0.0,0.8,0.0,4,-,1,2800,"22,885",18.7,9.3,4000,-0.20,0.00,0.00,-0.10,0.00,0.00,,3850,"31,467",3500,"28,606",-,#VALUE!,#VALUE!,3500,2500,0.10,0.30,0.00,0.00,0.00,0.00,55,50,5.0,1.1,※,2,50,0.24,0,普通-速,スタン攻撃無効化,50,0,攻撃UPコマ効果UP,25,4,近距離,単体,1,0.25,近距離,範囲(小),0.75,0.35,敵,All,All,17.6,-,-,-,-,連続攻撃,-,敵,All,All,169,-,"53,179","3,137","15,685",ノックバック,3.00,-,-,-,-,-,-
ダンダダン,ターボババアの霊力 オカルン,chara_dan_00002,PremiumUR,青,アタック,中距離,dageki_1,dageki_1,202509010_リリース,リリース時,※,985,1000,高コスト,-50,5.0,30.0,22.1,1010,20.2,0.0,0.0,0.0,530,10.6,0.0,0.00,0.0,1045,20.9,0.0,4.2,0.0,4,-,1,2760,"22,557",18.4,9.2,3940,-0.20,0.00,-0.10,0.00,0.00,0.00,,4800,"39,232",3200,"26,154",-,#VALUE!,#VALUE!,3200,2463,0.00,0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,2,75,0.34,0,速-速,ノックバック無効化,-,0,突風コマ無効化,-,4,中距離,単体,1,0.35,中距離,範囲(中),0.65,0.55,敵,All,All,20.9,-,-,-,-,連続攻撃,-,敵,All,All,146,-,"57,278","2,889","14,445",-,-,-,-,-,-,-,-
地獄楽,がらんの画眉丸,chara_jig_00001,PremiumUR,赤,テクニカル,近距離,dageki_1,dageki_1,202509010_リリース,リリース時,※,985,1000,高コスト,-70,25.0,30.0,22.1,1010,20.2,0.0,0.0,0.0,530,10.6,0.0,0.00,0.0,1510,30.2,0.0,13.5,0.0,9.0,21.2,1,2760,"22,557",18.4,9.2,3940,-0.30,0.00,0.00,0.00,0.00,0.00,,2710,"22,148",2710,"22,148",-,#VALUE!,#VALUE!,2710,2463,0.00,0.10,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,3,50,0.26,0,速,火傷ダメージ軽減,15,0,毒ダメージ軽減,15,4,近距離,単体,1,0.27,近距離,単体,1,0.27,敵,All,All,30.2,-,-,-,-,連続攻撃,-,敵,All,All,225,-,"49,833","1,766",0,火傷,12000.00,9,-,-,-,-,-
SPY×FAMILY,<黄昏> ロイド,chara_spy_00101,PremiumUR,黄,アタック,遠距離,shageki_1,shageki_1,202509010_リリース,リリース時,※,985,1000,高コスト,-50,10.0,25.0,22.1,720,14.4,0.0,0.0,0.0,380,7.6,0.0,0.00,0.0,1410,28.2,0.0,14.1,0.0,6,-,1,1970,"16,100",13.1,6.6,3940,-0.20,0.00,-0.30,0.00,0.00,0.00,,9600,"78,463",3200,"26,154",-,#VALUE!,#VALUE!,3200,2463,0.00,0.30,0.00,0.00,0.00,0.00,150,150,0.0,3.0,※,3,40,0.59,0,速-普通,毒ダメージ軽減,20,0,攻撃UPコマ効果UP,25,4,遠距離,単体,1,0.6,遠距離,単体,1,0.6,敵,青,All,28.2,-,-,-,-,キラー攻撃(青),-,敵,青,All,170,-,"200,081","7,659",0,-,-,-,-,-,-,-,-
株式会社マジルミエ,新人魔法少女 桜木 カナ,chara_mag_00001,PremiumUR,青,アタック,遠距離,shageki_1,shageki_1,202509010_リリース,リリース時,※,980,1000,高コスト,-50,5.0,25.0,22.0,720,14.4,0.0,0.0,0.0,375,7.5,0.0,0.00,0.0,1405,28.1,0.0,14.1,0.0,6,-,1,1960,"16,018",13.1,6.5,3920,-0.20,0.00,-0.30,0.00,0.00,0.00,,9570,"78,218",3190,"26,073",-,#VALUE!,#VALUE!,3190,2450,0.00,0.30,0.00,0.00,0.00,0.00,150,150,0.0,3.0,※,3,45,0.59,0,速い-普通,氷結攻撃無効化,50,0,攻撃UPコマ効果UP,25,4,遠距離,単体,1,0.6,遠距離,範囲(小：威力減),0.5,0.7,敵,All,All,28.1,-,-,-,-,連続攻撃,-,敵,All,All,113,-,"88,386","3,392","16,961",-,-,-,-,-,-,-,-
チェンソーマン,早川 アキ,chara_chi_00201,PremiumSSR,緑,アタック,近距離,dageki_1,dageki_2,202509010_リリース,リリース時,※,870,1000,高コスト,-150,10.0,10.0,19.3,765,15.3,0.0,0.0,0.0,400,8.0,0.0,0.00,0.0,725,14.5,0.0,0.0,0.0,6,-,1,2090,"15,937",13.9,7.0,2610,-0.20,0.00,0.00,0.00,0.00,0.00,,2260,"17,233",2260,"17,233",-,#VALUE!,#VALUE!,2260,1740,0.00,0.30,0.00,0.00,0.00,0.00,50,50,0.0,1.0,※,2,35,0.24,0,普通,攻撃UPコマ効果UP,20,0,-,-,-,近距離,単体,1,0.25,近距離,範囲(大),0.55,0.55,敵,All,All,14.5,-,-,-,-,攻撃(必殺),-,敵,All,All,99,-,"17,060","1,230","6,152",-,-,-,-,-,-,-,-
チェンソーマン,悪魔が恐れる悪魔 チェンソーマン,chara_chi_00002,PremiumUR,黄,テクニカル,近距離,zangeki_1,zangeki_1,202509010_リリース,リリース時,※,850,1000,高コスト,-200,25.0,25.0,18.8,560,11.2,0.0,0.0,0.0,295,5.9,0.0,0.00,0.0,545,10.9,1.0,0.0,-2.5,-,-,1,1530,"12,504",10.2,5.1,2550,-0.30,0.00,0.00,-0.10,0.00,0.00,,1840,"15,038",2040,"16,709",-,#VALUE!,#VALUE!,2040,1700,0.10,0.10,0.00,0.00,0.00,0.00,45,50,-5.0,0.9,※,3,40,0.31,0,普通,毒ダメージ軽減,15,0,攻撃DOWNコマ無効化,-,4,近距離,単体,1,0.32,近距離,単体,1,0.32,敵,All,All,10.9,-,-,-,-,連続攻撃,-,敵,All,All,225,-,"33,835","3,244",0,HP吸収攻撃,45.00,-,-,-,-,-,-
怪獣８号,市川 レノ,chara_kai_00101,PremiumSR,青,テクニカル,遠距離,shageki_1,shageki_1,202509010_リリース,リリース時,※,845,1000,高コスト,-200,30.0,15.0,18.6,375,7.5,0.0,0.0,0.0,195,3.9,0.0,0.00,0.0,1010,20.2,0.0,10.1,0.0,1.3,18.9,1,1020,"7,442",6.8,3.4,2540,-0.30,0.00,-0.30,0.00,0.00,0.00,,4840,"35,315",1860,"13,583",-,#VALUE!,#VALUE!,1860,1690,0.00,0.10,0.00,0.00,0.00,0.00,130,150,-20.0,2.6,※,3,30,0.61,0,速-普通,氷結攻撃無効化,20,2,-,-,-,遠距離,単体,1,0.62,遠距離,単体,1,0.62,敵,All,All,20.2,-,-,-,-,連続攻撃,-,敵,All,All,180,-,"63,568","3,422",0,氷結,20.00,1.3,-,-,-,-,-
2.5次元の誘惑,リリエルに捧ぐ愛 天乃 リリサ,chara_yuw_00001,PremiumUR,黄,アタック,中距離,dageki_2,-,202509010_リリース,リリース時,※,785,600,中コスト,150,10.0,25.0,17.1,475,9.5,0.0,0.0,0.0,250,5.0,0.0,0.00,0.0,715,14.3,0.0,2.9,0.0,9,-,1,1300,"10,624",8.7,4.3,2360,-0.20,0.00,-0.10,-0.15,0.00,0.00,,3420,"27,951",2280,"18,634",-,#VALUE!,#VALUE!,2280,1570,0.15,0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,※,2,35,0.39,0,普通,火傷ダメージ軽減,20,0,攻撃UPコマ効果UP,25,4,中距離,単体,1,0.4,遠距離,範囲(特大),0.5,0.8,敵,青,All,14.3,-,-,-,-,キラー攻撃(青),-,敵,青,All,170,-,"35,638","2,664","13,319",-,-,-,-,-,-,-,-
