,02_施策,,,,,,,,,,,,
,,,,,,,,,,,,安藤メモ,
,▼全体概要,,,,,,,,,1スタミナ*,,名称,登場可否
,カテゴリー,施策名称,,開始日,終了日,キャンペーンの有無,キャンペーン期間,キャンペーン内容,イベント全般,×15コイン,,冷却系の怪異,ストーリー以外なら可能
,【デイリー】,軽音部に入部する,,3/2 15:00,3/16 3:59,-,-,-,,,,つらら,ストーリー以外なら可能
,【収集クエスト】,弾き語り修行をする,,3/2 15:00,4/3 10:59,-,-,-,"⇩ストーリークエスト1つで
獲得できるハナンの報酬数（初回クリア）",,,建造物寄生型の怪異（大）,可能
,"【ストーリー】
はーとぶれいくストーリー編",バンドを結成する,,3/5 15:00,4/3 10:59,-,-,-,報酬名,報酬数,,建造物寄生型の怪異（小）,可能
,【チャレンジ】,文化祭が始まる,,3/2 15:00,4/3 10:59,-,-,-,そのキャラのカラーメモリー,1100,,工事現場の怪異,ストーリー２可能
,【高難易度】,ステージに立つ,,3/2 15:00,4/3 10:59,-,-,-,メモリーフラグメント・初級,15,,,
,【降臨バトル】,片鱗を示す,,3/6 15:00,3/12 14:59,-,-,-,メモリーフラグメント・中級,10,,,
,【ログインボーナス】,ふつうの軽音部 いいジャン祭 特別ログインボーナス,,3/2 15:00,3/16 3:59,,,,メモリーフラグメント・上級,1,,,
,【ミッション】,ふつうの軽音部 いいジャン祭 特別ミッション,,3/2 15:00,4/3 10:59,,,,コイン,2800,,,
,【コイン獲得クエスト】,コイン獲得クエスト キャラボーナス,,3/2 15:00,4/3 10:59,,,,,,,,
,,,,,,,,,,,,,
,◆ログインボーナス,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,施策名称,ふつうの軽音部 いいジャン祭 特別ログインボーナス,,,※〇〇[半角スペース]いいジャン祭[半角スペース]特別ログインボーナス　例：怪獣8号 いいジャン祭 特別ログインボーナス,,,,,,,,
,開催期間,3/2 15:00,〜,3/16 3:59,,,,,,,,,
,,,,,,,,,,,,,
,"ログイン日数
（日別）",日付,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,カラーメモリー・ブルー,カラーメモリー・グリーン,報酬設定の有無,,
月,1,3/2 15:00,,,2,,,,,,2,,
火,2,3/3 4:00,,5000,,,,,,,5000,,
水,3,3/4 4:00,50,,,,,,,,50,,
木,4,3/5 4:00,,,,,5,,,,5,,
金,5,3/6 4:00,,,,,,4,,,4,,
土,6,3/7 4:00,,,,,,,600,,600,,
日,7,3/8 4:00,,,,2,,,,,2,,
月,8,3/9 4:00,,5000,,,,,,,5000,,
火,9,3/10 4:00,50,,,,,,,,50,,
水,10,3/11 4:00,,,,,10,,,,10,,
木,11,3/12 4:00,,,,,,,,600,600,,
金,12,3/13 4:00,,5000,,,,,,,5000,,
土,13,3/14 4:00,,,1,,,,,,1,,
日,14,3/15 4:00,,,,1,,,,,1,,
,,報酬合計数,100,15000,3,3,15,4,600,600,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,◆デイリークエスト,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,クエスト名,軽音部に入部する,,,,,,,,,,,
,開催期間,3/2 15:00,〜,3/16 3:59,,,,,,,,,
,基礎設計URL,,,,,,,,,,,,
,原画演出URL,,,,,,,,,,,,
,,,,,,,,,,,,,
,ステージ,推奨Lv,スタミナ,獲得リーダーEXP,ステージサムネイル,登場キャラ,登場強敵キャラ,背景ID,ステージ背景名称,開始時原画演出,終了時原画演出,ステージ開放条件,
,1話,1,1,100,プリズム,,,,,,なし,なし,
,,,,,,,,,,,,,
,ステージ報酬,,,,,,,,,,期間中全日プレイで獲得できるプリズム,,
,ステージ,報酬カテゴリー,プリズム,コイン,コイン,コイン,プリズム,,,,480,,
,1話,初回クリア,20,0,0,0,0,,,,,,
,,クリア,0,1500,0,0,0,,,,28500,,
,,ランダム,0,0,2000,4000,30,,,,,,
