,,,,,作成者,確認者,承認状況,
,,,,,平野,,社内承認済,
ガシャ詳細,,,,,,,,承認・設計担当
ガシャ名,バレンタインピックアップガシャ,,,,,,,企画
ガシャID,Pickup_Valentine_001,,,,,,,
種別,ピックアップガシャ,,,,,,,
開催期間,2026/2/10 15:00,~,2026/3/2 10:59,,,,,企画
チケット設定,有,※BNEレギュレーションにより、すべてのガシャはチケットでひける前提で設定しなければならない。,,,,,,
チケット名,バレンタインピックアップガシャチケット,,,,,,,ガシャ
チケットID,ticket_glo_10002,,,,,,,ガシャ
チケット備考,チケットのまとめ引きは、最大10連です。所持枚数の最大が10枚以下の場合、まとめ引きの最大数もそれに準じます。,,,,,,,
広告視聴設定有無,無,,,,,,,
広告視聴リセット有無,無,,,,,,,
広告視聴リセット時間,,分,0時間,"24時間→1,440
48時間→2,880
72時間→4,320","・enable_add_ad_play_upper
・ad_play_interval_time",,,
"ガシャ開催期間中
繰返しリセットを行う",行わない,,,,,,,
天井設定,有,,,,,,,
天井回数,100,回目,,,,,,
確定枠設定,有,,,,,,,
確定枠詳細,10,枠目,,,,,,
有償無償合算使用可否,可,※有償プリズム限定の時→「否」にして下さい。基本は「可」です。,,,,,,
有償プリズム限定設定,無,,,,,,,
単発設定,有,,,,,,,
単発プリズム個数,150,個,※デフォルト：150個,,,,,
10連設定,有,,,,,,,
10連プリズム個数,"1,500",個,"※デフォルト：1,500個",,,,,
ガシャを引ける上限設定,無,,,,,,,
ガシャを引ける上限数,,連を,,まで,※例：30連を1回まで。お一人30連まで引くことができます。,,,
banner_URL,glo_00006,,,,,,,企画
ガシャ一覧バナーID,gacha_banner_glo_00006,,,,,,,企画
ホームバナーID,hometop_gacha_glo_00006,,,,,,,企画
キャラのかけら変換個数,R：10,←デフォルト,,,,,,
,SR：10,,,,,,,
,SSR：20,,,,,,,
,UR ：50,,,,,,,
,ピックアップUR ：50,,,,,,,
備考,中身は女の子キャラのみ,,,,,,,
,女の子キャラ縛りの関係でSR以上しか出ない,,,,,,,
,10枠目はSSR確定にして引きとしている,,,,,,,
,期間内遊んで(ミッションやログボ)チケットがもらえるから引きやすいガシャのポジション。どうしても女の子欲しい人はプリズムでも引けるよ,,,,,,,
,2/10にプッシュ必須,,,,,,,
ガシャバナー用訴求文言,,,,,,,,
ガシャ訴求文言,少年ジャンプ＋のヒロインが大集合!!,,,,,,,
キャラ訴求文言,,,,,,,,
ガシャマスター設定,,,,,,,,
①ガシャ訴求文言,"バレンタインピックアップガシャチケットでも引ける!
女の子のみ登場ガシャ!",,※ガシャ画面刷新で不要,OprGachaI18n,,,,ガシャ
②訴求キャラ/ID,影のウシオ 小舟 潮,chara_sum_00101,,,,,,ガシャ
③キャラ訴求文言,"前線の維持に特化した
サポートキャラ!
必殺ワザで味方の
被ダメージを軽減! ",,,OprGachaDisplayUnitI18n,,,,レベデザ
