,幼稚園WARS いいジャン祭,,,,,
,,,,,,
,施策一覧,,,,,
,▼コンテンツの情報を全てココに記載してください。「施策」に反映されます。,,,,,
,カテゴリー,施策名称,開始日,終了日,備考（ピックアップや配布キャラなどを記載する）,仕様書(リンク)
,【デイリー】,お遊戯の時間です,2026/02/02 15:00,2026/02/16 3:59,,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=289913871#gid=289913871&range=39:39
,"【ストーリー】
ダグ編",先輩は敬いたまえ,2026/02/02 15:00,2026/03/02 10:59,SR_ダグ_緑,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=289913871#gid=289913871&range=66:66
,"【ストーリー】
ハナ編",兄を助けてくれないか？,2026/02/06 15:00,2026/03/02 10:59,SR_ハナ_青,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=289913871#gid=289913871&range=152:152
,【チャレンジ】,世界一安全な幼稚園,2026/02/02 15:00,2026/03/02 10:59,,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=289913871#gid=289913871&range=242:242
,【高難易度】,正義だけじゃ何も守れない,2026/02/02 15:00,2026/03/02 10:59,,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=289913871#gid=289913871&range=309:309
,【降臨バトル】,誰の依頼だ？,2026/02/09 15:00,2026/02/15 14:59,,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=1959891932#gid=1959891932&range=A1
,【ログインボーナス】,幼稚園WARS いいジャン祭 特別ログインボーナス,2026/02/02 15:00,2026/02/16 3:59,,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=289913871#gid=289913871&range=15:15
,【ミッション】,幼稚園WARS いいジャン祭 特別ミッション,2026/02/02 15:00,2026/03/02 10:59,,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=1875707542#gid=1875707542&range=A1
,【コイン獲得クエスト】,コイン獲得クエスト キャラボーナス,2026/02/02 15:00,2026/03/02 10:59,,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=289913871#gid=289913871&range=363:363
,【ピックアップガシャ】,幼稚園WARS いいジャン祭ピックアップガシャ,2026/02/02 15:00,2026/03/02 10:59,"UR_元殺し屋の新人教諭 リタ_赤
SSR_ルーク_黄",https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=1315731856#gid=1315731856&range=A1
,【いいジャン祭パック】,【お一人様1回まで購入可】いいジャン祭パック,2026/02/02 15:00,2026/02/16 10:59,,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=1726397202#gid=1726397202&range=A1
,【お得強化パック】,【お一人様1回まで購入可】お得強化パック,2026/02/02 15:00,2026/02/28 23:59,,
