,,,,,,作成者,確認者,承認状況
,,,,,,平野,,未承認
◆【お一人様1回まで購入可】いいジャン祭パック,,,,,,,,
,,,,,,,,
■ID,event_item_pack_13,,,,,,,
■store_product_id,53,,,,,,,
■Biling ID（ios）,BNEI0434_0051,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0051,,,,,,,
■基準価格(税込),"¥4,040",,,,,,,
■税別価格,"¥3,673",,,,,,,
■割引価格(税込),"¥3,000",■割引率,25.74%,,,,,
■税別割引価格,"¥2,727",,,,,,,
■購入可能回数,1,⇦いいジャン祭の開催に合わせて再販（2週間に1回）、お一人様1回まで購入可能,,,,,,
■販売期間,2026/02/02 15:00:00,〜,2026/2/16 10:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
メモリーフラグメント・上級,有償販売,(無期限),3,3,0,¥30.00,¥90,¥0.00
ピックアップガシャチケット,有償販売,(無期限),10,10,0,¥300.00,"¥3,000",¥0.00
,,,,,合計,,"¥4,040",¥0.00
,,,,,割引後価格,,"¥3,000",▼無償報酬の割合
,,,,,割引,,25.74%,0.00%
