,03_降臨バトル,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,設定担当者,,,,,,,,,,,,,,,
,前田,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,,,,
,名称,誰の依頼だ？,,,,,,,,,,,,,,
,開催期間,2/9(月) 15:00,〜,2/15(日) 14:59,,,,,,,,,,,,
,基礎設計URL,https://docs.google.com/spreadsheets/d/15oEdbChjRxyR8_PsD5jBT7UzMJMprKUSKmlYF9OPg9M/edit?gid=0#gid=0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,ミッション達成◎×チェック,,,,,,,,,,,,,,,
,開催日数,7,,,,,,,,,,,,,,
,期間中の最大挑戦回数,35,,,,,,,,,,,,,,
,ミッションの最大挑戦回数,30,,,,,,,,,,,,,,
,ミッション達成,問題なし,※NGの場合、降臨ミッションか開催期間の変更が必要です,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,推奨Lv,1日の挑戦回数,うち1日の広告回数,獲得リーダーEXP,登場キャラ,登場強敵キャラ,背景ID,ステージ段数,ステージ開放条件,,,,,,,
,20-30,5,2,100,全キャラ,全キャラ,koma_background_you_00003        ,4,2/9 15:00から開放,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,設定（その他）,,,,,,,,,,,,,,,
,時間制限,120秒,,,,,,,,,,,,,,
,クエストTOP画面表示キャラ,ハナ,,,,,,,,,,,,,,
,クエストTOP画面表示キャラセリフ,なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,ボーナス,,,,,,,,,,,,,,,
,ボーナス（%）,対象キャラ,対象キャラID,,ボーナス倍率の内訳（%）,,,,,,,,,,,
,20%,元殺し屋の新人教諭 リタ,chara_you_00001,,フェス限の新キャラ,,30,,,,,,,,,
,10%,ルーク,chara_you_00101,,ピックアップURなどの新キャラ,,20,,,,,,,,,
,10%,ダグ,chara_you_00201,,恒常UR(新キャラではない),,15,,,,,,,,,
,10%,ハナ,chara_you_00301,,ピックアップSSRなどの新キャラ,,10,,,,,,,,,
,,,,,恒常SSR(新キャラではない),,10,,,,,,,,,
,,,,,イベントSRなどの新キャラ,,10,,,,,,,,,
,,,,,恒常SR(新キャラではない),,5,,,,,,,,,
