,06_ガシャ,,,,,,
,,,,,,,
,ガシャラインナップ_一覧,,,,,,
,,,,,,,
,,,,,,,
,"単発金額（円）
→10連引く際にユーザーが頻繁に購入するであろうもの価格帯で計算",¥288.46,,,,,
,"単発に必要な
プリズム数（個）",150,プリズム単価（円）,¥2.00,,,
,通常単発金額（円）,¥300.00,"↓各レアリティのキャラを
1体出すのに必要な回数",,,"100連天井の場合
通常","100連天井の場合
お得購入換算"
,レアリティ,ガシャ確率（%）,回転数期待値(回),一次通貨数期待値(個),金額期待値(円),金額期待値(円),金額期待値(円)
,UR,3,33.3,5000,"¥10,000","¥30,000","¥28,846"
,SSR,10,10.0,1500,"¥3,000",,
,SR,35,2.9,429,¥857,,
,R,52,1.9,288,¥577,,
,合計,100%,,,,,
,,,,,,,
,,,,,,,
,◆恒常ガシャ系,,,,,,
,,,,,,,
,項目,設計書URL,,,備考,,
,スペシャルガシャ,20250922_GLOW_スペシャルガシャ設計書,,,更新無し,,
,,,,,,,
,,,,,,,
,◆SPY×FAMILY いいジャン祭,,,,,,
,,,,,,,
,項目,設計書URL,,,備考,,
,幼稚園WARS いいジャン祭ピックアップガシャ,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=1315731856#gid=1315731856,,,,,
,06_バレンタインピックアップガシャ,https://docs.google.com/spreadsheets/d/1LOgwTbja_2D6_dwjvH3oRwigOOD7X5gUhyQ5dy75k7E/edit?gid=399205743#gid=399205743,,,,,
