,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検索用,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,比較対象,,杠,,,,,,,,,,,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,Lv,,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,"きく組担当の先生。原作では近接攻撃＋銃をつかった攻撃をするキャラ。
きく組＝菊の花＝キク属は有毒性といったこじ付けから毒攻撃を付与

杠　cost685 Lv1 HP1240 ATK 2270
└⭐︎2,⭐︎4時はステータス上昇のみで、必殺ワザ効果upがないキャラ

毒＝3秒毎（150frame）にダメージが発生
ex)
1%毒 150frame =1回ダメージ、合計1%ダメージ
2%毒 600frame =4回ダメージ、合計8%ダメージ
割合ダメージなので、100万HPや1000万HPなどでも固定で8%のダメージが確実に入ってしまうため、PvEスキルとしては最強のポテンシャルを持っている",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02 15:00:00,,,,,,,,,,,,1,,1400,2300,1400,2300,1568,1666,1722,1750,1750,1750,1750,1750,1750,2576,2737,2829,2875,2875,2875,2875,2875,2875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,※少数切り上げ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,幼稚園WARS いいジャン祭,,,,,,,,,,,,Lv,Rnk,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,1,0,1400,2300,1400,2300,1568,1666,1722,1750,1750,1750,1750,1750,1750,2576,2737,2829,2875,2875,2875,2875,2875,2875
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremiumSSR,,,,,2,0,1451,2384,1451,2384,1625,1726,1784,1813,1813,1813,1813,1813,1813,2670,2836,2932,2980,2980,2980,2980,2980,2980
,chara_you_00101,,,,ルーク,,,,,,,,幼稚園WARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1509,2480,1509,2480,1690,1795,1856,1886,1886,1886,1886,1886,1886,2777,2951,3050,3100,3100,3100,3100,3100,3100
