ENABLE,release_key,id,mst_event_display_unit_id,language,speech_balloon_text1,speech_balloon_text2,speech_balloon_text3
e,202512020,quest_event_osh1_1day01_ja,quest_event_osh1_1day01,ja,"役者というのは\n単なる手段だ",,
e,202512020,quest_event_osh1_charaget0201_ja,quest_event_osh1_charaget0201,ja,"ぴえヨン\nチャンネルぅうぅ!!",,
e,202512020,quest_event_osh1_charaget01_ja,quest_event_osh1_charaget01,ja,"私はママみたい\nになる!",,
e,202512020,quest_event_osh1_charaget02_ja,quest_event_osh1_charaget02,ja,"私が居ないと\n駄目ね!",,
e,202512020,quest_event_osh1_charaget03_ja,quest_event_osh1_charaget03,ja,"アクアくんの\n助けになるよ",,
e,202512020,quest_event_osh1_challenge011_ja,quest_event_osh1_challenge011,ja,アイドルは個性！,,
e,202512020,quest_event_osh1_challenge012_ja,quest_event_osh1_challenge012,ja,"私はママみたい\nになる!",,
e,202512020,quest_event_osh1_challenge013_ja,quest_event_osh1_challenge013,ja,"私が居ないと\n駄目ね!",,
e,202512020,quest_event_osh1_savage_ja,quest_event_osh1_savage,ja,私にとって嘘は愛,,
e,202512020,quest_event_glo1_1day01_ja,quest_event_glo1_1day01,ja,,,
e,202512020,quest_event_glo1_1day02_ja,quest_event_glo1_1day02,ja,,,
e,202512020,quest_event_glo1_1day03_ja,quest_event_glo1_1day03,ja,,,
