ENABLE,id,mst_stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key,weight
e,1331,normal_osh_00001,FirstClear,Item,memoryfragment_glo_00001,3,100,1,202512020,
e,1332,normal_osh_00001,FirstClear,Item,memoryfragment_glo_00002,1,100,2,202512020,
e,1333,normal_osh_00001,Random,Item,memory_glo_00004,7,33,3,202512020,
e,1334,normal_osh_00001,Random,Item,memory_glo_00004,10,13,4,202512020,
e,1335,normal_osh_00001,Random,Item,memory_glo_00004,15,3,5,202512020,
e,1336,normal_osh_00001,Random,Item,memory_glo_00001,7,33,6,202512020,
e,1337,normal_osh_00001,Random,Item,memory_glo_00001,10,13,7,202512020,
e,1338,normal_osh_00001,Random,Item,memory_glo_00001,15,3,8,202512020,
e,1339,normal_osh_00001,Random,Item,memoryfragment_glo_00001,1,10,9,202512020,
e,1340,normal_osh_00002,FirstClear,Item,memoryfragment_glo_00001,3,100,1,202512020,
e,1341,normal_osh_00002,FirstClear,Item,memoryfragment_glo_00002,1,100,2,202512020,
e,1342,normal_osh_00002,Random,Item,memory_glo_00005,7,33,3,202512020,
e,1343,normal_osh_00002,Random,Item,memory_glo_00005,10,13,4,202512020,
e,1344,normal_osh_00002,Random,Item,memory_glo_00005,15,3,5,202512020,
e,1345,normal_osh_00002,Random,Item,memory_glo_00001,7,33,6,202512020,
e,1346,normal_osh_00002,Random,Item,memory_glo_00001,10,13,7,202512020,
e,1347,normal_osh_00002,Random,Item,memory_glo_00001,15,3,8,202512020,
e,1348,normal_osh_00002,Random,Item,memoryfragment_glo_00001,1,10,9,202512020,
e,1349,normal_osh_00003,FirstClear,FreeDiamond,prism_glo_00001,100,100,1,202512020,
e,1350,normal_osh_00003,FirstClear,Item,memoryfragment_glo_00001,3,100,2,202512020,
e,1351,normal_osh_00003,FirstClear,Item,memoryfragment_glo_00002,1,100,3,202512020,
e,1352,normal_osh_00003,Random,Item,memory_glo_00005,7,33,4,202512020,
e,1353,normal_osh_00003,Random,Item,memory_glo_00005,10,13,5,202512020,
e,1354,normal_osh_00003,Random,Item,memory_glo_00005,15,3,6,202512020,
e,1355,normal_osh_00003,Random,Item,memory_glo_00001,7,33,7,202512020,
e,1356,normal_osh_00003,Random,Item,memory_glo_00001,10,13,8,202512020,
e,1357,normal_osh_00003,Random,Item,memory_glo_00001,15,3,9,202512020,
e,1358,normal_osh_00003,Random,Item,memoryfragment_glo_00001,1,10,10,202512020,
e,1359,hard_osh_00001,FirstClear,Item,memoryfragment_glo_00002,5,100,1,202512020,
e,1360,hard_osh_00001,Random,Item,memory_glo_00002,12,65,2,202512020,
e,1361,hard_osh_00001,Random,Item,memory_glo_00002,15,25,3,202512020,
e,1362,hard_osh_00001,Random,Item,memory_glo_00002,22,5,4,202512020,
e,1363,hard_osh_00001,Random,Item,memory_glo_00003,12,65,5,202512020,
e,1364,hard_osh_00001,Random,Item,memory_glo_00003,15,25,6,202512020,
e,1365,hard_osh_00001,Random,Item,memory_glo_00003,22,5,7,202512020,
e,1366,hard_osh_00001,Random,Item,memoryfragment_glo_00002,1,7,8,202512020,
e,1367,hard_osh_00002,FirstClear,Item,memoryfragment_glo_00002,5,100,1,202512020,
e,1368,hard_osh_00002,Random,Item,memory_glo_00002,12,65,2,202512020,
e,1369,hard_osh_00002,Random,Item,memory_glo_00002,15,25,3,202512020,
e,1370,hard_osh_00002,Random,Item,memory_glo_00002,22,5,4,202512020,
e,1371,hard_osh_00002,Random,Item,memory_glo_00001,12,65,5,202512020,
e,1372,hard_osh_00002,Random,Item,memory_glo_00001,15,25,6,202512020,
e,1373,hard_osh_00002,Random,Item,memory_glo_00001,22,5,7,202512020,
e,1374,hard_osh_00002,Random,Item,memoryfragment_glo_00002,1,7,8,202512020,
e,1375,hard_osh_00003,FirstClear,FreeDiamond,prism_glo_00001,100,100,1,202512020,
e,1376,hard_osh_00003,FirstClear,Item,memoryfragment_glo_00002,5,100,2,202512020,
e,1377,hard_osh_00003,Random,Item,memory_glo_00004,12,22,3,202512020,
e,1378,hard_osh_00003,Random,Item,memory_glo_00004,15,8,4,202512020,
e,1379,hard_osh_00003,Random,Item,memory_glo_00004,22,2,5,202512020,
e,1380,hard_osh_00003,Random,Item,memory_glo_00003,12,22,6,202512020,
e,1381,hard_osh_00003,Random,Item,memory_glo_00003,15,8,7,202512020,
e,1382,hard_osh_00003,Random,Item,memory_glo_00003,22,2,8,202512020,
e,1383,hard_osh_00003,Random,Item,memory_glo_00001,12,22,9,202512020,
e,1384,hard_osh_00003,Random,Item,memory_glo_00001,15,8,10,202512020,
e,1385,hard_osh_00003,Random,Item,memory_glo_00001,22,2,11,202512020,
e,1386,hard_osh_00003,Random,Item,memoryfragment_glo_00002,1,7,12,202512020,
e,1387,veryhard_osh_00001,FirstClear,FreeDiamond,prism_glo_00001,20,100,1,202512020,
e,1388,veryhard_osh_00002,FirstClear,FreeDiamond,prism_glo_00001,20,100,1,202512020,
e,1389,veryhard_osh_00003,FirstClear,FreeDiamond,prism_glo_00001,20,100,1,202512020,
e,1390,veryhard_osh_00003,FirstClear,Emblem,emblem_normal_osh_00001,1,100,2,202512020,
