,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,■基礎設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,■シミュレーション,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,検索用,,,,,,,,,,,,,,,,,,,,,,,
,特筆事項,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,実装日,,,,,,,,,,,,Lv,,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,"年始リリースSSRアタッカーキャラ。有名IPで誰しもが知っているキャラのポジションだが、
必殺技が「自己強化のみ」と癖があるため基礎ステータスを特殊調整を行い、普段使用ができるような設計へ
ヨルさんを持ってない人は　星野 ルビーを編成する　を理想としたキャラコンセプト　※山田浅ェ門 佐切 < 星野 ルビー < ヨル
体力と攻撃両方プラス係数をしている　※強すぎる懸念があるので体力をおとしてもいいかもしれない

「超持続型のバフ効果値」を個別レギュに変更し「ハイブリット型」の値へ（5/7/8/9/10)→（15/17.1/18.5/19.4/20)
赤アタックで汎用的に強いSSRが、モモ/佐切なのでここより強いポジションのキャラとして設計",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01-01 0:00:00,,,,,,,,,,,,1,,1370,1770,1370,1770,1534,1630,1685,1712,1712,1712,1712,1712,1712,1982,2106,2177,2212,2212,2212,2212,2212,2212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,デプロイ,,,,,,,,,,,,※少数切り上げ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,【推しの子】いいジャン祭,,,,,,,,,,,,Lv,Rnk,基礎HP,基礎ATK,Rnk込星1HP,Rnk込星1ATK,星2HP,星3HP,星4HP,星5HP,星6HP,星7HP,星8HP,星9HP,星10HP,星2ATK,星3ATK,星4ATK,星5ATK,星6ATK,星7ATK,星8ATK,星9ATK,星10ATK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,基礎情報,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消さないで,,,,,1,0,1370,1770,1370,1770,1534,1630,1685,1712,1712,1712,1712,1712,1712,1982,2106,2177,2212,2212,2212,2212,2212,2212
,キャラ_ID,,,,キャラクター名,,,,,,,,作品名,,,,,,,,,,,,,,,,,,,,,,,,,,,,PremiumSSR,,,,,2,0,1420,1834,1420,1834,1590,1689,1746,1775,1775,1775,1775,1775,1775,2054,2182,2255,2292,2292,2292,2292,2292,2292
,chara_osh_00201,,,,星野 ルビー,,,,,,,,【推しの子】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,1477,1908,1477,1908,1654,1757,1816,1846,1846,1846,1846,1846,1846,2136,2270,2346,2385,2385,2385,2385,2385,2385
,ラベル,,,ロール,,,属性,,,攻撃射程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,1537,1987,1537,1987,1721,1829,1890,1921,1921,1921,1921,1921,1921,2225,2364,2444,2483,2483,2483,2483,2483,2483
