項目名,方向,マスター名,チェック無視,マスター列名,ユニークキー,展開タイプ,空白無視
,▼,MstAutoPlayerSequence,TRUE,id,TRUE,通常,TRUE
敵ゲートID,▼,MstAutoPlayerSequence,FALSE,sequence_set_id,,下方継承,FALSE
sequence_group_id,▼,MstAutoPlayerSequence,FALSE,sequence_group_id,,通常,FALSE
sequence_element_id,▼,MstAutoPlayerSequence,FALSE,sequence_element_id,TRUE,通常,TRUE
priority_sequence_element_id,▼,MstAutoPlayerSequence,FALSE,priority_sequence_element_id,,通常,FALSE
condition_type,▼,MstAutoPlayerSequence,FALSE,condition_type,,通常,FALSE
condition_value,▼,MstAutoPlayerSequence,FALSE,condition_value,,通常,FALSE
action_type,▼,MstAutoPlayerSequence,FALSE,action_type,,通常,FALSE
action_value,▼,MstAutoPlayerSequence,FALSE,action_value,,通常,FALSE
action_value2,▼,MstAutoPlayerSequence,FALSE,action_value2,,通常,FALSE
summon_count,▼,MstAutoPlayerSequence,FALSE,summon_count,,通常,FALSE
summon_interval,▼,MstAutoPlayerSequence,FALSE,summon_interval,,通常,FALSE
summon_animation_type,▼,MstAutoPlayerSequence,FALSE,summon_animation_type,,通常,FALSE
summon_position,▼,MstAutoPlayerSequence,FALSE,summon_position,,通常,FALSE
move_start_condition_type,▼,MstAutoPlayerSequence,FALSE,move_start_condition_type,,通常,FALSE
move_start_condition_value,▼,MstAutoPlayerSequence,FALSE,move_start_condition_value,,通常,FALSE
move_stop_condition_type,▼,MstAutoPlayerSequence,FALSE,move_stop_condition_type,,通常,FALSE
move_stop_condition_value,▼,MstAutoPlayerSequence,FALSE,move_stop_condition_value,,通常,FALSE
move_restart_condition_type,▼,MstAutoPlayerSequence,FALSE,move_restart_condition_type,,通常,FALSE
move_restart_condition_value,▼,MstAutoPlayerSequence,FALSE,move_restart_condition_value,,通常,FALSE
move_loop_count,▼,MstAutoPlayerSequence,FALSE,move_loop_count,,通常,FALSE
is_summon_unit_outpost_damage_invalidation,▼,MstAutoPlayerSequence,FALSE,is_summon_unit_outpost_damage_invalidation,,通常,FALSE
last_boss_trigger,▼,MstAutoPlayerSequence,TRUE,last_boss_trigger,,通常,FALSE
aura_type,▼,MstAutoPlayerSequence,FALSE,aura_type,,通常,FALSE
death_type,▼,MstAutoPlayerSequence,FALSE,death_type,,通常,FALSE
enemy_hp_coef,▼,MstAutoPlayerSequence,FALSE,enemy_hp_coef,,通常,FALSE
enemy_attack_coef,▼,MstAutoPlayerSequence,FALSE,enemy_attack_coef,,通常,FALSE
enemy_speed_coef,▼,MstAutoPlayerSequence,FALSE,enemy_speed_coef,,通常,FALSE
override_drop_battle_point,▼,MstAutoPlayerSequence,FALSE,override_drop_battle_point,,通常,FALSE
defeated_score,▼,MstAutoPlayerSequence,FALSE,defeated_score,,通常,FALSE
action_delay,▼,MstAutoPlayerSequence,FALSE,action_delay,,通常,FALSE
deactivation_condition_type,▼,MstAutoPlayerSequence,FALSE,deactivation_condition_type,,通常,FALSE
deactivation_condition_value,▼,MstAutoPlayerSequence,FALSE,deactivation_condition_value,,通常,FALSE
リリースキー,▼,MstAutoPlayerSequence,FALSE,release_key,,下方継承,FALSE
