,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/12/05,,,古澤,,,,,,,,,,,設定なし,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,まるで 悪夢を見ているようだ,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_raid_jig1_00001,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,降臨バトル,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202601010,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/01/23,,,15:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/01/29,,,14:59:59,,,終了なし,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,enemy_jig_00601,,,朱槿,,,なし,,,,,,,,,ヂュジン,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
,,,,error,,,,,,,,,,,,,,,,,,,,,,
