テーブル,列,現在のパターン,説明,提案パターン,提案理由
MstComebackBonus,id,comeback_1_[連番],"プレフィックス_comeback_1 + 通算連番（範囲: 1～7, 件数: 7）",comeback_bonus_[schedule_id]_[login_day_count],スケジュールIDとログイン日数の組み合わせでIDを構成。バージョン番号（comeback_1_）は削除し、より明確な構造にする。
MstDailyBonusReward,id,comeback_reward_1_[連番],"プレフィックス_comeback_reward_1 + 通算連番（範囲: 1～7, 件数: 7）",daily_bonus_reward_[group_id],既存のmst_daily_bonus_reward_group_idカラムの値をそのままIDとして使用。グループIDが既に一意の識別子なので通算連番は不要。
MstDummyOutpost,id,[連番],"数字のみの通算連番（範囲: 1～90, 件数: 90）",dummy_outpost_[連番],ダミーゲートは固定数のマスタデータなので、シンプルなプレフィックス + 連番で十分。プレフィックスを追加することで他のIDと区別しやすくする。
MstDummyUserI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",dummy_user_i18n_[user_id],ダミーユーザーIDをベースにしたID。1ユーザーに1つのi18nレコードが対応するため、ユーザーIDを使うことで一意性を保証。
MstDummyUserUnit,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",dummy_user_unit_[user_id]_[unit_id],ダミーユーザーIDとユニットIDの組み合わせでIDを構成。ユーザーとユニットの組み合わせで一意に決まる。
MstEventBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～72, 件数: 71）",event_bonus_unit_[event_id]_[unit_id],イベントIDとユニットIDの組み合わせでIDを構成。イベントごとにボーナスユニットが管理されるため、イベント別のIDが適切。
MstExchangeI18n,id,[連番],"数字のみの通算連番（範囲: 1～4, 件数: 4）",exchange_i18n_[exchange_id],交換マスタIDをベースにしたID。1つの交換に1つのi18nレコードが対応するため、交換IDを使うことで一意性を保証。
MstFragmentBox,id,fragment_box_[連番],"プレフィックス_fragment_box + 通算連番（範囲: 1～8, 件数: 8）",fragment_box_[mst_item_id],アイテムIDをベースにしたID。1つのアイテムに1つのフラグメントボックスが対応するため、アイテムIDを使うことで一意性を保証。
MstIdleIncentiveItem,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",idle_incentive_item_[tier]_[連番],ティア（tier）ごとに連番を振る。ティアごとに報酬が管理されるため、ティア別の連番が適切。
MstIdleIncentiveReward,id,mst_idle_incentive_reward_[連番],"プレフィックス_mst_idle_incentive_reward + 通算連番（範囲: 1～81, 件数: 81）",idle_incentive_reward_[tier]_[連番],ティア（tier）ごとに連番を振る。ティアごとに報酬が管理されるため、ティア別の連番が適切。
MstInGameSpecialRuleUnitStatus,id,[連番],"数字のみの通算連番（範囲: 1～25, 件数: 25）",ingame_special_rule_unit_status_[rule_id]_[unit_id],特殊ルールIDとユニットIDの組み合わせでIDを構成。ルールとユニットの組み合わせで一意に決まる。
MstItemRarityTrade,id,rarity_trade_[連番],"プレフィックス_rarity_trade + 通算連番（範囲: 1～4, 件数: 4）",item_rarity_trade_[from_rarity]_to_[to_rarity],交換元と交換先のレアリティをIDに含める。レアリティの組み合わせで一意に決まるため、通算連番は不要。
MstItemTransition,id,[連番],"数字のみの通算連番（範囲: 1～10041, 件数: 85）",item_transition_[from_item_id]_to_[to_item_id],アイテム変換元と変換先のアイテムIDをIDに含める。変換ルールごとに一意に決まるため、通算連番は不要。
MstMissionAchievement,id,achievement_2_[連番],"プレフィックス_achievement_2 + 通算連番（範囲: 1～100, 件数: 100）",mission_achievement_[criterion_type]_[連番],達成条件タイプ（criterion_type）ごとに連番を振る。バージョン番号（achievement_2_）は削除し、条件タイプで分類することで、より意味のあるIDとする。
MstMissionAchievementDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",mission_achievement_dependency_[parent_id]_[child_id],依存関係を表すテーブルなので、親IDと子IDの組み合わせをIDとする。通算連番は不要。
MstMissionDailyBonus,id,daily_bonus_[連番],"プレフィックス_daily_bonus + 通算連番（範囲: 1～7, 件数: 7）",mission_daily_bonus_[login_day_count],"ログイン日数（login_day_count）をIDに含める。日数ごとに一意なので通算連番は不要。例: mission_daily_bonus_1, mission_daily_bonus_2, ..."
MstMissionEventDependency,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",mission_event_dependency_[parent_id]_[child_id],依存関係を表すテーブルなので、親IDと子IDの組み合わせをIDとする。通算連番は不要。
MstMissionLimitedTerm,id,limited_term_[連番],"プレフィックス_limited_term + 通算連番（範囲: 1～48, 件数: 48）",mission_limited_term_[作品ID]_[イベントID]_[連番],作品IDとイベントIDをベースにした採番。既存のmst_mission_reward_group_id（例: kai_00001_limited_term_1）と同様の構造。イベントごとに連番を振ることで、過去の最大値を考慮する必要がなくなる。
MstMissionReward,id,mission_reward_[連番],"プレフィックス_mission_reward + 通算連番（範囲: 1～100, 件数: 100）",[group_id],既存のgroup_idカラムの値をそのままIDとして使用。group_idは既に意味のある識別子（例: daily_bonus_reward_1_1）なので、通算連番は不要。各グループごとに一意のIDが割り当てられる。
MstNgWord,id,ng_[連番],"プレフィックス_ng + 通算連番（範囲: 1～100, 件数: 100）",ng_word_[word_hash],ワードのハッシュ値または単語そのものをIDとする。通算連番ではなく、単語ベースのIDにすることで、重複を避けやすくする。
MstOutpostEnhancement,id,enhance_1_[連番],"プレフィックス_enhance_1 + 通算連番（範囲: 3～8, 件数: 6）",outpost_enhancement_[outpost_type]_[enhancement_type]_[連番],拠点タイプと強化タイプごとに連番を振る。バージョン番号（enhance_1_）は削除し、より明確な構造にする。
MstPackContent,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",pack_content_[pack_id]_[連番],パックIDごとに連番を振る。各パックごとにコンテンツが管理されるため、パック別の連番が適切。
MstPvpDummy,id,pvp_dummy_[連番],"プレフィックス_pvp_dummy + 通算連番（範囲: 13～112, 件数: 100）",pvp_dummy_[rank_tier]_[連番],ランクティアごとに連番を振る。ティアごとにダミーが管理されるため、ティア別の連番が適切。
MstQuestBonusUnit,id,[連番],"数字のみの通算連番（範囲: 1～77, 件数: 77）",quest_bonus_unit_[quest_id]_[unit_id],クエストIDとユニットIDの組み合わせでIDを構成。クエストごとにボーナスユニットが管理されるため、クエスト別のIDが適切。
MstQuestEventBonusSchedule,id,[連番],"数字のみの通算連番（範囲: 1～12, 件数: 12）",quest_event_bonus_schedule_[event_id]_[連番],イベントIDごとに連番を振る。イベントごとにスケジュールが管理されるため、イベント別の連番が適切。
MstResultTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～18, 件数: 18）",result_tip_i18n_[tip_category]_[連番],Tipカテゴリーごとに連番を振る。カテゴリーごとにTipsが管理されるため、カテゴリー別の連番が適切。
MstShopPass,id,premium_pass_[連番],"プレフィックス_premium_pass + 通算連番（範囲: 1～3, 件数: 3）",shop_pass_[pass_type]_[連番],パスタイプごとに連番を振る。パスタイプ（プレミアム、ノーマル等）ごとに管理されるため、タイプ別の連番が適切。
MstShopPassEffect,id,premium_pass_01_effect_[連番],"プレフィックス_premium_pass_01_effect + 通算連番（範囲: 1～2, 件数: 2）",shop_pass_effect_[pass_id]_[連番],パスIDごとに連番を振る。各パスごとに効果が管理されるため、パス別の連番が適切。
MstSpecialAttackI18n,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",special_attack_i18n_[attack_id],スペシャルアタックIDをベースにしたID。1つのアタックに1つのi18nレコードが対応するため、アタックIDを使うことで一意性を保証。
MstSpeechBalloonI18n,id,[連番],"数字のみの通算連番（範囲: 1～154, 件数: 100）",speech_balloon_i18n_[balloon_id],スピーチバルーンIDをベースにしたID。1つのバルーンに1つのi18nレコードが対応するため、バルーンIDを使うことで一意性を保証。
MstStageEnhanceRewardParam,id,[連番],"数字のみの通算連番（範囲: 1～14, 件数: 14）",stage_enhance_reward_param_[stage_level]_[連番],ステージレベルごとに連番を振る。レベルごとに報酬パラメータが管理されるため、レベル別の連番が適切。
MstStageEventReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",stage_event_reward_[event_id]_[stage_id]_[連番],イベントIDとステージIDごとに連番を振る。イベントとステージごとに報酬が管理されるため、それらの組み合わせが適切。
MstStageEventSetting,id,[連番],"数字のみの通算連番（範囲: 1～101, 件数: 100）",stage_event_setting_[event_id]_[連番],イベントIDごとに連番を振る。イベントごとに設定が管理されるため、イベント別の連番が適切。
MstStageReward,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",stage_reward_[stage_id]_[連番],ステージIDごとに連番を振る。ステージごとに報酬が管理されるため、ステージ別の連番が適切。
MstStoreProduct,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",store_product_[product_category]_[連番],商品カテゴリーごとに連番を振る。カテゴリーごとに商品が管理されるため、カテゴリー別の連番が適切。
MstTutorialTipI18n,id,[連番],"数字のみの通算連番（範囲: 1～28, 件数: 24）",tutorial_tip_i18n_[tip_category]_[連番],Tipカテゴリーごとに連番を振る。カテゴリーごとにTipsが管理されるため、カテゴリー別の連番が適切。
MstUnitEncyclopediaEffect,id,unit_encyclopedia_effect_[連番],"プレフィックス_unit_encyclopedia_effect + 通算連番（範囲: 5～1300, 件数: 44）",unit_encyclopedia_effect_[rank]_[連番],ランクごとに連番を振る。図鑑ランクごとに効果が管理されるため、ランク別の連番が適切。
MstUnitEncyclopediaReward,id,unit_encyclopedia_reward_rank_[連番],"プレフィックス_unit_encyclopedia_reward_rank + 通算連番（範囲: 5～1300, 件数: 44）",unit_encyclopedia_reward_[rank]_[連番],ランクごとに連番を振る。図鑑ランクごとに報酬が管理されるため、ランク別の連番が適切。
MstUnitFragmentConvert,id,[連番],"数字のみの通算連番（範囲: 1～8, 件数: 8）",unit_fragment_convert_[from_fragment_id]_to_[to_fragment_id],変換元と変換先のフラグメントIDをIDに含める。変換ルールごとに一意に決まるため、通算連番は不要。
MstUnitGradeCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～75, 件数: 40）",unit_grade_coefficient_[grade],グレード（ランク）をIDとする。グレードごとに1つの係数が対応するため、グレードそのものをIDとして使用。
MstUnitGradeUp,id,[連番],"数字のみの通算連番（範囲: 1～67, 件数: 32）",unit_grade_up_[from_grade]_to_[to_grade],昇格元と昇格先のグレードをIDに含める。昇格ルールごとに一意に決まるため、通算連番は不要。
MstUnitLevelUp,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",unit_level_up_[level],レベルをIDとする。レベルごとに1つのレベルアップ情報が対応するため、レベルそのものをIDとして使用。
MstUnitRankCoefficient,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）",unit_rank_coefficient_[rank],ランクをIDとする。ランクごとに1つの係数が対応するため、ランクそのものをIDとして使用。
MstUnitRankUp,id,[連番],"数字のみの通算連番（範囲: 1～69, 件数: 48）",unit_rank_up_[from_rank]_to_[to_rank],ランクアップ元と先のランクをIDに含める。ランクアップルールごとに一意に決まるため、通算連番は不要。
MstUnitRoleBonus,id,[連番],"数字のみの通算連番（範囲: 1～6, 件数: 6）",unit_role_bonus_[role],ロール（役割）をIDとする。ロールごとに1つのボーナスが対応するため、ロールそのものをIDとして使用。
MstUserLevel,id,[連番],"数字のみの通算連番（範囲: 1～100, 件数: 100）",user_level_[level],レベルをIDとする。レベルごとに1つのレベル情報が対応するため、レベルそのものをIDとして使用。
MstUserLevelBonus,id,[連番],"数字のみの通算連番（範囲: 1～21, 件数: 21）",user_level_bonus_[level],レベルをIDとする。レベルごとに1つのボーナスが対応するため、レベルそのものをIDとして使用。
MstUserLevelBonusGroup,id,[連番],"数字のみの通算連番（範囲: 1～31, 件数: 31）",user_level_bonus_group_[group_id],グループIDをIDとする。グループごとに1つのボーナスグループが対応するため、グループIDそのものをIDとして使用。
MstWhiteWord,id,wh_[連番],"プレフィックス_wh + 通算連番（範囲: 1～100, 件数: 100）",white_word_[word_hash],ワードのハッシュ値または単語そのものをIDとする。通算連番ではなく、単語ベースのIDにすることで、重複を避けやすくする。
OprGachaDisplayUnitI18n,id,[連番],"数字のみの通算連番（範囲: 1～107, 件数: 84）",gacha_display_unit_i18n_[gacha_id]_[unit_id],ガチャIDとユニットIDの組み合わせでIDを構成。ガチャごとに表示ユニットが管理されるため、ガチャとユニットの組み合わせが適切。
