テーブル,列,パターン,説明
MstArtwork,id,artwork_spy_[連番],"カテゴリ別連番（カテゴリ: spy, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_gom_[連番],"カテゴリ別連番（カテゴリ: gom, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_aka_[連番],"カテゴリ別連番（カテゴリ: aka, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_dan_[連番],"カテゴリ別連番（カテゴリ: dan, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_jig_[連番],"カテゴリ別連番（カテゴリ: jig, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_tak_[連番],"カテゴリ別連番（カテゴリ: tak, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_chi_[連番],"カテゴリ別連番（カテゴリ: chi, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_kai_[連番],"カテゴリ別連番（カテゴリ: kai, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_sur_[連番],"カテゴリ別連番（カテゴリ: sur, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_rik_[連番],"カテゴリ別連番（カテゴリ: rik, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_mag_[連番],"カテゴリ別連番（カテゴリ: mag, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_sum_[連番],"カテゴリ別連番（カテゴリ: sum, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_osh_[連番],"カテゴリ別連番（カテゴリ: osh, 範囲: 1～3, 件数: 3）"
MstArtwork,id,artwork_tutorial_[連番],"カテゴリ別連番（カテゴリ: tutorial, 範囲: 1～1, 件数: 1）"
MstArtwork,id,artwork_event_kai_[連番],"カテゴリ別連番（カテゴリ: event_kai, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_spy_[連番],"カテゴリ別連番（カテゴリ: event_spy, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_dan_[連番],"カテゴリ別連番（カテゴリ: event_dan, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_mag_[連番],"カテゴリ別連番（カテゴリ: event_mag, 範囲: 1～2, 件数: 2）"
MstArtwork,id,artwork_event_yuw_[連番],"カテゴリ別連番（カテゴリ: event_yuw, 範囲: 1～2, 件数: 2）"
