,元シート,GLOW_クエストレギュレーション
,推奨PTLv,難易度,雑魚HP RPG系,,,雑魚ATK※バフ考慮外,,,ボスHP,,,ボスATK※バフ考慮外,,,ゲートHP,備考
,,,ディフェンス,アタック / テクニカル,サポート,ディフェンス,アタック / テクニカル,サポート,ディフェンス,アタック / テクニカル,サポート,ディフェンス,アタック / テクニカル,サポート,各ステージ毎に調整
,Lv1~/星1,Normal 1,5600,1050,2450,21,70,35,56000,10500,24500,56,140,84,5000
,Lv2~/星1,Normal 2,6300,1400,2800,28,84,49,62999.99999999999,14000,28000,56,140,84,5000
,Lv3~/星1,Normal 3,7000,2450,3150,49,118.99999999999999,70,70000,24500,31499.999999999996,84,175,105,5000
,Lv5~/星1,Normal 4,8400,3150,3500,70,140,91,84000,31499.999999999996,35000,84,175,105,15000
,Lv7~/星1,Normal 5,9800,3849.9999999999995,3849.9999999999995,84,175,105,98000,38500,38500,98,210,125.99999999999999,15000
,Lv10~/星1,Normal 6,11900,4900,5600,105,210,140,118999.99999999999,49000,56000,118.99999999999999,350,210,25000
,Lv15~/星1,Normal 7,15399.999999999998,6650,7000,140,280,210,154000,66500,70000,140,420,280,25000
,Lv20~/星1,Normal 8,18900,8400,9100,210,350,244.99999999999997,189000,84000,91000,210,489.99999999999994,350,25000
,Lv25~/星1,Normal 9,22400,10150,11900,280,420,244.99999999999997,224000,101500,118999.99999999999,280,560,420,30000
,Lv30~/星1,Normal 10,26600,11900,14699.999999999998,350,560,350,266000,118999.99999999999,147000,350,770,489.99999999999994,30000
,Lv35~/星1,Normal 11,31499.999999999996,14000,17500,350,700,420,315000,140000,175000,420,840,560,30000
,Lv40~/星1,"Normal 12,13
Hard ~3",38500,16800,20300,420,840,489.99999999999994,350000,175000,230999.99999999997,489.99999999999994,979.9999999999999,700,50000
,Lv45~/星1,"Normal 14,15",42000,18200,23100,420,979.9999999999999,560,420000,210000,258999.99999999997,560,1120,770,50000
,Lv50~/星1,"Normal 16
Hard ~6",49000,21000,26600,489.99999999999994,1120,630,489999.99999999994,244999.99999999997,315000,630,1260,909.9999999999999,50000
,Lv55~/星1,,56000,24500,30099.999999999996,489.99999999999994,1260,700,560000,280000,350000,700,1400,909.9999999999999,50000
,Lv60~/星1,Hard ~9,62999.99999999999,28000,33600,560,1400,770,630000,350000,420000,770,1540,1050,75000
,Lv65~/星1,,70000,31499.999999999996,37100,560,1540,840,770000,420000,560000,840,1750,1120,75000
,Lv70~/星1,Hard ~13,77000,35000,43400,630,1680,909.9999999999999,979999.9999999999,560000,700000,909.9999999999999,1959.9999999999998,1260,75000
,Lv75~/星1,,84000,38500,49700,630,1819.9999999999998,979.9999999999999,1190000,700000,910000,979.9999999999999,2170,1260,100000
,Lv80~/星1,Hard ~16,91000,42000,56000,700,1959.9999999999998,1050,1400000,840000,1050000,1120,2380,1400,100000
,Lv60~/星3,Ex main ~5,75600,33600,40320,672,1680,923.9999999999999,756000,420000,503999.99999999994,923.9999999999999,1847.9999999999998,1260,150000
,Lv60~/星5,Ex,88199.99999999999,39200,47040,784,1959.9999999999998,1078,882000,489999.99999999994,588000,1078,2156,1470,150000
,Lv70~/星3,Ex main ~10,100100,45500,56420,819,2184,1183,1274000,728000,910000,1183,2548,1638,150000
,Lv70~/星5,Ex,115499.99999999999,52500,65099.99999999999,944.9999999999999,2520,1365,1470000,840000,1050000,1365,2940,1889.9999999999998,200000
,Lv80~/星3,Ex main ~16,118299.99999999999,54600,72800,909.9999999999999,2548,1365,1820000,1092000,1365000,1456,3094,1819.9999999999998,200000
,Lv80~/星5,Ex,136500,62999.99999999999,84000,1050,2940,1575,2100000,1260000,1575000,1680,3570,2100,300000
,any,1日1回,,,,,,,210000,,,21,70,35,1000
,Lv1~/星1,ストーリー1話,5600,1050,2450,21,70,35,56000,10500,24500,56,140,84,5000
,Lv3~/星1,ストーリー2話,7000,2450,3150,49,118.99999999999999,70,70000,24500,31499.999999999996,84,175,105,5000
,Lv5~/星1,"ストーリー3話,4話",8400,3150,3500,70,140,91,84000,31499.999999999996,35000,84,175,105,15000
,Lv10~/星1,"ストーリー5話,6話",11900,4900,5600,105,210,140,118999.99999999999,49000,56000,118.99999999999999,350,210,25000
,Lv15~/星1,ストーリー7話,15399.999999999998,6650,7000,140,280,210,154000,6650,70000,140,420,280,25000
,Lv20~/星1,ストーリー8話,18900,8400,9100,210,350,244.99999999999997,189000,84000,91000,210,489.99999999999994,350,25000
,Lv30~/星1,チャレンジ1話,26600,11900,14700,350,560,350,266000,119000,147000,350,770,490,30000
,Lv30~/星1,チャレンジ2話,26600,11900,14700,350,560,350,266000,119000,147000,350,770,490,30000
,Lv40~/星1,チャレンジ3話,38500,16800,20300,420,840,490,350000,175000,231000,490,980,700,50000
,Lv50~/星1,チャレンジ4話,49000,21000,26600,490,1120,630,490000,245000,315000,630,1260,910,50000
,Lv70~/星1,高難度ver1 1話,77000,35000,43400,630,1680,910,980000,560000,700000,910,1960,1260,150000
,Lv70~/星1,高難度ver1 2話,88200,39200,47040,784,1960,1078,882000,490000,588000,1078,2156,1470,150000
,Lv80~/星3,高難度ver1 3話,118300,54600,72800,910,2548,1365,1820000,1092000,1365000,1456,3094,1820,200000
,Lv5~/星1,降臨バトルwave1,8400,3150,3500,70,140,91,84000,31499.999999999996,35000,84,175,105
,Lv10~/星1,降臨バトルwave2,11900,4900,5600,105,210,140,118999.99999999999,49000,56000,118.99999999999999,350,210
,Lv20~/星1,降臨バトルwave3,26600,11900,14699.999999999998,350,560,350,266000,118999.99999999999,147000,350,770,489.99999999999994
,Lv30~/星1,降臨バトルwave4,26600,11900,14699.999999999998,350,560,350,266000,118999.99999999999,147000,350,770,489.99999999999994
,Lv40~/星1,降臨バトルwave5,38500,16800,20300,420,840,489.99999999999994,350000,175000,230999.99999999997,489.99999999999994,979.9999999999999,700
,Lv50~/星1,降臨バトルwave6,49000,21000,26600,489.99999999999994,1120,630,489999.99999999994,244999.99999999997,315000,630,1260,909.9999999999999
,Lv60~/星1,降臨バトルwave7,62999.99999999999,28000,33600,560,1400,770,630000,350000,420000,770,1540,1050
,Lv70~/星1,降臨バトルwave8,77000,35000,43400,630,1680,909.9999999999999,979999.9999999999,560000,700000,909.9999999999999,1959.9999999999998,1260

