ENABLE,id,mst_idle_incentive_item_group_id,mst_item_id,base_amount,release_key
e,381,idle_incentive_group_70,memory_glo_00001,0.9,202512020
e,382,idle_incentive_group_70,memory_glo_00002,0.95,202512020
e,383,idle_incentive_group_70,memory_glo_00003,0.9,202512020
e,384,idle_incentive_group_70,memory_glo_00004,0.9,202512020
e,385,idle_incentive_group_70,memory_glo_00005,0.9,202512020
e,386,idle_incentive_group_71,memory_glo_00001,0.9,202512020
e,387,idle_incentive_group_71,memory_glo_00002,0.95,202512020
e,388,idle_incentive_group_71,memory_glo_00003,0.95,202512020
e,389,idle_incentive_group_71,memory_glo_00004,0.9,202512020
e,390,idle_incentive_group_71,memory_glo_00005,0.9,202512020
e,391,idle_incentive_group_72,memory_glo_00001,0.9,202512020
e,392,idle_incentive_group_72,memory_glo_00002,0.95,202512020
e,393,idle_incentive_group_72,memory_glo_00003,0.95,202512020
e,394,idle_incentive_group_72,memory_glo_00004,0.95,202512020
e,395,idle_incentive_group_72,memory_glo_00005,0.9,202512020
