ENABLE,id,mst_pack_id,resource_type,resource_id,resource_amount,is_bonus,display_order,release_key
e,57,Xmas_item_pack_1,Item,memory_glo_00001,500,,5,202512015
e,58,Xmas_item_pack_1,Item,memory_glo_00002,500,,4,202512015
e,59,Xmas_item_pack_1,Item,memory_glo_00003,500,,3,202512015
e,60,Xmas_item_pack_1,Item,memory_glo_00004,500,,2,202512015
e,61,Xmas_item_pack_1,Item,memory_glo_00005,500,,1,202512015
e,62,Xmas_item_pack_1,Item,ticket_glo_00002,10,,6,202512015
e,63,Xmas_item_pack_2,Item,ticket_glo_00004,5,,5,202512015
e,64,Xmas_item_pack_2,Item,ticket_glo_00003,5,,4,202512015
e,65,Xmas_item_pack_2,Item,memoryfragment_glo_00003,5,,3,202512015
e,66,Xmas_item_pack_2,Item,memoryfragment_glo_00002,30,,2,202512015
e,67,Xmas_item_pack_2,Item,memoryfragment_glo_00001,50,,1,202512015
e,68,Xmas_item_pack_3,Item,ticket_glo_00203,1,,4,202512015
e,69,Xmas_item_pack_3,Item,box_glo_00008,10,1,3,202512015
e,70,Xmas_item_pack_3,Item,ticket_glo_00004,5,,2,202512015
e,71,Xmas_item_pack_3,Item,ticket_glo_00003,5,,1,202512015
e,112,offer_FreeDiamond150_202512015,FreeDiamond,,150,,1,202512015
