ENABLE,id,group_id,tradable_count,display_order,release_key
e,normal_01_lineup_00001,normal_01_lineup,2,1,202512015
e,normal_01_lineup_00002,normal_01_lineup,50,2,202512015
e,normal_01_lineup_00003,normal_01_lineup,30,3,202512015
e,normal_01_lineup_00004,normal_01_lineup,3,4,202512015
e,normal_01_lineup_00005,normal_01_lineup,50,5,202512015
e,normal_01_lineup_00006,normal_01_lineup,50,6,202512015
e,normal_01_lineup_00007,normal_01_lineup,50,7,202512015
e,normal_01_lineup_00008,normal_01_lineup,50,8,202512015
e,normal_01_lineup_00009,normal_01_lineup,50,9,202512015
e,normal_01_lineup_00010,normal_01_lineup,5,10,202512015
