ENABLE,id,mst_item_id,transition1,transition1_mst_id,transition2,transition2_mst_id,release_key
e,10001,piece_spy_00001,ExchangeShop,,None,,202512015
e,10002,piece_spy_00101,ExchangeShop,,None,,202512015
e,10003,piece_spy_00201,ExchangeShop,,None,,202512015
e,10004,piece_aka_00001,ExchangeShop,,None,,202512015
e,10005,piece_aka_00101,ExchangeShop,,None,,202512015
e,10006,piece_rik_00001,ExchangeShop,,None,,202512015
e,10007,piece_dan_00001,ExchangeShop,,None,,202512015
e,10008,piece_dan_00002,ExchangeShop,,None,,202512015
e,10009,piece_dan_00101,ExchangeShop,,None,,202512015
e,10010,piece_gom_00001,ExchangeShop,,None,,202512015
e,10011,piece_gom_00101,ExchangeShop,,None,,202512015
e,10012,piece_chi_00001,ExchangeShop,,None,,202512015
e,10013,piece_chi_00002,ExchangeShop,,None,,202512015
e,10014,piece_chi_00201,ExchangeShop,,None,,202512015
e,10015,piece_chi_00301,ExchangeShop,,None,,202512015
e,10016,piece_bat_00001,ExchangeShop,,None,,202512015
e,10017,piece_bat_00101,ExchangeShop,,None,,202512015
e,10018,piece_kai_00001,ExchangeShop,,None,,202512015
e,10019,piece_kai_00002,ExchangeShop,,None,,202512015
e,10020,piece_kai_00101,ExchangeShop,,None,,202512015
e,10021,piece_kai_00301,ExchangeShop,,None,,202512015
e,10022,piece_yuw_00001,ExchangeShop,,None,,202512015
e,10023,piece_yuw_00101,ExchangeShop,,None,,202512015
e,10024,piece_sur_00001,ExchangeShop,,None,,202512015
e,10025,piece_sur_00101,ExchangeShop,,None,,202512015
e,10026,piece_sur_00201,ExchangeShop,,None,,202512015
e,10027,piece_sur_00301,ExchangeShop,,None,,202512015
e,10028,piece_ron_00001,ExchangeShop,,None,,202512015
e,10029,piece_ron_00101,ExchangeShop,,None,,202512015
e,10030,piece_aha_00001,ExchangeShop,,None,,202512015
e,10031,piece_aha_00101,ExchangeShop,,None,,202512015
e,10032,piece_jig_00001,ExchangeShop,,None,,202512015
e,10033,piece_jig_00101,ExchangeShop,,None,,202512015
e,10034,piece_jig_00301,ExchangeShop,,None,,202512015
e,10035,piece_mag_00001,ExchangeShop,,None,,202512015
e,10036,piece_mag_00101,ExchangeShop,,None,,202512015
e,10037,piece_dos_00001,ExchangeShop,,None,,202512015
e,10038,piece_dos_00101,ExchangeShop,,None,,202512015
e,10039,piece_sum_00001,ExchangeShop,,None,,202512015
e,10040,piece_sum_00101,ExchangeShop,,None,,202512015
e,10041,piece_sum_00201,ExchangeShop,,None,,202512015
