ENABLE,id,mst_artwork_grade_up_id,resource_type,resource_id,resource_amount,release_key
e,event_kai_0003_01_01,event_kai_0003_01,Item,artwork_enhance_glo_00001,40,202603025
e,event_kai_0003_01_02,event_kai_0003_01,Item,artwork_enhance_glo_00002,40,202603025
e,event_kai_0003_02_01,event_kai_0003_02,Item,artwork_enhance_glo_00001,40,202603025
e,event_kai_0003_02_02,event_kai_0003_02,Item,artwork_enhance_glo_00002,40,202603025
e,event_kai_0003_02_03,event_kai_0003_02,Item,artwork_enhance_glo_00003,40,202603025
e,event_kai_0003_03_01,event_kai_0003_03,Item,artwork_enhance_glo_00001,40,202603025
e,event_kai_0003_03_02,event_kai_0003_03,Item,artwork_enhance_glo_00002,40,202603025
e,event_kai_0003_03_03,event_kai_0003_03,Item,artwork_enhance_glo_00003,40,202603025
e,event_kai_0003_03_04,event_kai_0003_03,Item,artwork_enhance_kai_00001,40,202603025
e,event_kai_0003_04_01,event_kai_0003_04,Item,artwork_enhance_glo_00001,40,202603025
e,event_kai_0003_04_02,event_kai_0003_04,Item,artwork_enhance_glo_00002,40,202603025
e,event_kai_0003_04_03,event_kai_0003_04,Item,artwork_enhance_glo_00003,40,202603025
e,event_kai_0003_04_04,event_kai_0003_04,Item,artwork_enhance_kai_00001,40,202603025
e,chara_kai_00701_01_01,chara_kai_00701_01,Item,artwork_enhance_glo_00001,40,202603025
e,chara_kai_00701_01_02,chara_kai_00701_01,Item,artwork_enhance_glo_00002,40,202603025
e,chara_kai_00701_02_01,chara_kai_00701_02,Item,artwork_enhance_glo_00001,40,202603025
e,chara_kai_00701_02_02,chara_kai_00701_02,Item,artwork_enhance_glo_00002,40,202603025
e,chara_kai_00701_02_03,chara_kai_00701_02,Item,artwork_enhance_glo_00003,40,202603025
e,chara_kai_00701_03_01,chara_kai_00701_03,Item,artwork_enhance_glo_00001,40,202603025
e,chara_kai_00701_03_02,chara_kai_00701_03,Item,artwork_enhance_glo_00002,40,202603025
e,chara_kai_00701_03_03,chara_kai_00701_03,Item,artwork_enhance_glo_00003,40,202603025
e,chara_kai_00701_03_04,chara_kai_00701_03,Item,artwork_enhance_kai_00001,40,202603025
e,chara_kai_00701_04_01,chara_kai_00701_04,Item,artwork_enhance_glo_00001,40,202603025
e,chara_kai_00701_04_02,chara_kai_00701_04,Item,artwork_enhance_glo_00002,40,202603025
e,chara_kai_00701_04_03,chara_kai_00701_04,Item,artwork_enhance_glo_00003,40,202603025
e,chara_kai_00701_04_04,chara_kai_00701_04,Item,artwork_enhance_kai_00001,40,202603025
