ENABLE,release_key,id,mst_attack_id,sort_order,attack_delay,attack_type,range_start_type,range_start_parameter,range_end_type,range_end_parameter,max_target_count,target,target_type,target_colors,target_roles,target_mst_series_ids,target_mst_character_ids,damage_type,hit_type,hit_parameter1,hit_parameter2,hit_effect_id,is_hit_stop,probability,power_parameter_type,power_parameter,effect_type,effective_count,effective_duration,effect_parameter,effect_value,effect_trigger_roles,effect_trigger_colors
e,202603025,chara_kai_00701_Normal_00000,chara_kai_00701_Normal_00000,1,0,Direct,Distance,0,Distance,0.32,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,75,None,0,0,0,,,
e,202603025,chara_kai_00701_Special_00001,chara_kai_00701_Special_00001,1,0,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,90,RemoveBuff,-1,0,0,All,,
e,202603025,chara_kai_00701_Special_00001a,chara_kai_00701_Special_00001,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,2000,3,,,
e,202603025,chara_kai_00701_Special_00002,chara_kai_00701_Special_00002,1,0,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,100,RemoveBuff,-1,0,0,All,,
e,202603025,chara_kai_00701_Special_00002a,chara_kai_00701_Special_00002,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,RemoveDebuff,1,0,0,All,,
e,202603025,chara_kai_00701_Special_00002b,chara_kai_00701_Special_00002,3,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,2000,5,,,
e,202603025,chara_kai_00701_Special_00003,chara_kai_00701_Special_00003,1,0,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,107,RemoveBuff,-1,0,0,All,,
e,202603025,chara_kai_00701_Special_00003a,chara_kai_00701_Special_00003,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,RemoveDebuff,2,0,0,All,,
e,202603025,chara_kai_00701_Special_00003b,chara_kai_00701_Special_00003,3,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,2000,7,,,
e,202603025,chara_kai_00701_Special_00004,chara_kai_00701_Special_00004,1,0,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,112,RemoveBuff,-1,0,0,All,,
e,202603025,chara_kai_00701_Special_00004a,chara_kai_00701_Special_00004,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,RemoveDebuff,3,0,0,All,,
e,202603025,chara_kai_00701_Special_00004b,chara_kai_00701_Special_00004,3,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,2000,9,,,
e,202603025,chara_kai_00701_Special_00005,chara_kai_00701_Special_00005,1,0,Direct,Distance,0,Distance,0.72,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,115,RemoveBuff,-1,0,0,All,,
e,202603025,chara_kai_00701_Special_00005a,chara_kai_00701_Special_00005,2,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,RemoveDebuff,-1,0,0,All,,
e,202603025,chara_kai_00701_Special_00005b,chara_kai_00701_Special_00005,3,0,Direct,Distance,0,Distance,0,1,Self,All,All,All,,,None,Normal,0,0,,,100,Percentage,0,AttackPowerUp,-1,2000,12,,,
e,202603025,chara_gom_00701_Normal_00000,chara_gom_00701_Normal_00000,1,0,Direct,Distance,0,Distance,0.27,1,Foe,All,All,All,,,Damage,Normal,0,0,dageki_1,1,100,Percentage,100,None,0,0,0,,,
e,202603025,chara_gom_00701_Special_00001,chara_gom_00701_Special_00001,1,0,Direct,Distance,0,Distance,0.27,1,Foe,All,All,All,,,Damage,Drain,5,100,dageki_1,1,100,Percentage,109,None,0,0,0,,,
e,202603025,chara_gom_00701_Special_00002,chara_gom_00701_Special_00002,1,0,Direct,Distance,0,Distance,0.27,1,Foe,All,All,All,,,Damage,Drain,7,100,dageki_1,1,100,Percentage,126,None,0,0,0,,,
e,202603025,chara_gom_00701_Special_00003,chara_gom_00701_Special_00003,1,0,Direct,Distance,0,Distance,0.27,1,Foe,All,All,All,,,Damage,Drain,9,100,dageki_1,1,100,Percentage,138,None,0,0,0,,,
