ENABLE,id,mst_stage_id,upper_clear_time_ms,resource_type,resource_id,resource_amount,release_key
e,event_l05anniv_challenge01_00001_1,event_l05anniv_challenge01_00001,140000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00001_2,event_l05anniv_challenge01_00001,200000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00001_3,event_l05anniv_challenge01_00001,300000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00002_1,event_l05anniv_challenge01_00002,140000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00002_2,event_l05anniv_challenge01_00002,200000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00002_3,event_l05anniv_challenge01_00002,300000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00003_1,event_l05anniv_challenge01_00003,140000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00003_2,event_l05anniv_challenge01_00003,200000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00003_3,event_l05anniv_challenge01_00003,300000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00004_1,event_l05anniv_challenge01_00004,140000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00004_2,event_l05anniv_challenge01_00004,200000,FreeDiamond,,20,202603025
e,event_l05anniv_challenge01_00004_3,event_l05anniv_challenge01_00004,300000,FreeDiamond,,20,202603025
