ENABLE,release_key,id,mst_store_product_id,language,price_ios,price_android,price_webstore,paid_diamond_price_ios,paid_diamond_price_android,paid_diamond_price_webstore
e,202603025,102_ja,102,ja,300,300,0,0,0,0
e,202603025,103_ja,103,ja,480,480,0,0,0,0
e,202603025,104_ja,104,ja,980,980,0,0,0,0
e,202603025,105_ja,105,ja,2980,2980,0,0,0,0
e,202603025,106_ja,106,ja,4980,4980,0,0,0,0
e,202603025,107_ja,107,ja,3000,3000,0,0,0,0
e,202603025,108_ja,108,ja,10000,10000,0,0,0,0
e,202603025,109_ja,109,ja,150,150,0,0,0,0
e,202603025,110_ja,110,ja,980,980,0,0,0,0
e,202603025,111_ja,111,ja,480,480,0,0,0,0
e,202603025,112_ja,112,ja,1480,1480,0,0,0,0
e,202603025,113_ja,113,ja,1980,1980,0,0,0,0
e,202603025,116_ja,116,ja,480,480,0,0,0,0
e,202603025,117_ja,117,ja,1980,1980,0,0,0,0
e,202603025,118_ja,118,ja,4980,4980,0,0,0,0
e,202603025,119_ja,119,ja,10000,10000,0,0,0,0
