ENABLE,id,mst_store_product_id,product_type,purchasable_count,paid_amount,display_priority,start_date,end_date,release_key
e,112,102,Pack,10,,38,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,113,103,Pack,5,,37,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,114,104,Pack,1,,36,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,115,105,Pack,2,,35,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,116,106,Pack,1,,34,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,117,107,Pack,1,,24,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,118,108,Pack,1,,33,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,119,109,Pack,5,,39,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,120,110,Pack,1,,17,"2026-03-31 11:00:00","2026-05-01 10:59:59",202603025
e,121,111,Pack,1,,25,"2026-03-31 11:00:00","2026-05-01 10:59:59",202603025
e,122,112,Pack,1,,24,"2026-03-31 11:00:00","2026-05-01 10:59:59",202603025
e,123,113,Pack,1,,32,"2026-04-04 15:00:00","2026-04-11 14:59:59",202603025
e,126,116,Diamond,2,300,107,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,127,117,Diamond,2,1500,106,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,128,118,Diamond,2,4000,105,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
e,129,119,Diamond,2,11200,104,"2026-03-30 15:00:00","2026-04-13 10:59:59",202603025
