ENABLE,release_key,id,opr_product_id,language,asset_key
e,202603025,112_ja,112,ja,
e,202603025,113_ja,113,ja,
e,202603025,114_ja,114,ja,
e,202603025,115_ja,115,ja,
e,202603025,116_ja,116,ja,
e,202603025,117_ja,117,ja,
e,202603025,118_ja,118,ja,
e,202603025,119_ja,119,ja,
e,202603025,120_ja,120,ja,
e,202603025,121_ja,121,ja,
e,202603025,122_ja,122,ja,
e,202603025,123_ja,123,ja,
e,202603025,126_ja,126,ja,increase_prism_00002
e,202603025,127_ja,127,ja,increase_prism_00003
e,202603025,128_ja,128,ja,increase_prism_00005
e,202603025,129_ja,129,ja,increase_prism_00006
