,探索詳細設計,,6分=1スタミナ回復,,"( $B$19+($C$19-$B$19) * Pow( (C82-1) / ($C$16-1), $F$19) )",,,シミュレーター,,,,,,,,,,,,,,
,メインクエスト名,クエストID-ステージID,"積立コイン
（10分）","積立EXP
（10分）",想定セグメント,rank,,10分の獲得量,,1時間分の獲得量,,2時間分の獲得量,,8時間分の獲得量,,16時間分の獲得量,,24時間分の獲得量,,"26時間分の獲得量
24時間+クイック1回",,
,,,,,,,,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,
,チュートリアル,0-1,2.000,1.00,チュートリアル,1,,2.00,1.00,12.00,6.00,24.00,12.00,96.00,48.00,192.00,96.00,288.00,144.00,312.00,156.00,
,,0-2,2.000,1.00,チュートリアル,1,,2.00,1.00,12.00,6.00,24.00,12.00,96.00,48.00,192.00,96.00,288.00,144.00,312.00,156.00,#NAME?
,SPY×FAMILY,1-1,2.000,1.00,エントリー①,2,1,2.00,1.00,12.00,6.00,24.00,12.00,96.00,48.00,192.00,96.00,288.00,144.00,312.00,156.00,1.00
,,1-2,2.051,1.60,エントリー①,3,2,2.00,1.00,12.00,9.00,24.00,19.00,98.00,76.00,196.00,153.00,295.00,230.00,319.00,249.00,2.19
,,1-3,2.145,2.29,エントリー①,5,3,2.00,2.00,12.00,13.00,25.00,27.00,102.00,109.00,205.00,219.00,308.00,329.00,333.00,356.00,2.43
,,1-4,2.267,3.01,エントリー①,7,4,2.00,3.00,13.00,18.00,27.00,36.00,108.00,144.00,217.00,288.00,326.00,433.00,353.00,469.00,2.70
,,1-5,2.411,3.76,エントリー①,8,5,2.00,3.00,14.00,22.00,28.00,45.00,115.00,180.00,231.00,360.00,347.00,541.00,375.00,586.00,2.99
,,1-6,2.575,4.53,エントリー①,9,6,2.00,4.00,15.00,27.00,30.00,54.00,123.00,217.00,247.00,434.00,370.00,652.00,400.00,706.00,3.29
,姫様”拷問”の時間です,2-1,2.756,5.32,エントリー①,10,7,2.00,5.00,16.00,31.00,33.00,63.00,132.00,255.00,264.00,510.00,396.00,766.00,429.00,829.00,3.61
,,2-2,2.952,6.11,エントリー①,12,8,2.00,6.00,17.00,36.00,35.00,73.00,141.00,293.00,283.00,586.00,425.00,879.00,460.00,952.00,3.93
,,2-3,3.163,6.92,エントリー②,14,9,3.00,6.00,18.00,41.00,37.00,83.00,151.00,332.00,303.00,664.00,455.00,996.00,492.00,1079.00,4.27
,,2-4,3.388,7.74,エントリー②,16,10,3.00,7.00,20.00,46.00,40.00,92.00,162.00,371.00,325.00,743.00,487.00,1114.00,527.00,1206.00,4.61
,,2-5,3.626,8.57,エントリー②,18,11,3.00,8.00,21.00,51.00,43.00,102.00,174.00,411.00,348.00,822.00,522.00,1234.00,565.00,1336.00,4.96
,,2-6,3.876,9.41,エントリー②,19,12,3.00,9.00,23.00,56.00,46.00,112.00,186.00,451.00,372.00,903.00,558.00,1355.00,604.00,1467.00,5.32
,ラーメン赤猫,3-1,4.137,10.25,エントリー②,20,13,4.00,10.00,24.00,61.00,49.00,123.00,198.00,492.00,397.00,984.00,595.00,1476.00,644.00,1599.00,5.69
,,3-2,4.410,11.11,エントリー②,24,14,4.00,11.00,26.00,66.00,52.00,133.00,211.00,533.00,423.00,1066.00,635.00,1599.00,687.00,1732.00,6.06
,,3-3,4.693,11.96,ライト,27,15,4.00,11.00,28.00,71.00,56.00,143.00,225.00,574.00,450.00,1148.00,675.00,1722.00,731.00,1865.00,6.44
,"GLOW
オリジナルクエスト１",4-1,4.987,12.83,ライト,28,16,4.00,12.00,29.00,76.00,59.00,153.00,239.00,615.00,478.00,1231.00,718.00,1847.00,777.00,2000.00,6.82
,,4-2,5.290,13.70,ライト,29,17,5.00,13.00,31.00,82.00,63.00,164.00,253.00,657.00,507.00,1315.00,761.00,1972.00,824.00,2136.00,7.21
,,4-3,5.603,14.57,ライト,29,18,5.00,14.00,33.00,87.00,67.00,174.00,268.00,699.00,537.00,1398.00,806.00,2098.00,873.00,2272.00,7.60
,ダンダダン,5-1,5.926,15.46,ライト,30,19,5.00,15.00,35.00,92.00,71.00,185.00,284.00,742.00,568.00,1484.00,853.00,2226.00,924.00,2411.00,8.00
,,5-2,6.258,16.34,ライト,30,20,6.00,16.00,37.00,98.00,75.00,196.00,300.00,784.00,600.00,1568.00,901.00,2352.00,976.00,2548.00,8.40
,,5-3,6.598,17.23,ミドル①,30,21,6.00,17.00,39.00,103.00,79.00,206.00,316.00,827.00,633.00,1654.00,950.00,2481.00,1029.00,2687.00,8.81
,,5-4,6.947,18.13,ミドル①,31,22,6.00,18.00,41.00,108.00,83.00,217.00,333.00,870.00,666.00,1740.00,1000.00,2610.00,1083.00,2827.00,9.22
,,5-5,7.305,19.03,ミドル①,31,23,7.00,19.00,43.00,114.00,87.00,228.00,350.00,913.00,701.00,1826.00,1051.00,2740.00,1138.00,2968.00,9.63
,,5-6,7.671,19.93,ミドル①,31,24,7.00,19.00,46.00,119.00,92.00,239.00,368.00,956.00,736.00,1913.00,1104.00,2869.00,1196.00,3108.00,10.05
,地獄楽,6-1,8.044,20.84,ミドル①,31,25,8.00,20.00,48.00,125.00,96.00,250.00,386.00,1000.00,772.00,2000.00,1158.00,3000.00,1254.00,3250.00,10.47
,,6-2,8.426,21.75,ミドル①,31,26,8.00,21.00,50.00,130.00,101.00,261.00,404.00,1044.00,808.00,2088.00,1213.00,3132.00,1314.00,3393.00,10.90
,,6-3,8.815,22.66,ミドル①,32,27,8.00,22.00,52.00,135.00,105.00,271.00,423.00,1087.00,846.00,2175.00,1269.00,3263.00,1374.00,3534.00,11.33
,,6-4,9.212,23.58,ミドル①,32,28,9.00,23.00,55.00,141.00,110.00,282.00,442.00,1131.00,884.00,2263.00,1326.00,3395.00,1436.00,3677.00,11.76
,,6-5,9.617,24.50,ミドル①,32,29,9.00,24.00,57.00,147.00,115.00,294.00,461.00,1176.00,923.00,2352.00,1384.00,3528.00,1499.00,3822.00,12.20
,,6-6,10.028,25.43,ミドル①,33,30,10.00,25.00,60.00,152.00,120.00,305.00,481.00,1220.00,962.00,2441.00,1444.00,3661.00,1564.00,3966.00,12.63
,タコピーの原罪,7-1,10.447,26.35,ミドル①,33,31,10.00,26.00,62.00,158.00,125.00,316.00,501.00,1264.00,1002.00,2529.00,1504.00,3794.00,1629.00,4110.00,13.08
,,7-2,10.873,27.29,ミドル①,33,32,10.00,27.00,65.00,163.00,130.00,327.00,521.00,1309.00,1043.00,2619.00,1565.00,3929.00,1695.00,4256.00,13.52
,,7-3,11.306,28.22,ミドル①,34,33,11.00,28.00,67.00,169.00,135.00,338.00,542.00,1354.00,1085.00,2709.00,1628.00,4063.00,1763.00,4401.00,13.97
,"GLOW
オリジナルクエスト2",8-1,11.745,29.16,ミドル①,35,34,11.00,29.00,70.00,174.00,140.00,349.00,563.00,1399.00,1127.00,2799.00,1691.00,4199.00,1831.00,4548.00,14.42
,,8-2,12.192,30.10,ミドル①,35,35,12.00,30.00,73.00,180.00,146.00,361.00,585.00,1444.00,1170.00,2889.00,1755.00,4334.00,1901.00,4695.00,14.87
,,8-3,12.645,31.04,ミドル①,35,36,12.00,31.00,75.00,186.00,151.00,372.00,606.00,1489.00,1213.00,2979.00,1820.00,4469.00,1971.00,4841.00,15.33
,チェンソーマン 一部,9-1,13.104,31.98,ミドル①,35,37,13.00,31.00,78.00,191.00,157.00,383.00,628.00,1535.00,1257.00,3070.00,1886.00,4605.00,2043.00,4988.00,15.78
,,9-2,13.570,32.93,ミドル②,36,38,13.00,32.00,81.00,197.00,162.00,395.00,651.00,1580.00,1302.00,3161.00,1954.00,4741.00,2116.00,5136.00,16.24
