そのまま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脳死で元の関数を引っ張っただけ。元の関数が終点に対して曲げる関数なので正しい使い方ではないが、これまでの上昇傾向と同じにはなっている(ただし、どこかのタイミングで急激に上昇し始めてしまう),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
→こっちでいくになった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索詳細設計,,,6分=1スタミナ回復,,"( $B$19+($C$19-$B$19) * Pow( (C82-1) / ($C$16-1), $F$19) )",,,シミュレーター,,※獲得時、少数以下は切り捨てます。　,,,,,,,,,,,,,,探索画面表示,※少数第3位まで表示されます,,,,,,,,
,メインクエスト名,クエストID-ステージID,,"積立コイン
（10分）","積立EXP
（10分）",想定セグメント,rank,,10分の獲得量,,1時間分の獲得量,,2時間分の獲得量,,8時間分の獲得量,,16時間分の獲得量,,24時間分の獲得量,,"26時間分の獲得量
24時間+クイック1回",,,,1時間分の獲得量,,,,,,,,,
,,,,,,,,,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,コイン量,EXP量,,,コイン量,EXP量,,,,,,,,
,チュートリアル,0-1,1.000,2.000,1.00,チュートリアル,1,,2.00,1.00,12.00,6.00,24.00,12.00,96.00,48.00,192.00,96.00,288.00,144.00,312.00,156.00,,,12.000,6.000,,"round(($F$7+($F$81-$E$7)*pow((I8-1)/($I$81-1),1.25)),3)",1,2.000,1.00,,,
,,0-2,2.000,2.000,1.00,チュートリアル,1,,2.00,1.00,12.00,6.00,24.00,12.00,96.00,48.00,192.00,96.00,288.00,144.00,312.00,156.00,#NAME?,,12.000,6.000,,23.310,2,2.000,1.00,,0.000,0.00
,SPY×FAMILY,1-1,3.000,2.000,1.000,エントリー①,2,1,2.00,1.00,12.00,6.00,24.00,12.00,96.00,48.00,192.00,96.00,288.00,144.00,312.00,156.00,1.00,,12.000,6.000,,,3,2.000,1.000,,0.000,0.000
,,1-2,4.000,2.051,1.103,エントリー①,3,2,2.00,1.00,12.00,6.00,24.00,13.00,98.00,52.00,196.00,105.00,295.00,158.00,319.00,171.00,2.19,,12.306,6.618,,,4,2.051,1.103,,0.051,0.103
,,1-3,5.000,2.145,1.244,エントリー①,5,3,2.00,1.00,12.00,7.00,25.00,14.00,102.00,59.00,205.00,119.00,308.00,179.00,333.00,193.00,2.43,,12.870,7.464,,,5,2.145,1.244,,0.094,0.141
,,1-4,6.000,2.267,1.406,エントリー①,7,4,2.00,1.00,13.00,8.00,27.00,16.00,108.00,67.00,217.00,134.00,326.00,202.00,353.00,218.00,2.70,,13.602,8.436,,,6,2.267,1.406,,0.122,0.162
,,1-5,7.000,2.411,1.581,エントリー①,8,5,2.00,1.00,14.00,9.00,28.00,18.00,115.00,75.00,231.00,151.00,347.00,227.00,375.00,245.00,2.99,,14.466,9.486,,,7,2.411,1.581,,0.144,0.175
,,1-6,8.000,2.575,1.769,エントリー①,9,6,2.00,1.00,15.00,10.00,30.00,21.00,123.00,84.00,247.00,169.00,370.00,254.00,400.00,275.00,3.29,,15.450,10.614,,,8,2.575,1.769,,0.164,0.188
,姫様”拷問”の時間です,2-1,9.000,2.756,1.965,エントリー①,10,7,2.00,1.00,16.00,11.00,33.00,23.00,132.00,94.00,264.00,188.00,396.00,282.00,429.00,305.00,3.61,,16.536,11.790,,,9,2.756,1.965,,0.181,0.196
,,2-2,10.000,2.952,2.170,エントリー①,12,8,2.00,2.00,17.00,13.00,35.00,26.00,141.00,104.00,283.00,208.00,425.00,312.00,460.00,338.00,3.93,,17.712,13.020,,,10,2.952,2.170,,0.196,0.205
,,2-3,11.000,3.163,2.383,エントリー②,14,9,3.00,2.00,18.00,14.00,37.00,28.00,151.00,114.00,303.00,228.00,455.00,343.00,492.00,371.00,4.27,,18.978,14.298,,,11,3.163,2.383,,0.211,0.213
,,2-4,12.000,3.388,2.602,エントリー②,16,10,3.00,2.00,20.00,15.00,40.00,31.00,162.00,124.00,325.00,249.00,487.00,374.00,527.00,405.00,4.61,,20.328,15.612,,,12,3.388,2.602,,0.225,0.219
