探索ドロップテーブル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
探索で手に入るアイテムのドロップテーブルを設計する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
▼獲得キャラの欠片計算式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
受け取れる個数= 経過時間<10分> × 獲得量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8640,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12960,,,,
,探索詳細設計,,,,,,,,,,シミュレーター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,メインクエスト名,クエストID-ステージID,赤リミテッドメモリー,青リミテッドメモリー,黄リミテッドメモリー,緑リミテッドメモリー,無リミテッドメモリー,想定セグメント,rank,,10分の獲得量,,,,,1時間分の獲得量,,,,,2時間分の獲得量,,,,,8時間分の獲得量,,,,,16時間分の獲得量,,,,,24時間分の獲得量,,,,,"26時間分の獲得量
24時間+クイック1回",,,,
,,,,,,,,,,,"無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー"
,チュートリアル,0-1,0.20,0,0,0,0,チュートリアル,1,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,19,0,0,0,0,28,0,0,0,0,30,0,0,0
,,0-2,0.20,0,0,0,0,チュートリアル,1,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,19,0,0,0,0,28,0,0,0,0,30,0,0,0
,SPY×FAMILY,1-1,0.20,0,0,0,0,エントリー①,2,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,19,0,0,0,0,28,0,0,0,0,30,0,0,0
,,1-2,0.20,0.20,0,0,0,エントリー①,3,,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,9,9,0,0,0,19,19,0,0,0,28,28,0,0,0,30,30,0,0
,,1-3,0.20,0.20,0.20,0,0,エントリー①,5,,0,0,0,0,0,0,1,1,1,0,0,2,2,2,0,0,9,9,9,0,0,19,19,19,0,0,28,28,28,0,0,30,30,30,0
,,1-4,0.20,0.20,0.20,0.20,0,エントリー①,7,,0,0,0,0,0,0,1,1,1,1,0,2,2,2,2,0,9,9,9,9,0,19,19,19,19,0,28,28,28,28,0,30,30,30,30
,,1-5,0.20,0.20,0.20,0.20,0.20,エントリー①,8,,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,9,9,9,9,9,19,19,19,19,19,28,28,28,28,28,30,30,30,30,30
,,1-6,0.25,0.20,0.20,0.20,0.20,エントリー①,9,,0,0,0,0,0,1,1,1,1,1,2,3,2,2,2,9,12,9,9,9,19,24,19,19,19,28,36,28,28,28,30,39,30,30,30
,姫様”拷問”の時間です,2-1,0.25,0.25,0.20,0.20,0.20,エントリー①,10,,0,0,0,0,0,1,1,1,1,1,2,3,3,2,2,9,12,12,9,9,19,24,24,19,19,28,36,36,28,28,30,39,39,30,30
,,2-2,0.25,0.25,0.25,0.20,0.20,エントリー①,12,,0,0,0,0,0,1,1,1,1,1,2,3,3,3,2,9,12,12,12,9,19,24,24,24,19,28,36,36,36,28,30,39,39,39,30
,,2-3,0.25,0.25,0.25,0.25,0.20,エントリー②,14,,0,0,0,0,0,1,1,1,1,1,2,3,3,3,3,9,12,12,12,12,19,24,24,24,24,28,36,36,36,36,30,39,39,39,39
