探索ドロップテーブル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
探索で手に入るアイテムのドロップテーブルを設計する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
▼獲得キャラの欠片計算式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
受け取れる個数= 経過時間<10分> × 獲得量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索詳細設計,,,,,,,,,,シミュレーター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,メインクエスト名,クエストID-ステージID,赤リミテッドメモリー,青リミテッドメモリー,黄リミテッドメモリー,緑リミテッドメモリー,無リミテッドメモリー,想定セグメント,rank,,10分の獲得量,,,,,1時間分の獲得量,,,,,2時間分の獲得量,,,,,8時間分の獲得量,,,,,16時間分の獲得量,,,,,24時間分の獲得量,,,,,"26時間分の獲得量
24時間+クイック1回",,,,
,,,,,,,,,,,"無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー","無リミテッド
メモリー","赤リミテッド
メモリー","青リミテッド
メモリー","黄リミテッド
メモリー","緑リミテッド
メモリー"
,チュートリアル,0-1,1.00,0,0,0,0,チュートリアル,1,,0,1,0,0,0,0,6,0,0,0,0,12,0,0,0,0,48,0,0,0,0,96,0,0,0,0,144,0,0,0,0,156,0,0,0
,,0-2,1.00,0,0,0,0,チュートリアル,1,,0,1,0,0,0,0,6,0,0,0,0,12,0,0,0,0,48,0,0,0,0,96,0,0,0,0,144,0,0,0,0,156,0,0,0
,SPY×FAMILY,1-1,1.00,0,0,0,0,エントリー①,2,,0,1,0,0,0,0,6,0,0,0,0,12,0,0,0,0,48,0,0,0,0,96,0,0,0,0,144,0,0,0,0,156,0,0,0
,,1-2,1.00,1.00,0,0,0,エントリー①,3,,0,1,1,0,0,0,6,6,0,0,0,12,12,0,0,0,48,48,0,0,0,96,96,0,0,0,144,144,0,0,0,156,156,0,0
,,1-3,1.00,1.00,1.00,0,0,エントリー①,5,,0,1,1,1,0,0,6,6,6,0,0,12,12,12,0,0,48,48,48,0,0,96,96,96,0,0,144,144,144,0,0,156,156,156,0
,,1-4,1.00,1.00,1.00,1.00,0,エントリー①,7,,0,1,1,1,1,0,6,6,6,6,0,12,12,12,12,0,48,48,48,48,0,96,96,96,96,0,144,144,144,144,0,156,156,156,156
,,1-5,1.00,1.00,1.00,1.00,1.00,エントリー①,8,,1,1,1,1,1,6,6,6,6,6,12,12,12,12,12,48,48,48,48,48,96,96,96,96,96,144,144,144,144,144,156,156,156,156,156
