,探索設計,,
,,,
,▼報酬受け取りについて,,
,・,放置時間10分経過から報酬が獲得できる仕様とする,
,,,
,▼報酬upについて,,
,・,放置時間10分毎に獲得報酬が増えていき、24時間(計1440分）報酬が最大獲得となる,
,・,メインクエストのステージをクリアすることで、報酬内容を豪華にしていく仕様,
,,・,報酬昇格はNormalの進捗のみ。Hard以上は対象としない
,,,
,・,獲得報酬は1日に26時間分取る計算にする,
,,・,朝：9時間報酬+2時間分のクイック探索
,,・,昼：5時間報酬
,,・,夜：10時間報酬
,,,
,▼クイック探索回数について,,
,・,1日に最大4回までクイック探索が可能（1回AD 3回x30プリズム）,
,,,
,▼リソース獲得計算,,
,,▼獲得コイン計算,
,,・,獲得コイン(少数切り捨て) = 経過時間<10分> × 積立コイン
,,,
,,▼獲得EXP計算,
,,・,獲得EXP(少数切り捨て) = 経過時間<10分> × 積立EXP
,,,
,,▼獲得アイテム計算,
,,・,獲得アイテム(少数切り捨て) = 経過時間<10分> × 獲得量
,,,
,▼獲得アイテムリスト,,
,,・,ユーザーEXP
,,・,コイン
,,・,各種カラーメモリー（リミテッドメモリー）
