ENABLE,release_key,id,mst_attack_id,sort_order,attack_delay,attack_type,range_start_type,range_start_parameter,range_end_type,range_end_parameter,max_target_count,target,target_type,target_colors,target_roles,target_mst_series_ids,target_mst_character_ids,damage_type,hit_type,hit_parameter1,hit_parameter2,hit_effect_id,is_hit_stop,probability,power_parameter_type,power_parameter,effect_type,effective_count,effective_duration,effect_parameter,effect_value
e,202601010,chara_jig_00401_Normal_00000,chara_jig_00401_Normal_00000,1,0,Direct,Distance,0,Distance,0.32,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,100.0,None,0,0,0,
e,202601010,chara_jig_00401_Special_00001_01,chara_jig_00401_Special_00001,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,98.0,None,0,0,0,
e,202601010,chara_jig_00401_Special_00001_02,chara_jig_00401_Special_00001,2,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,TakeDamageUp,-1,150,0,25
e,202601010,chara_jig_00401_Special_00001_03,chara_jig_00401_Special_00001,3,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,DrainHealth,-1,0,98,5
e,202601010,chara_jig_00401_Special_00002_01,chara_jig_00401_Special_00002,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,110.0,None,0,0,0,
e,202601010,chara_jig_00401_Special_00002_02,chara_jig_00401_Special_00002,2,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,TakeDamageUp,-1,175,0,27
e,202601010,chara_jig_00401_Special_00002_03,chara_jig_00401_Special_00002,3,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,DrainHealth,-1,0,110,8
e,202601010,chara_jig_00401_Special_00003_01,chara_jig_00401_Special_00003,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,119.0,None,0,0,0,
e,202601010,chara_jig_00401_Special_00003_02,chara_jig_00401_Special_00003,2,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,TakeDamageUp,-1,200,0,34
e,202601010,chara_jig_00401_Special_00003_03,chara_jig_00401_Special_00003,3,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,DrainHealth,-1,0,119,11
e,202601010,chara_jig_00401_Special_00004_01,chara_jig_00401_Special_00004,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,126.0,None,0,0,0,
e,202601010,chara_jig_00401_Special_00004_02,chara_jig_00401_Special_00004,2,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,TakeDamageUp,-1,225,0,40
e,202601010,chara_jig_00401_Special_00004_03,chara_jig_00401_Special_00004,3,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,DrainHealth,-1,0,126,13
e,202601010,chara_jig_00401_Special_00005_01,chara_jig_00401_Special_00005,1,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,130.0,None,0,0,0,
e,202601010,chara_jig_00401_Special_00005_02,chara_jig_00401_Special_00005,2,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,TakeDamageUp,-1,275,0,50
e,202601010,chara_jig_00401_Special_00005_03,chara_jig_00401_Special_00005,3,0,Direct,Distance,0,Distance,0.52,100,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,DrainHealth,-1,0,130,15
e,202601010,chara_jig_00601_Normal_00000,chara_jig_00601_Normal_00000,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,100.0,None,0,0,0,
e,202601010,chara_jig_00601_Special_00001_01,chara_jig_00601_Special_00001,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,109.0,None,0,0,0,
e,202601010,chara_jig_00601_Special_00001_02,chara_jig_00601_Special_00001,2,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,Knockback,-1,0,0,1
e,202601010,chara_jig_00601_Special_00002_01,chara_jig_00601_Special_00002,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,126.0,None,0,0,0,
e,202601010,chara_jig_00601_Special_00002_02,chara_jig_00601_Special_00002,2,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,Knockback,-1,0,0,1
e,202601010,chara_jig_00601_Special_00003_01,chara_jig_00601_Special_00003,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,138.0,None,0,0,0,
e,202601010,chara_jig_00601_Special_00003_02,chara_jig_00601_Special_00003,2,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,Knockback,-1,0,0,1
e,202601010,chara_jig_00601_Special_00004_01,chara_jig_00601_Special_00004,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,147.0,None,0,0,0,
e,202601010,chara_jig_00601_Special_00004_02,chara_jig_00601_Special_00004,2,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,Knockback,-1,0,0,1
e,202601010,chara_jig_00601_Special_00005_01,chara_jig_00601_Special_00005,1,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,Damage,Normal,0,0,zangeki_1,1,100,Percentage,153.0,None,0,0,0,
e,202601010,chara_jig_00601_Special_00005_02,chara_jig_00601_Special_00005,2,0,Direct,Distance,0,Distance,0.22,1,Foe,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,Knockback,-1,0,0,1
e,202601010,chara_jig_00701_Special_00001,chara_jig_00701_Special_00001,1,0,Direct,Koma,0,Koma,0,100,Ally,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,RecoverHealth,-1,0,0,6
e,202601010,chara_jig_00701_Special_00002,chara_jig_00701_Special_00002,1,0,Direct,Koma,0,Koma,0,100,Ally,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,RecoverHealth,-1,0,0,12
e,202601010,chara_jig_00701_Special_00003,chara_jig_00701_Special_00003,1,0,Direct,Koma,0,Koma,0,100,Ally,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,RecoverHealth,-1,0,0,16
e,202601010,chara_jig_00701_Special_00004,chara_jig_00701_Special_00004,1,0,Direct,Koma,0,Koma,0,100,Ally,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,RecoverHealth,-1,0,0,18
e,202601010,chara_jig_00701_Special_00005,chara_jig_00701_Special_00005,1,0,Direct,Koma,0,Koma,0,100,Ally,All,All,All,,,None,Normal,0,0,,,100,Percentage,0.0,RecoverHealth,-1,0,0,22
