ENABLE,release_key,id,mst_unit_id,unit_grade,attack_kind,killer_colors,killer_percentage,action_frames,attack_delay,next_attack_interval,asset_key
e,202601010,chara_jig_00401_Normal_00000,chara_jig_00401,0,Normal,,,84,25,50,
e,202601010,chara_jig_00401_Special_00001,chara_jig_00401,1,Special,,,134,79,0,
e,202601010,chara_jig_00401_Special_00002,chara_jig_00401,2,Special,,,134,79,0,
e,202601010,chara_jig_00401_Special_00003,chara_jig_00401,3,Special,,,134,79,0,
e,202601010,chara_jig_00401_Special_00004,chara_jig_00401,4,Special,,,134,79,0,
e,202601010,chara_jig_00401_Special_00005,chara_jig_00401,5,Special,,,134,79,0,
e,202601010,chara_jig_00601_Normal_00000,chara_jig_00601,0,Normal,,,84,30,100,
e,202601010,chara_jig_00601_Special_00001,chara_jig_00601,1,Special,,,134,75,0,
e,202601010,chara_jig_00601_Special_00002,chara_jig_00601,2,Special,,,134,75,0,
e,202601010,chara_jig_00601_Special_00003,chara_jig_00601,3,Special,,,134,75,0,
e,202601010,chara_jig_00601_Special_00004,chara_jig_00601,4,Special,,,134,75,0,
e,202601010,chara_jig_00601_Special_00005,chara_jig_00601,5,Special,,,134,75,0,
e,202601010,chara_jig_00701_Special_00001,chara_jig_00701,1,Special,,,120,0,0,
e,202601010,chara_jig_00701_Special_00002,chara_jig_00701,2,Special,,,120,0,0,
e,202601010,chara_jig_00701_Special_00003,chara_jig_00701,3,Special,,,120,0,0,
e,202601010,chara_jig_00701_Special_00004,chara_jig_00701,4,Special,,,120,0,0,
e,202601010,chara_jig_00701_Special_00005,chara_jig_00701,5,Special,,,120,0,0,
