ENABLE,release_key,id,mst_attack_id,language,name,description,one_point_description
e,202601010,chara_jig_00401_Special_00001_ja,chara_jig_00401_Special_00001,ja,必殺ワザ,敵複数体に自身の攻撃ステータスの98%のダメージ + 攻撃がヒットした場合、敵を3秒間、被ダメージが25%上昇する弱体化状態にする + 攻撃がヒットした場合、ダメージの5%分、自身の体力を回復,必殺ワザで複数の相手を弱体化させつつ、体力も吸収するテクニカルキャラ!さらに、特定の条件で性能が変化するぞ!
e,202601010,chara_jig_00401_Special_00002_ja,chara_jig_00401_Special_00002,ja,必殺ワザ,敵複数体に自身の攻撃ステータスの110%のダメージ + 攻撃がヒットした場合、敵を3.5秒間、被ダメージが27%上昇する弱体化状態にする + 攻撃がヒットした場合、ダメージの8%分、自身の体力を回復,ステータスUP + 必殺ワザ性能UP
e,202601010,chara_jig_00401_Special_00003_ja,chara_jig_00401_Special_00003,ja,必殺ワザ,敵複数体に自身の攻撃ステータスの119%のダメージ + 攻撃がヒットした場合、敵を4秒間、被ダメージが34%上昇する弱体化状態にする + 攻撃がヒットした場合、ダメージの11%分、自身の体力を回復,ステータスUP + 必殺ワザ性能UP
e,202601010,chara_jig_00401_Special_00004_ja,chara_jig_00401_Special_00004,ja,必殺ワザ,敵複数体に自身の攻撃ステータスの126%のダメージ + 攻撃がヒットした場合、敵を4.5秒間、被ダメージが40%上昇する弱体化状態にする + 攻撃がヒットした場合、ダメージの13%分、自身の体力を回復,ステータスUP + 必殺ワザ性能UP
e,202601010,chara_jig_00401_Special_00005_ja,chara_jig_00401_Special_00005,ja,必殺ワザ,敵複数体に自身の攻撃ステータスの130%のダメージ + 攻撃がヒットした場合、敵を5.5秒間、被ダメージが50%上昇する弱体化状態にする + 攻撃がヒットした場合、ダメージの15%分、自身の体力を回復,ステータスUP + 必殺ワザ性能UP
e,202601010,chara_jig_00601_Special_00001_ja,chara_jig_00601_Special_00001,ja,必殺ワザ,敵単体に自身の攻撃ステータスの109%のダメージ + 攻撃がヒットした場合、敵を小ノックバック,味方を守りつつ、必殺ワザの攻撃でチームの火力に貢献するぞ!
e,202601010,chara_jig_00601_Special_00002_ja,chara_jig_00601_Special_00002,ja,必殺ワザ,敵単体に自身の攻撃ステータスの126%のダメージ + 攻撃がヒットした場合、敵を小ノックバック,ステータスUP + 必殺ワザ性能UP
e,202601010,chara_jig_00601_Special_00003_ja,chara_jig_00601_Special_00003,ja,必殺ワザ,敵単体に自身の攻撃ステータスの138%のダメージ + 攻撃がヒットした場合、敵を小ノックバック,ステータスUP + 必殺ワザ性能UP
e,202601010,chara_jig_00601_Special_00004_ja,chara_jig_00601_Special_00004,ja,必殺ワザ,敵単体に自身の攻撃ステータスの147%のダメージ + 攻撃がヒットした場合、敵を小ノックバック,ステータスUP + 必殺ワザ性能UP
e,202601010,chara_jig_00601_Special_00005_ja,chara_jig_00601_Special_00005,ja,必殺ワザ,敵単体に自身の攻撃ステータスの153%のダメージ + 攻撃がヒットした場合、敵を小ノックバック,ステータスUP + 必殺ワザ性能UP
e,202601010,chara_jig_00701_Special_00001_ja,chara_jig_00701_Special_00001,ja,必殺ワザ,選択したコマにいる味方の体力を6%回復,特定のコマにいる味方を回復!
e,202601010,chara_jig_00701_Special_00002_ja,chara_jig_00701_Special_00002,ja,必殺ワザ,選択したコマにいる味方の体力を12%回復,必殺ワザ性能UP
e,202601010,chara_jig_00701_Special_00003_ja,chara_jig_00701_Special_00003,ja,必殺ワザ,選択したコマにいる味方の体力を16%回復,必殺ワザ性能UP
e,202601010,chara_jig_00701_Special_00004_ja,chara_jig_00701_Special_00004,ja,必殺ワザ,選択したコマにいる味方の体力を18%回復,必殺ワザ性能UP
e,202601010,chara_jig_00701_Special_00005_ja,chara_jig_00701_Special_00005,ja,必殺ワザ,選択したコマにいる味方の体力を22%回復,必殺ワザ性能UP
