ENABLE,id,release_key,group_id,mst_mission_event_id,unlock_order,備考
e,116,202512010,event_sur_00001_1,event_sur_00001_1,1,
e,117,202512010,event_sur_00001_1,event_sur_00001_2,2,
e,118,202512010,event_sur_00001_1,event_sur_00001_3,3,
e,119,202512010,event_sur_00001_1,event_sur_00001_4,4,
e,120,202512010,event_sur_00001_5,event_sur_00001_5,1,
e,121,202512010,event_sur_00001_5,event_sur_00001_6,2,
e,122,202512010,event_sur_00001_5,event_sur_00001_7,3,
e,123,202512010,event_sur_00001_5,event_sur_00001_8,4,
e,124,202512010,event_sur_00001_5,event_sur_00001_9,5,
e,125,202512010,event_sur_00001_5,event_sur_00001_10,6,
e,126,202512010,event_sur_00001_5,event_sur_00001_11,7,
e,127,202512010,event_sur_00001_12,event_sur_00001_12,1,
e,128,202512010,event_sur_00001_12,event_sur_00001_13,2,
e,129,202512010,event_sur_00001_12,event_sur_00001_14,3,
e,130,202512010,event_sur_00001_12,event_sur_00001_15,4,
e,131,202512010,event_sur_00001_16,event_sur_00001_16,1,
e,132,202512010,event_sur_00001_16,event_sur_00001_17,2,
e,133,202512010,event_sur_00001_16,event_sur_00001_18,3,
e,134,202512010,event_sur_00001_16,event_sur_00001_19,4,
e,135,202512010,event_sur_00001_16,event_sur_00001_20,5,
e,136,202512010,event_sur_00001_16,event_sur_00001_21,6,
e,137,202512010,event_sur_00001_16,event_sur_00001_22,7,
e,138,202512010,event_sur_00001_27,event_sur_00001_27,1,
e,139,202512010,event_sur_00001_27,event_sur_00001_28,2,
e,140,202512010,event_sur_00001_27,event_sur_00001_29,3,
e,141,202512010,event_sur_00001_27,event_sur_00001_30,4,
e,142,202512010,event_sur_00001_27,event_sur_00001_31,5,
e,143,202512010,event_sur_00001_27,event_sur_00001_32,6,
e,144,202512010,event_sur_00001_27,event_sur_00001_33,7,
e,145,202512010,event_sur_00001_27,event_sur_00001_34,8,
e,146,202512010,event_sur_00001_27,event_sur_00001_35,9,
e,147,202512010,event_sur_00001_27,event_sur_00001_36,10,
e,148,202512010,event_sur_00001_27,event_sur_00001_37,11,
e,149,202512010,event_sur_00001_27,event_sur_00001_38,12,
e,150,202512010,event_sur_00001_27,event_sur_00001_39,13,
