ENABLE,release_key,id,mst_enemy_character_id,character_unit_kind,role_type,color,sort_order,hp,damage_knock_back_count,move_speed,well_distance,attack_power,attack_combo_cycle,mst_unit_ability_id1,drop_battle_point,mstTransformationEnemyStageParameterId,transformationConditionType,transformationConditionValue
e,202509010,e_chi_00101_general_Normal_Colorless,enemy_chi_00101,Normal,Defense,Colorless,801,5000,1,35,0.11,320,1,,50,,None,
e,202509010,c_chi_00002_general_Boss_Yellow,chara_chi_00002,Boss,Technical,Yellow,809,400000,2,50,0.15,450,5,,50,,None,
e,202509010,e_sur_00101_general_Boss_Green,enemy_sur_00101,Boss,Attack,Green,904,400000,3,45,0.2,850,1,,10,,None,
e,202509010,e_mag_00001_general2_Boss_Blue,enemy_mag_00001,Boss,Attack,Blue,1301,1000000,1,35,0.3,2500,1,,10,,None,
e,202509010,e_mag_00101_general2_Normal_Blue,enemy_mag_00101,Normal,Attack,Blue,1303,20000,1,100,0.11,400,1,,10,,None,
e,202509010,c_mag_00001_general_Boss_Blue,chara_mag_00001,Boss,Attack,Blue,1308,320000,2,45,0.4,1200,5,,10,,None,
e,202509010,e_sum_00001_general_Boss_Red,enemy_sum_00001,Boss,Defense,Red,1410,350000,1,40,0.2,600,1,,10,,None,
e,202509010,c_sum_00001_general_Normal_Red,chara_sum_00001,Normal,Technical,Red,1411,245000,2,45,0.11,500,5,,10,,None,
e,202509010,e_kai_00101_general_Normal_Colorless,enemy_kai_00101,Normal,Defense,Colorless,1507,25000,1,45,0.11,350,1,,10,,None,
e,202509010,c_kai_00002_general_Boss_Yellow,chara_kai_00002,Boss,Support,Yellow,1512,700000,1,45,0.2,1700,5,,10,,None,
e,202509010,e_spy_00001_general_n_Boss_Blue,enemy_spy_00001,Boss,Attack,Blue,6,10000,2,34,0.4,50,1,,300,,None,
e,202509010,c_spy_00401_general_n_Boss_Blue,chara_spy_00401,Boss,Defense,Blue,11,10000,,31,0.2,50,7,,500,,None,
e,202509010,e_gom_00501_general_n_Normal_Colorless,enemy_gom_00501,Normal,Defense,Colorless,12,1000,,34,0.14,50,1,,200,,None,
e,202509010,e_gom_00402_general_n_Normal_Colorless,enemy_gom_00402,Normal,Attack,Colorless,20,1000,,34,0.11,50,1,,100,,None,
e,202509010,e_gom_00701_general_n_Boss_Colorless,enemy_gom_00701,Boss,Attack,Colorless,34,10000,,34,0.11,50,1,,100,,None,
e,202509010,c_gom_00001_general_n_Boss_Yellow,chara_gom_00001,Boss,Defense,Yellow,45,10000,1,25,0.16,50,6,,500,,None,
e,202509010,e_dan_00001_general_n_Normal_Red,enemy_dan_00001,Normal,Defense,Red,2,10000,,34,0.24,50,1,,100,,None,
e,202509010,e_jig_00001_mainquest_Normal_Colorless,enemy_jig_00001,Normal,Defense,Colorless,10,3500,2,31,0.21,50,1,,150,,None,
e,202509010,e_jig_00401_mainquest_Normal_Colorless,enemy_jig_00401,Normal,Attack,Colorless,401,3000,4,32,0.24,100,1,,100,,None,
e,202509010,c_tak_00001_mainquest_Boss_Blue,chara_tak_00001,Boss,Defense,Blue,702,10000,4,25,0.17,300,5,,400,,None,
e,202509010,e_glo_00001_general_Normal_Colorless,enemy_glo_00001,Normal,Attack,Colorless,1001,5000,3,34,0.22,100,1,,150,,None,
e,202510020,c_dan_00301_bbaget_atk_Boss_Blue,chara_dan_00301,Boss,Attack,Blue,18,50000,3,30,0.25,300,4,,200,,None,
e,202511020,c_yuw_00001_1d1c_Normal_Colorless,chara_yuw_00001,Normal,Attack,Colorless,1,10000,3,30,0.24,300,4,,1000,,None,
e,202511020,c_yuw_00101_753get_Normal_Green,chara_yuw_00101,Normal,Technical,Green,13,50000,2,29,0.25,300,5,,100,,None,
e,202511020,c_yuw_00301_challenge_Normal_Green,chara_yuw_00301,Normal,Technical,Green,19,50000,3,29,0.26,300,4,,500,,None,
e,202511020,c_yuw_00401_challenge_Boss_Green,chara_yuw_00401,Boss,Defense,Green,23,50000,2,30,0.17,300,6,,100,,None,
e,202511020,c_yuw_00601_1d1c_Normal_Colorless,chara_yuw_00601,Normal,Defense,Colorless,26,10000,3,25,0.19,300,4,,1000,,None,
e,202512010,c_sur_00801_challenge_Normal_Red,chara_sur_00801,Normal,Defense,Red,44,50000,3,32,0.24,300,4,,100,,None,
e,202512020,c_osh_00601_osh1_boot_huku_Boss_Colorless,chara_osh_00601,Boss,Attack,Colorless,3,10000,2,45,0.22,300,2,,500,,None,
e,202512020,c_osh_00501_charaget_repeat_Boss_Yellow,chara_osh_00501,Boss,Technical,Yellow,9,10000,3,30,0.26,300,4,,500,,None,
