,※同IDが存在してないように使用用途を識別に入力する。　「general」や「normal_01only」など,,,,,,,※手打ち可能,,,,,,,,,,,,,,,,,,,,
,master_id,識別,enemy_ID,作品,キャラ名(監修名),識別キャラ名,unit_kind,role_type,color,HP,knock_back,move_speed,well_distance,attack_power,start_range,end_range,攻撃範囲,撃破リーダーP,通常攻撃モーション秒,通常攻撃発生秒,通常攻撃CDF,必殺攻撃モーション秒,必殺攻撃発生秒,必殺ワザ内容,必殺発動回数,特性,オノマトペ,通常攻撃備考
,enemy_kai_00301,_kai1_advent,e_kai_00301_kai1_advent_Normal_Colorless,怪獣８号,蜘蛛の怪獣,蜘蛛の怪獣_kai1_advent,Normal,Defense,Colorless,10000,2,31,0.17,300,0,0.18,1,200,1.00,0.40,50,-,-,,-,,dageki_1,
,enemy_kai_00301,_kai1_advent,e_kai_00301_kai1_advent_Boss_Red,怪獣８号,蜘蛛の怪獣,蜘蛛の怪獣_kai1_advent,Boss,Attack,Red,10000,3,37,0.19,300,0,0.2,1,100,1.00,0.40,75,-,-,,-,,dageki_1,
,enemy_kai_00301,_kai1_advent,e_kai_00301_kai1_advent_Boss_Blue,怪獣８号,蜘蛛の怪獣,蜘蛛の怪獣_kai1_advent,Boss,Attack,Blue,10000,3,40,0.18,300,0,0.19,1,100,1.00,0.40,100,-,-,,-,,dageki_1,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,enemy_kai_00101,_kai1_advent,e_kai_00101_kai1_advent_Normal_Colorless,怪獣８号,怪獣 余獣,怪獣 余獣_kai1_advent,Normal,Defense,Colorless,10000,3,21,0.22,500,0,0.23,1,200,1.23,stop有:1回目 0.56,50,-,-,,-,,dageki_1,
,enemy_kai_00101,_kai1_advent,e_kai_00101_kai1_advent_Boss_Red,怪獣８号,怪獣 余獣,怪獣 余獣_kai1_advent,Boss,Attack,Red,10000,2,25,0.19,500,0,0.2,1,100,1.23,stop有:1回目 0.56,75,-,-,,-,,dageki_1,
,enemy_kai_00101,_kai1_advent,e_kai_00101_kai1_advent_Boss_Blue,怪獣８号,怪獣 余獣,怪獣 余獣_kai1_advent,Boss,Attack,Blue,10000,2,28,0.17,500,0,0.18,1,100,1.23,stop有:1回目 0.56,100,-,-,,-,,dageki_1,
,,,,,none,,,,,,,,,,,,,,,,,,,,,,,
,enemy_kai_00001,_kai1_advent,e_kai_00001_kai1_advent_Normal_Colorless,怪獣８号,怪獣 本獣,怪獣 本獣_kai1_advent,Normal,Attack,Colorless,10000,3,25,0.3,500,0,0.4,100,100,2.34,stop有:1回目 1.00,100,-,-,,-,,dageki_1,
,enemy_kai_00001,_kai1_advent,e_kai_00001_kai1_advent_Boss_Red,怪獣８号,怪獣 本獣,怪獣 本獣_kai1_advent,Boss,Attack,Red,10000,3,21,0.35,500,0,0.45,100,300,2.34,stop有:1回目 1.00,150,-,-,,-,,dageki_1,
,enemy_kai_00001,_kai1_advent,e_kai_00001_kai1_advent_Boss_Blue,怪獣８号,怪獣 本獣,怪獣 本獣_kai1_advent,Boss,Attack,Blue,10000,3,23,0.31,500,0,0.41,100,300,2.34,stop有:1回目 1.00,125,-,-,,-,,dageki_1,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,enemy_kai_00401,_kai1_advent,e_kai_00401_kai1_advent_Boss_Red,怪獣８号,怪獣１０号,怪獣１０号_kai1_advent,Boss,Attack,Red,100000,2,65,0.22,2000,0,0.23,1,500,1.30,stop有:1回目 0.55,25,-,-,,-,,dageki_1,
,enemy_kai_00401,_kai1_advent,e_kai_00401_kai1_advent_Boss_Blue,怪獣８号,怪獣１０号,怪獣１０号_kai1_advent,Boss,Attack,Blue,100000,2,70,0.2,2000,0,0.21,1,500,1.30,stop有:1回目 0.55,100,-,-,,-,,dageki_1,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,enemy_spy_00001,_frankyget,e_spy_00001_frankyget_Normal_Colorless,SPY×FAMILY,密輸組織の残党,密輸組織の残党_frankyget,Normal,Attack,Colorless,5000,3,25,0.32,300,0,0.33,1,250,1.00,0.17,50,-,-,,-,,shageki_1,
,enemy_spy_00001,_spy1savage,e_spy_00001_spy1savage_Normal_Colorless,SPY×FAMILY,密輸組織の残党,密輸組織の残党_spy1savage,Normal,Attack,Colorless,5000,3,70,0.32,300,0,0.33,1,250,1.00,0.17,50,-,-,,-,,shageki_1,
,chara_spy_00401,_frankyget,c_spy_00401_frankyget_Boss_Colorless,SPY×FAMILY,フランキー・フランクリン,フランキー・フランクリン_frankyget,Boss,Defense,Colorless,40000,3,30,0.17,100,0,0.18,1,500,1.20,0.50,60,2.75,1.34,単体に150%ダメージ,7,,dageki_2,
,chara_spy_00401,_frankyget,c_spy_00401_frankyget_Boss_Red,SPY×FAMILY,フランキー・フランクリン,フランキー・フランクリン_frankyget,Boss,Technical,Red,40000,3,28,0.18,100,0,0.19,1,500,1.20,0.50,30,2.75,1.34,単体に100%ダメージ+6秒間、小ノックバック攻撃,3,,dageki_2,
,enemy_spy_00101,_spy1challenge,e_spy_00101_spy1challenge_Normal_Red,SPY×FAMILY,グエン,グエン_spy1challenge,Normal,Attack,Red,5000,2,30,0.18,200,0,0.19,1,250,1.20,0.50,75,-,-,,-,,dageki_1,
,enemy_spy_00001,_damianget,e_spy_00001_damianget_Normal_Red,SPY×FAMILY,密輸組織の残党,密輸組織の残党_damianget,Normal,Attack,Red,5000,3,25,0.32,300,0,0.33,1,250,1.00,0.17,50,-,-,,-,,shageki_1,
,chara_spy_00201,_damianget,c_spy_00201_damianget_Boss_Red,SPY×FAMILY,<いばら姫> ヨル,<いばら姫> ヨル_damianget,Boss,Attack,Red,40000,2,40,0.22,500,0,0.28,1,500,1.42,stop無:1回目 0.61,85,2.50,stop有:1回目 0.73,敵複数体に200%ダメージ,5,,zangeki_1,
,chara_spy_00501,_spy1_advent,c_spy_00501_spy1_advent_Boss_Red,SPY×FAMILY,姉を想う盲愛 ユーリ・ブライア,ユーリ・ブライア_spy1_advent,Boss,Defense,Red,100000,2,25,0.17,100,0,0.18,1,500,1.13,stop有:1回目 0.33,50,2.33,stop無:1回目 1.17,20秒間、自身が受けるダメージ20%カット,6,,dageki_1,
,chara_spy_00101,_damianget,c_spy_00101_damianget_Boss_Red,SPY×FAMILY,<黄昏> ロイド,<黄昏> ロイド_damianget,Boss,Attack,Red,25000,1,30,0.35,400,0,0.36,1,500,1.64,0.83,80,2.50,1.33,単体に200%ダメージ,5,,shageki_1,
,,,___,none,none,none,,none,,,,,,,,,,,none,none,,none,none,,-,,none,
,enemy_glo_00001,_dan1_advent,e_glo_00001_dan1_advent_Normal_Colorless,GLOW,ファントム,ファントム_dan1_advent,Normal,Attack,Colorless,10000,2,40,0.22,500,0,0.23,1,50,1.00,0.50,50,,,,-,,dageki_1,
,enemy_glo_00001,_dan1_advent,e_glo_00001_dan1_advent_Normal_Yellow,GLOW,ファントム,ファントム_dan1_advent,Normal,Attack,Yellow,10000,2,35,0.23,500,0,0.24,1,50,1.00,0.50,50,,,,-,,dageki_1,
