シート名,id,sequence_set_id,sequence_group_id,sequence_element_id,priority_sequence_element_id,condition_type,condition_value,action_type,action_value,action_value2,summon_count,summon_interval,summon_animation_type,summon_position,move_start_condition_type,move_start_condition_value,move_stop_condition_type,move_stop_condition_value,move_restart_condition_type,move_restart_condition_value,move_loop_count,is_summon_unit_outpost_damage_invalidation,last_boss_trigger,aura_type,death_type,enemy_hp_coef,enemy_attack_coef,enemy_speed_coef,override_drop_battle_point,defeated_score,action_delay,deactivation_condition_type,deactivation_condition_value,release_key
3話,,event_jig1_savage_00003,,1,,ElapsedTime,1000,SummonEnemy,c_jig_00001_jig1_savage_Boss_Colorless,,1,0,Fall0,1.8,None,,None,,None,,,TRUE,,Default,Normal,150,12,1,500,0,,None,,202601010
3話,,event_jig1_savage_00003,,2,,FriendUnitDead,1,SummonEnemy,c_jig_00001_jig1_savage_Boss_Colorless,,1,0,Fall0,1.8,None,,None,,None,,,TRUE,,Default,Normal,220,15,1,100,0,2000,None,,202601010
3話,,event_jig1_savage_00003,,3,,ElapsedTime,250,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,65,20,1,75,0,,None,,202601010
3話,,event_jig1_savage_00003,,4,,FriendUnitDead,3,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,85,20,1,75,0,100,None,,202601010
3話,,event_jig1_savage_00003,,5,,FriendUnitDead,4,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,100,20,1,75,0,300,None,,202601010
3話,,event_jig1_savage_00003,,10,,FriendUnitDead,5,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,120,20,1,75,0,500,None,,202601010
3話,,event_jig1_savage_00003,,11,,FriendUnitDead,10,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,150,20,1,75,0,500,None,,202601010
3話,,event_jig1_savage_00003,,12,,FriendUnitDead,11,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,180,20,1,75,0,500,None,,202601010
3話,,event_jig1_savage_00003,,13,,FriendUnitDead,12,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,200,20,1,50,0,1000,None,,202601010
3話,,event_jig1_savage_00003,,14,,FriendUnitDead,13,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,220,20,1,50,0,1000,None,,202601010
3話,,event_jig1_savage_00003,,15,,FriendUnitDead,14,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,250,20,1,50,0,1000,None,,202601010
3話,,event_jig1_savage_00003,,10,,FriendUnitDead,15,SummonEnemy,c_jig_00401_jig1_savage_Normal_Colorless,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,300,20,1,50,0,1000,None,,202601010
3話,,event_jig1_savage_00003,,6,,ElapsedTime,500,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,80,26,1,75,0,,None,,202601010
3話,,event_jig1_savage_00003,,7,,FriendUnitDead,6,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,100,26,1,75,0,50,None,,202601010
3話,,event_jig1_savage_00003,,8,,FriendUnitDead,7,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,120,26,1,75,0,250,None,,202601010
3話,,event_jig1_savage_00003,,9,,FriendUnitDead,8,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,150,26,1,75,0,500,None,,202601010
3話,,event_jig1_savage_00003,,16,,FriendUnitDead,9,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,180,26,1,75,0,500,None,,202601010
3話,,event_jig1_savage_00003,,17,,FriendUnitDead,16,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,200,26,1,75,0,500,None,,202601010
3話,,event_jig1_savage_00003,,18,,FriendUnitDead,17,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,220,26,1,50,0,1000,None,,202601010
3話,,event_jig1_savage_00003,,19,,FriendUnitDead,18,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,250,26,1,50,0,1000,None,,202601010
3話,,event_jig1_savage_00003,,20,,FriendUnitDead,19,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,300,26,1,50,0,1000,None,,202601010
3話,,event_jig1_savage_00003,,21,,FriendUnitDead,20,SummonEnemy,e_jig_00601_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,350,26,1,50,0,1000,None,,202601010
2話,,event_jig1_savage_00002,,1,,ElapsedTime,700,SummonEnemy,c_jig_00101_jig1_savage_Boss_Colorless,,1,0,None,,None,,None,,None,,,TRUE,,Default,Normal,100,20,1,200,0,50,None,,202601010
2話,,event_jig1_savage_00002,,2,,ElapsedTime,500,SummonEnemy,c_jig_00001_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,80,7,1,100,0,,None,,202601010
2話,,event_jig1_savage_00002,,3,,FriendUnitDead,2,SummonEnemy,c_jig_00001_jig1_savage_Normal_Yellow,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,100,7,1,100,0,500,None,,202601010
