ENABLE,id,mst_stage_id,reward_category,resource_type,resource_id,resource_amount,percentage,sort_order,release_key
e,306,event_yuw1_1day_00001,FirstClear,FreeDiamond,prism_glo_00001,20,100,1,202511020
e,307,event_yuw1_charaget01_00001,FirstClear,Unit,chara_yuw_00501,1,100,1,202511020
e,308,event_yuw1_charaget01_00001,FirstClear,FreeDiamond,prism_glo_00001,30,100,2,202511020
e,309,event_yuw1_charaget01_00001,FirstClear,Coin,,250,100,3,202511020
e,310,event_yuw1_charaget01_00001,Random,Item,piece_yuw_00501,1,10,4,202511020
e,311,event_yuw1_charaget01_00002,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,312,event_yuw1_charaget01_00002,FirstClear,Coin,,250,100,2,202511020
e,313,event_yuw1_charaget01_00002,Random,Item,piece_yuw_00501,1,15,3,202511020
e,314,event_yuw1_charaget01_00003,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,315,event_yuw1_charaget01_00003,FirstClear,Coin,,250,100,2,202511020
e,316,event_yuw1_charaget01_00003,Random,Item,piece_yuw_00501,1,20,3,202511020
e,317,event_yuw1_charaget01_00004,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,318,event_yuw1_charaget01_00004,FirstClear,Coin,,350,100,2,202511020
e,319,event_yuw1_charaget01_00004,Random,Item,piece_yuw_00501,3,25,3,202511020
e,320,event_yuw1_charaget01_00005,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,321,event_yuw1_charaget01_00005,FirstClear,Coin,,350,100,2,202511020
e,322,event_yuw1_charaget01_00005,FirstClear,Item,memory_chara_yuw_00501,200,100,3,202511020
e,323,event_yuw1_charaget01_00005,Random,Item,piece_yuw_00501,3,30,4,202511020
e,324,event_yuw1_charaget01_00006,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,325,event_yuw1_charaget01_00006,FirstClear,Coin,,350,100,2,202511020
e,326,event_yuw1_charaget01_00006,FirstClear,Item,memory_chara_yuw_00501,250,100,3,202511020
e,327,event_yuw1_charaget01_00006,FirstClear,Item,memoryfragment_glo_00001,15,100,4,202511020
e,328,event_yuw1_charaget01_00006,Random,Item,piece_yuw_00501,3,40,5,202511020
e,329,event_yuw1_charaget01_00007,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,330,event_yuw1_charaget01_00007,FirstClear,Coin,,500,100,2,202511020
e,331,event_yuw1_charaget01_00007,FirstClear,Item,memory_chara_yuw_00501,300,100,3,202511020
e,332,event_yuw1_charaget01_00007,FirstClear,Item,memoryfragment_glo_00002,10,100,4,202511020
e,333,event_yuw1_charaget01_00007,Random,Item,piece_yuw_00501,3,45,5,202511020
e,334,event_yuw1_charaget01_00008,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,335,event_yuw1_charaget01_00008,FirstClear,Coin,,500,100,2,202511020
e,336,event_yuw1_charaget01_00008,FirstClear,Item,memory_chara_yuw_00501,350,100,3,202511020
e,337,event_yuw1_charaget01_00008,FirstClear,Item,memoryfragment_glo_00003,1,100,4,202511020
e,338,event_yuw1_charaget01_00008,Random,Item,piece_yuw_00501,5,60,5,202511020
e,339,event_yuw1_charaget02_00001,FirstClear,Unit,chara_yuw_00601,1,100,1,202511020
e,340,event_yuw1_charaget02_00001,FirstClear,FreeDiamond,prism_glo_00001,30,100,2,202511020
e,341,event_yuw1_charaget02_00001,FirstClear,Coin,,250,100,3,202511020
e,342,event_yuw1_charaget02_00001,Random,Item,piece_yuw_00601,1,10,4,202511020
e,343,event_yuw1_charaget02_00002,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,344,event_yuw1_charaget02_00002,FirstClear,Coin,,250,100,2,202511020
e,345,event_yuw1_charaget02_00002,Random,Item,piece_yuw_00601,1,15,3,202511020
e,346,event_yuw1_charaget02_00003,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,347,event_yuw1_charaget02_00003,FirstClear,Coin,,250,100,2,202511020
e,348,event_yuw1_charaget02_00003,Random,Item,piece_yuw_00601,1,20,3,202511020
e,349,event_yuw1_charaget02_00004,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,350,event_yuw1_charaget02_00004,FirstClear,Coin,,350,100,2,202511020
e,351,event_yuw1_charaget02_00004,Random,Item,piece_yuw_00601,3,25,3,202511020
e,352,event_yuw1_charaget02_00005,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,353,event_yuw1_charaget02_00005,FirstClear,Coin,,350,100,2,202511020
e,354,event_yuw1_charaget02_00005,FirstClear,Item,memory_chara_yuw_00601,200,100,3,202511020
e,355,event_yuw1_charaget02_00005,Random,Item,piece_yuw_00601,3,30,4,202511020
e,356,event_yuw1_charaget02_00006,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,357,event_yuw1_charaget02_00006,FirstClear,Coin,,350,100,2,202511020
e,358,event_yuw1_charaget02_00006,FirstClear,Item,memory_chara_yuw_00601,250,100,3,202511020
e,359,event_yuw1_charaget02_00006,FirstClear,Item,memoryfragment_glo_00001,15,100,4,202511020
e,360,event_yuw1_charaget02_00006,Random,Item,piece_yuw_00601,3,40,5,202511020
e,361,event_yuw1_charaget02_00007,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
e,362,event_yuw1_charaget02_00007,FirstClear,Coin,,500,100,2,202511020
e,363,event_yuw1_charaget02_00007,FirstClear,Item,memory_chara_yuw_00601,300,100,3,202511020
e,364,event_yuw1_charaget02_00007,FirstClear,Item,memoryfragment_glo_00002,10,100,4,202511020
e,365,event_yuw1_charaget02_00007,Random,Item,piece_yuw_00601,3,45,5,202511020
e,366,event_yuw1_charaget02_00008,FirstClear,FreeDiamond,prism_glo_00001,30,100,1,202511020
