,,,,,,,作成者,承認状況
,,,,,,,平野,承認済
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】お得プリズム,,,,,,,,
■購入可能回数,1回,,,,,,,
■販売期間,2025/12/22 15:00,〜,2025/12/31 23:59,,,,,
ラインナップ新規,,,,,,,,
,金額,1個当たり,有償/無償,,ガシャ単価,,,
個数,（日本円）,（日本円）,有償分,無償分,（日本円）,差分,割引率,購入可能回数
1,¥2,¥2.00,,,¥300.00,,,
520,¥980,¥1.88,,,¥282.69,¥17.31,5.77%,1回
"1,680","¥2,980",¥1.77,,,¥266.07,¥33.93,11.31%,1回
"2,820","¥4,980",¥1.77,,,¥264.89,¥35.11,11.70%,1回
"5,580","¥9,800",¥1.76,,,¥263.44,¥36.56,12.19%,1回
全部買うと70連分＋100個残る,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】クリスマス お得パックA,,,,,,,,
ブラックフライデーパックAそのまま,,,元設計書：スタートダッシュパック設計書,,カラーメモリー増量,,,
■ID,Xmas_item_pack_1,,,,,,,
■store_product_id,28,,,,,,,
■Biling ID（ios）,BNEI0434_0027,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0027,,,,,,,
■基準価格(税込),"¥3,675",,,,,,,
■税別価格,"¥3,341",,,,,,,
■割引価格(税込),¥980,■割引率,73.33%,,,,,
■税別割引価格,¥882,,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2025/12/22 15:00,〜,2025/12/31 23:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
カラーメモリー・グレー,有償販売,(無期限),500,500,0,¥0.27,¥135,¥0.00
カラーメモリー・レッド,有償販売,(無期限),500,500,0,¥0.27,¥135,¥0.00
カラーメモリー・グリーン,有償販売,(無期限),500,500,0,¥0.27,¥135,¥0.00
カラーメモリー・ブルー,有償販売,(無期限),500,500,0,¥0.27,¥135,¥0.00
カラーメモリー・イエロー,有償販売,(無期限),500,500,0,¥0.27,¥135,¥0.00
スペシャルガシャチケット,有償販売,(無期限),10,10,0,¥300.00,"¥3,000",¥0.00
,,,,,合計,,"¥3,675",¥0.00
,,,,,割引後価格,,¥980,▼無償報酬の割合
,,,,,割引,,73.33%,0.00%
,,,,,,,↑80%以内になるように個数を調整する,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】クリスマス お得パックB,,,,,,,,
ラインナップ新規,,,元設計書：いいジャン祭設計書,,,,,
■ID,Xmas_item_pack_2,,,,,,,
■store_product_id,29,,,,,,,
■Biling ID（ios）,BNEI0434_0028,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0028,,,,,,,
■基準価格(税込),"¥4,100",,,,,,,
■税別価格,"¥3,727",,,,,,,
■割引価格(税込),"¥2,980",■割引率,27.32%,,,,,
■税別割引価格,"¥2,682",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2025/12/22 15:00,〜,2025/12/31 23:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
メモリーフラグメント・初級,有償販売,(無期限),50,50,0,¥10.00,¥500,¥0.00
メモリーフラグメント・中級,有償販売,(無期限),30,30,0,¥15.00,¥450,¥0.00
メモリーフラグメント・上級,有償販売,(無期限),5,5,0,¥30.00,¥150,¥0.00
フェスガシャチケット,有償販売,(無期限),5,5,0,¥300.00,"¥1,500",¥0.00
ピックアップガシャチケット,有償販売,(無期限),5,5,0,¥300.00,"¥1,500",¥0.00
,,,,,合計,,"¥4,100",¥0.00
,,,,,割引後価格,,"¥2,980",▼無償報酬の割合
,,,,,割引,,27.32%,0.00%
,,,,,,,↑80%以内になるように個数を調整する,
,,,,,,,,
,,,,,,,,
◆【お一人様1回まで購入可】クリスマス お得パックC,,,,,,,,
ラインナップ新規,,,元設計書：スタートダッシュジャンブルパック,,,,,
■ID,Xmas_item_pack_3,,,,,,,
■store_product_id,30,,,,,,,
■Biling ID（ios）,BNEI0434_0029,,,,,,,
■Biling ID（aos）,com.bandainamcoent.jumble_0029,,,,,,,
■基準価格(税込),"¥6,000",,,,,,,
■税別価格,"¥5,455",,,,,,,
■割引価格(税込),"¥5,000",■割引率,16.67%,,,,,
■税別割引価格,"¥4,500",,,,,,,
■購入可能回数,1,,,,,,,
■販売期間,2025/12/22 15:00,〜,2025/12/31 23:59,,,,,
,,,,,,,,
名称,有効期限・オマケ,受け取り期限,個数,有償分,無償分(オマケ),単価,価格,おまけ
