,01_概要,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,クリスマスフェス限ガシャ＋パック,,,,,,,,,
,,,,,,,,,,
,施策詳細,,,,,,,,,
,,,,,,,,,,
,"◼︎施策名
　クリスマスフェス限ガシャ＋パック",,,,,,,,,
,,,,,,,,,,
,■内容,,,,,,,,,
,"　初のフェス限として、「愛届ける聖夜のサンタ 橘 美花莉」が登場
　パックはブラックフライデーを流用し、クリスマス商戦での売上を確保する",,,,,,,,,
,,,,,,,,,,
,"◼︎開催期間（予定）
　12/22（月）15:00〜12/31（水）23:59",,,,,,,,,
,,,,,,,,,,
,"◼︎メイン課金ポイント
　・クリスマスフェス限 ピックアップガシャ
　「愛届ける聖夜のサンタ　橘 美花莉」（UR）
　・クリスマスパック（ブラックフライデーと同内容で想定）",,,,,,,,,
,,,,,,,,,,
,"◼︎主要コンテンツ
・強力なフェス限キャラ「愛届ける聖夜のサンタ　橘 美花莉」をゲットしよう
・オトクなクリスマスパックを販売
・後半から年末年始CPも開始",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,施策一覧,,,,,,,,,
,,※引用関数で引っ張っています,,,,,,,,
,カテゴリー,,,施策名称,開始日,終了日,備考,,,
,【ガシャ】,,,フェス限ガシャ,2025/12/22 12:00:00,2026/01/16 10:59:59,"フェス限ガシャ仕様
12/10 終了日付修正",,,
,【パック】,,,クリスマスパック,2025/12/22 15:00:00,2025/12/31 23:59:00,ブラックフライデー流用,,,
,【クリスマス限定高難易度】,,,クリスマスバトル!!,2025/12/22 15:00:00,2025/12/31 23:59:00,,,,
,【コイン獲得クエスト】,,,コイン獲得クエストキャラボーナス,2025/12/22 15:00:00,2026/01/16 10:59:59,12/10 終了日付修正,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,新キャラ一覧,,,,,,,,,
,,,,,,,,,,
,キャラID,,,キャラ名,,獲得場所,レアリティ,獲得属性色,備考,
,chara_yuw_00102,,,愛届ける聖夜のサンタ　橘 美花莉,,ピックアップガシャ,UR,緑,12/22 15:00スタート フェス限,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,新アイテム一覧,,,,,,,,,
,,,,,,,,,,
,アイテムID,,,アイテム名,,ID管理シート,備考,,,記載したい物
,,,,,,,,,,キャラのかけら
,,,,,,,,,,キャラ専用カラーメモリー
,,,,,,,,,,エンブレム
,,,,,,,,,,原画のかけら（完成）
,,,,,,,,,,ガシャチケット
,,,,,,,,,,エネミー専用キャラ（新キャラ一覧へ）
