ENABLE,id,quest_type,mst_event_id,sort_order,asset_key,start_date,end_date,quest_group,difficulty,release_key
e,tutorial,Tutorial,,1,tutorial_1,2024-01-01 00:00:00,2037-12-31 23:59:59,tutorial,Normal,202509010
e,quest_main_spy_normal_1,normal,,1,spy_1,2025-05-01 12:00:00,2037-12-31 23:59:59,spy1,Normal,202509010
e,quest_main_spy_hard_1,normal,,1,spy_1,2025-05-01 12:00:00,2037-12-31 23:59:59,spy1,Hard,202509010
e,quest_main_spy_veryhard_1,normal,,1,spy_1,2025-05-01 12:00:00,2037-12-31 23:59:59,spy1,Extra,202509010
e,quest_main_gom_normal_2,normal,,2,gom_1,2025-05-01 12:00:00,2037-12-31 23:59:59,gom1,Normal,202509010
e,quest_main_gom_hard_2,normal,,2,gom_1,2025-05-01 12:00:00,2037-12-31 23:59:59,gom1,Hard,202509010
e,quest_main_gom_veryhard_2,normal,,2,gom_1,2025-05-01 12:00:00,2037-12-31 23:59:59,gom1,Extra,202509010
e,quest_main_aka_normal_3,normal,,3,aka_1,2025-05-01 12:00:00,2037-12-31 23:59:59,aka1,Normal,202509010
e,quest_main_aka_hard_3,normal,,3,aka_1,2025-05-01 12:00:00,2037-12-31 23:59:59,aka1,Hard,202509010
e,quest_main_aka_veryhard_3,normal,,3,aka_1,2025-05-01 12:00:00,2037-12-31 23:59:59,aka1,Extra,202509010
e,quest_main_glo1_normal_4,normal,,4,allstar_1,2025-05-01 12:00:00,2037-12-31 23:59:59,glo1,Normal,202509010
e,quest_main_glo1_hard_4,normal,,4,allstar_1,2025-05-01 12:00:00,2037-12-31 23:59:59,glo1,Hard,202509010
e,quest_main_glo1_veryhard_4,normal,,4,allstar_1,2025-05-01 12:00:00,2037-12-31 23:59:59,glo1,Extra,202509010
e,quest_main_dan_normal_5,normal,,5,dan_1,2025-05-01 12:00:00,2037-12-31 23:59:59,dan1,Normal,202509010
e,quest_main_dan_hard_5,normal,,5,dan_1,2025-05-01 12:00:00,2037-12-31 23:59:59,dan1,Hard,202509010
e,quest_main_dan_veryhard_5,normal,,5,dan_1,2025-05-01 12:00:00,2037-12-31 23:59:59,dan1,Extra,202509010
e,quest_main_jig_normal_6,normal,,6,jig_1,2025-05-01 12:00:00,2037-12-31 23:59:59,jig1,Normal,202509010
e,quest_main_jig_hard_6,normal,,6,jig_1,2025-05-01 12:00:00,2037-12-31 23:59:59,jig1,Hard,202509010
e,quest_main_jig_veryhard_6,normal,,6,jig_1,2025-05-01 12:00:00,2037-12-31 23:59:59,jig1,Extra,202509010
e,quest_main_tak_normal_7,normal,,7,tak_1,2025-05-01 12:00:00,2037-12-31 23:59:59,tak1,Normal,202509010
e,quest_main_tak_hard_7,normal,,7,tak_1,2025-05-01 12:00:00,2037-12-31 23:59:59,tak1,Hard,202509010
e,quest_main_tak_veryhard_7,normal,,7,tak_1,2025-05-01 12:00:00,2037-12-31 23:59:59,tak1,Extra,202509010
e,quest_main_glo2_normal_8,normal,,8,allstar_2,2025-05-01 12:00:00,2037-12-31 23:59:59,glo2,Normal,202509010
e,quest_main_glo2_hard_8,normal,,8,allstar_2,2025-05-01 12:00:00,2037-12-31 23:59:59,glo2,Hard,202509010
e,quest_main_glo2_veryhard_8,normal,,8,allstar_2,2025-05-01 12:00:00,2037-12-31 23:59:59,glo2,Extra,202509010
e,quest_main_chi_normal_9,normal,,9,chi_1,2025-05-01 12:00:00,2037-12-31 23:59:59,chi1,Normal,202509010
e,quest_main_chi_hard_9,normal,,9,chi_1,2025-05-01 12:00:00,2037-12-31 23:59:59,chi1,Hard,202509010
e,quest_main_chi_veryhard_9,normal,,9,chi_1,2025-05-01 12:00:00,2037-12-31 23:59:59,chi1,Extra,202509010
e,quest_main_sur_normal_10,normal,,10,sur_1,2025-05-01 12:00:00,2037-12-31 23:59:59,sur1,Normal,202509010
e,quest_main_sur_hard_10,normal,,10,sur_1,2025-05-01 12:00:00,2037-12-31 23:59:59,sur1,Hard,202509010
e,quest_main_sur_veryhard_10,normal,,10,sur_1,2025-05-01 12:00:00,2037-12-31 23:59:59,sur1,Extra,202509010
e,quest_main_rik_normal_11,normal,,11,rik_1,2025-05-01 12:00:00,2037-12-31 23:59:59,rik1,Normal,202509010
e,quest_main_rik_hard_11,normal,,11,rik_1,2025-05-01 12:00:00,2037-12-31 23:59:59,rik1,Hard,202509010
e,quest_main_rik_veryhard_11,normal,,11,rik_1,2025-05-01 12:00:00,2037-12-31 23:59:59,rik1,Extra,202509010
e,quest_main_glo3_normal_12,normal,,12,allstar_3,2025-05-01 12:00:00,2037-12-31 23:59:59,glo3,Normal,202509010
e,quest_main_glo3_hard_12,normal,,12,allstar_3,2025-05-01 12:00:00,2037-12-31 23:59:59,glo3,Hard,202509010
e,quest_main_glo3_veryhard_12,normal,,12,allstar_3,2025-05-01 12:00:00,2037-12-31 23:59:59,glo3,Extra,202509010
e,quest_main_mag_normal_13,normal,,13,mag_1,2025-05-01 12:00:00,2037-12-31 23:59:59,mag1,Normal,202509010
e,quest_main_mag_hard_13,normal,,13,mag_1,2025-05-01 12:00:00,2037-12-31 23:59:59,mag1,Hard,202509010
e,quest_main_mag_veryhard_13,normal,,13,mag_1,2025-05-01 12:00:00,2037-12-31 23:59:59,mag1,Extra,202509010
e,quest_main_sum_normal_14,normal,,14,sum_1,2025-05-01 12:00:00,2037-12-31 23:59:59,sum1,Normal,202509010
e,quest_main_sum_hard_14,normal,,14,sum_1,2025-05-01 12:00:00,2037-12-31 23:59:59,sum1,Hard,202509010
e,quest_main_sum_veryhard_14,normal,,14,sum_1,2025-05-01 12:00:00,2037-12-31 23:59:59,sum1,Extra,202509010
e,quest_main_kai_normal_15,normal,,15,kai_1,2025-05-01 12:00:00,2037-12-31 23:59:59,kai1,Normal,202509010
e,quest_main_kai_hard_15,normal,,15,kai_1,2025-05-01 12:00:00,2037-12-31 23:59:59,kai1,Hard,202509010
e,quest_main_kai_veryhard_15,normal,,15,kai_1,2025-05-01 12:00:00,2037-12-31 23:59:59,kai1,Extra,202509010
