ENABLE,id,release_key,group_id,resource_type,resource_id,resource_amount
e,daily_bonus_reward_jig_1,202601010,event_jig_00001_daily_bonus_1,Item,ticket_glo_00003,2
e,daily_bonus_reward_jig_2,202601010,event_jig_00001_daily_bonus_2,Coin,,5000
e,daily_bonus_reward_jig_3,202601010,event_jig_00001_daily_bonus_3,FreeDiamond,,40
e,daily_bonus_reward_jig_4,202601010,event_jig_00001_daily_bonus_4,Item,memoryfragment_glo_00001,5
e,daily_bonus_reward_jig_5,202601010,event_jig_00001_daily_bonus_5,Item,memoryfragment_glo_00002,4
e,daily_bonus_reward_jig_6,202601010,event_jig_00001_daily_bonus_6,Item,memory_glo_00005,300
e,daily_bonus_reward_jig_7,202601010,event_jig_00001_daily_bonus_7,Item,ticket_glo_00002,2
e,daily_bonus_reward_jig_8,202601010,event_jig_00001_daily_bonus_8,Coin,,5000
e,daily_bonus_reward_jig_9,202601010,event_jig_00001_daily_bonus_9,FreeDiamond,,40
e,daily_bonus_reward_jig_10,202601010,event_jig_00001_daily_bonus_10,Item,memoryfragment_glo_00001,10
e,daily_bonus_reward_jig_11,202601010,event_jig_00001_daily_bonus_11,Item,memory_glo_00002,300
e,daily_bonus_reward_jig_12,202601010,event_jig_00001_daily_bonus_12,FreeDiamond,,20
e,daily_bonus_reward_jig_13,202601010,event_jig_00001_daily_bonus_13,Item,memory_glo_00005,300
e,daily_bonus_reward_jig_14,202601010,event_jig_00001_daily_bonus_14,Coin,,5000
e,daily_bonus_reward_jig_15,202601010,event_jig_00001_daily_bonus_15,Item,memory_glo_00002,300
e,daily_bonus_reward_jig_16,202601010,event_jig_00001_daily_bonus_16,Item,ticket_glo_00002,1
e,daily_bonus_reward_jig_17,202601010,event_jig_00001_daily_bonus_17,Item,ticket_glo_00003,1
