ENABLE,id,mst_idle_incentive_item_group_id,mst_item_id,base_amount,release_key
e,1,idle_incentive_group_tutorial_1,memory_glo_00001,0.0,202509010
e,2,idle_incentive_group_tutorial_1,memory_glo_00002,0.2,202509010
e,3,idle_incentive_group_tutorial_1,memory_glo_00003,0.0,202509010
e,4,idle_incentive_group_tutorial_1,memory_glo_00004,0.0,202509010
e,5,idle_incentive_group_tutorial_1,memory_glo_00005,0.0,202509010
e,6,idle_incentive_group_spy1,memory_glo_00001,0.0,202509010
e,7,idle_incentive_group_spy1,memory_glo_00002,0.2,202509010
e,8,idle_incentive_group_spy1,memory_glo_00003,0.0,202509010
e,9,idle_incentive_group_spy1,memory_glo_00004,0.0,202509010
e,10,idle_incentive_group_spy1,memory_glo_00005,0.0,202509010
e,11,idle_incentive_group_spy2,memory_glo_00001,0.0,202509010
e,12,idle_incentive_group_spy2,memory_glo_00002,0.2,202509010
e,13,idle_incentive_group_spy2,memory_glo_00003,0.2,202509010
e,14,idle_incentive_group_spy2,memory_glo_00004,0.0,202509010
e,15,idle_incentive_group_spy2,memory_glo_00005,0.0,202509010
e,16,idle_incentive_group_spy3,memory_glo_00001,0.0,202509010
e,17,idle_incentive_group_spy3,memory_glo_00002,0.2,202509010
e,18,idle_incentive_group_spy3,memory_glo_00003,0.2,202509010
e,19,idle_incentive_group_spy3,memory_glo_00004,0.2,202509010
e,20,idle_incentive_group_spy3,memory_glo_00005,0.0,202509010
e,21,idle_incentive_group_spy4,memory_glo_00001,0.0,202509010
e,22,idle_incentive_group_spy4,memory_glo_00002,0.2,202509010
e,23,idle_incentive_group_spy4,memory_glo_00003,0.2,202509010
e,24,idle_incentive_group_spy4,memory_glo_00004,0.2,202509010
e,25,idle_incentive_group_spy4,memory_glo_00005,0.2,202509010
e,26,idle_incentive_group_spy5,memory_glo_00001,0.2,202509010
e,27,idle_incentive_group_spy5,memory_glo_00002,0.2,202509010
e,28,idle_incentive_group_spy5,memory_glo_00003,0.2,202509010
e,29,idle_incentive_group_spy5,memory_glo_00004,0.2,202509010
e,30,idle_incentive_group_spy5,memory_glo_00005,0.2,202509010
e,31,idle_incentive_group_spy6,memory_glo_00001,0.2,202509010
e,32,idle_incentive_group_spy6,memory_glo_00002,0.25,202509010
e,33,idle_incentive_group_spy6,memory_glo_00003,0.2,202509010
e,34,idle_incentive_group_spy6,memory_glo_00004,0.2,202509010
e,35,idle_incentive_group_spy6,memory_glo_00005,0.2,202509010
e,36,idle_incentive_group_1,memory_glo_00001,0.2,202509010
e,37,idle_incentive_group_1,memory_glo_00002,0.25,202509010
e,38,idle_incentive_group_1,memory_glo_00003,0.25,202509010
e,39,idle_incentive_group_1,memory_glo_00004,0.2,202509010
e,40,idle_incentive_group_1,memory_glo_00005,0.2,202509010
e,41,idle_incentive_group_2,memory_glo_00001,0.2,202509010
e,42,idle_incentive_group_2,memory_glo_00002,0.25,202509010
e,43,idle_incentive_group_2,memory_glo_00003,0.25,202509010
e,44,idle_incentive_group_2,memory_glo_00004,0.25,202509010
e,45,idle_incentive_group_2,memory_glo_00005,0.2,202509010
e,46,idle_incentive_group_3,memory_glo_00001,0.2,202509010
e,47,idle_incentive_group_3,memory_glo_00002,0.25,202509010
e,48,idle_incentive_group_3,memory_glo_00003,0.25,202509010
e,49,idle_incentive_group_3,memory_glo_00004,0.25,202509010
e,50,idle_incentive_group_3,memory_glo_00005,0.25,202509010
e,51,idle_incentive_group_4,memory_glo_00001,0.25,202509010
e,52,idle_incentive_group_4,memory_glo_00002,0.25,202509010
e,53,idle_incentive_group_4,memory_glo_00003,0.25,202509010
e,54,idle_incentive_group_4,memory_glo_00004,0.25,202509010
e,55,idle_incentive_group_4,memory_glo_00005,0.25,202509010
e,56,idle_incentive_group_5,memory_glo_00001,0.25,202509010
e,57,idle_incentive_group_5,memory_glo_00002,0.3,202509010
e,58,idle_incentive_group_5,memory_glo_00003,0.25,202509010
e,59,idle_incentive_group_5,memory_glo_00004,0.25,202509010
e,60,idle_incentive_group_5,memory_glo_00005,0.25,202509010
e,61,idle_incentive_group_6,memory_glo_00001,0.25,202509010
e,62,idle_incentive_group_6,memory_glo_00002,0.3,202509010
e,63,idle_incentive_group_6,memory_glo_00003,0.3,202509010
e,64,idle_incentive_group_6,memory_glo_00004,0.25,202509010
e,65,idle_incentive_group_6,memory_glo_00005,0.25,202509010
e,66,idle_incentive_group_7,memory_glo_00001,0.25,202509010
e,67,idle_incentive_group_7,memory_glo_00002,0.3,202509010
e,68,idle_incentive_group_7,memory_glo_00003,0.3,202509010
e,69,idle_incentive_group_7,memory_glo_00004,0.3,202509010
