ENABLE,id,shop_type,cost_type,cost_amount,is_first_time_free,tradable_count,resource_type,resource_id,resource_amount,start_date,end_date,release_key
e,daily01,Daily,Ad,"",0,1,FreeDiamond,"",20,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,daily07,Daily,Diamond,30,0,1,Item,entry_item_glo_00001,1,2025-10-27 04:00:00,2034-01-01 00:00:00,202510020
e,daily02,Daily,Diamond,10,0,1,Item,memory_glo_00001,100,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,daily03,Daily,Diamond,10,0,1,Item,memory_glo_00002,100,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,daily04,Daily,Diamond,10,0,1,Item,memory_glo_00003,100,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,daily05,Daily,Diamond,10,0,1,Item,memory_glo_00004,100,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,daily06,Daily,Diamond,10,0,1,Item,memory_glo_00005,100,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,weekly01,Weekly,Ad,"",0,1,FreeDiamond,"",30,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,weekly02,Weekly,Ad,"",0,1,Item,ticket_glo_00003,1,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,weekly03,Weekly,Diamond,30,0,5,Item,entry_item_glo_00001,1,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,weekly04,Weekly,Diamond,25,0,6,Item,memoryfragment_glo_00001,5,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,weekly05,Weekly,Diamond,35,0,2,Item,memoryfragment_glo_00002,5,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,weekly06,Weekly,Diamond,15,0,1,Item,memoryfragment_glo_00003,1,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
e,coin01,Coin,Ad,"",1,3,Coin,"",1000,2024-09-22 12:00:00,2034-01-01 00:00:00,202509010
