,02_施策,,,,,,,,,,,,
,,,,,,,,,,,,安藤メモ,
,▼全体概要,,,,,,,,,1スタミナ*,,名称,登場可否
,カテゴリー,施策名称,,開始日,終了日,キャンペーンの有無,キャンペーン期間,キャンペーン内容,イベント全般,×15コイン,,冷却系の怪異,ストーリー以外なら可能
,【デイリー】,精兵と管理人,,12/8 15:00,12/31 23:59,-,-,-,,,,つらら,ストーリー以外なら可能
,"【ストーリー】
無窮の鎖 和倉 優希編",スレイブの誕生,,12/8 15:00,1/16 10:59,-,-,-,"⇩ストーリークエスト1つで
獲得できるメインの報酬数（初回クリア）",,,建造物寄生型の怪異（大）,可能
,"【ストーリー】
和倉 青羽編",隠れ里の戦い,,12/15 15:00,1/16 10:59,-,-,-,報酬名,報酬数,,建造物寄生型の怪異（小）,可能
,【チャレンジ】,魔都防衛隊,,12/8 15:00,1/16 10:59,-,-,-,そのキャラのカラーメモリー,1100,,工事現場の怪異,ストーリー２可能
,【高難易度】,スレイブと組長,,12/8 15:00,1/16 10:59,-,-,-,メモリーフラグメント・初級,15,,,
,【降臨バトル】,魔防隊と戦う者,,12/22 15:00,12/29 14:59,-,-,-,メモリーフラグメント・中級,10,,,
,【ログインボーナス】,魔都精兵のスレイブ いいジャン祭 特別ログインボーナス,,12/8 15:00,1/1 3:59,,,,メモリーフラグメント・上級,1,,,
,【ミッション】,魔都精兵のスレイブ いいジャン祭 特別ミッション,,12/8 15:00,1/16 10:59,,,,コイン,2800,,,
,【コイン獲得クエスト】,コイン獲得クエスト キャラボーナス,,12/8 15:00,1/16 10:59,,,,,,,,
,,,,,,,,,,,,,
,◆ログインボーナス,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,施策名称,魔都精兵のスレイブ いいジャン祭 特別ログインボーナス,,,※〇〇[半角スペース]いいジャン祭[半角スペース]特別ログインボーナス　例：怪獣8号 いいジャン祭 特別ログインボーナス,,,,,,,,
,開催期間,12/8 15:00,〜,1/1 3:59,←イレギュラーで承認済み,,,,,,,,
,,,,,,,,,,,,,
,"ログイン日数
（日別）",日付,プリズム,コイン,ピックアップガシャチケット,スペシャルガシャチケット,メモリーフラグメント・初級,メモリーフラグメント・中級,カラーメモリー・レッド,カラーメモリー・イエロー,報酬設定の有無,,
月,1,12/8 15:00,,,1,,,,,,1,,
火,2,12/9 4:00,,5000,,,,,,,5000,,
水,3,12/10 4:00,20,,,,,,,,20,,
木,4,12/11 4:00,,,,1,,,,,1,,
金,5,12/12 4:00,,,,,,,300,,300,,
土,6,12/13 4:00,,,,,,,,300,300,,
日,7,12/14 4:00,20,,,,,,,,20,,
月,8,12/15 4:00,,,1,,,,,,1,,
火,9,12/16 4:00,,,,,3,,,,3,,
水,10,12/17 4:00,,,,,,2,,,2,,
木,11,12/18 4:00,20,,,,,,,,20,,
金,12,12/19 4:00,,,1,,,,,,1,,
土,13,12/20 4:00,,,,,3,,,,3,,
日,14,12/21 4:00,,5000,,,,,,,5000,,
月,15,12/22 4:00,20,,,,,,,,20,,
火,16,12/23 4:00,,,,1,,,,,1,,
水,17,12/24 4:00,,,,,3,,,,3,,
木,18,12/25 4:00,,5000,,,,,,,5000,,
金,19,12/26 4:00,,,,,,,300,,300,,
土,20,12/27 4:00,,,,,,,,300,300,,
日,21,12/28 4:00,,,,,3,,,,3,,
月,22,12/29 4:00,,,,,,2,,,2,,
火,23,12/30 4:00,,,,,3,,,,3,,
,24,12/31 4:00,20,,,,,,,,20,,
,,報酬合計数,100,15000,3,2,15,4,600,600,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,◆デイリークエスト,,,,,,,,,,,,
,,,,,,,,,,,,,
,項目,内容,,,,,,,,,,,
,クエスト名,精兵と管理人,,,,,,,,,,,
,開催期間,12/8 15:00,〜,12/31 23:59,←イレギュラーで承認済み,,,,,,,,
