施策区分,カテゴリ１,カテゴリ２,用途,バナー作成依頼用No.,項目,要件, 画像,仕様,"デザイナー
担当者","プランナー
担当者",規格,"アップ先
S3/AB",制作頻度,数量,"命名規則
※[ ]内はマスターデータ・運用単位で命名が変化します",画像名サンプル,"アップ確認
",制作期日,Unnamed: 19,ID一覧,担当班,格納ドライブ
通常,パス,バナー,,22.0,【パス】銀色のウィークリーパス(アイコン),,,https://docs.google.com/spreadsheets/d/1iz7a09EcpM3FOA9zJIazJvAeekxGhihTOIPKejk2J3s/edit?gid=771075141#gid=771075141&range=206:206,山本,,224×194,AB,単発,1,shop_pass_icon_[:asset_key],shop_pass_icon_weekly,アップ済み,,,,,
通常,,,,23.0,【お知らせ】◆ウィークリーパス,不要,,不要,不要,,,,,,,,,,,,,
通常,,,,24.0,【ホームバナー】◆ウィークリーパス,不要,,不要,不要,,,,,,,,,,,,,
いいジャン祭,お知らせ,バナー,,25.0,【お知らせ】いいジャン祭開催お知らせ_Mバナー,M,,,江村,,668×220,S3,都度,1,notice_[:png_name],notice_event_kai_00001,アップ済み,,,,,
いいジャン祭,お知らせ,バナー,,26.0,【お知らせ】ログインボーナス_Mバナー,M,,,江村,,668×220,AB,都度,1,[:asset_key]_loginbonus,event_kai_00001_loginbonus,アップ済み,,,GLOW_ID 管理,,
いいジャン祭,お知らせ,バナー,,27.0,【お知らせ】ミッション_Mバナー,M,,,江村,,668×220,AB,都度,1,[:asset_key]_mission,event_kai_00001_mission,アップ済み,,,,,
いいジャン祭,お知らせ,バナー,,28.0,【ホームバナー】お知らせ,S,,,山本,,244×80,S3,都度,1,hometop_[:png_name],hometop_event_kai_00001,アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=285278055#gid=285278055&range=A1,,
いいジャン祭,お知らせ,バナー,,29.0,【ホームバナー】ピックアップガシャ,S,,,江村,,244×80,S3,都度,1,hometop_[:png_name],hometop_gacha_kai_00001,アップ済み,,,,,
いいジャン祭,コンテンツTOP,バナー,,30.0,【コンテンツTOP】 バナー,,,,山本,,698×200,AB,都度,1,[:asset_key]_content_top,event_kai_00001_content_top,アップ済み,,,,,
いいジャン祭,コンテンツTOP,プレハブ,,31.0,【コンテンツTOP】 プレハブ,,,,山本,,"プレハブ
（画像は682 × 994）",AB,都度,1,[:asset_key]_quest_select ※プレハブ名,"event_kai_00001_quest_select 
※プレハブ名
→画像素材の名は自由でOK

asset_keyはこちらを参照してください
https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=285278055#gid=285278055&range=H:H",アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1690316824#gid=1690316824&range=A20,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=285278055#gid=285278055&range=G:G,
いいジャン祭,コンテンツTOP,バナー,,32.0,【コンテンツTOP】 Sバナー_デイリー,SE,,,山本,,"246×76
→244×80へ変更中",AB,都度,1,[:mst_quest.asset_key]_quest_select_cell,kai1_1day_quest_select_cell,アップ済み,,,,,
いいジャン祭,コンテンツTOP,バナー,,33.0,【コンテンツTOP】 Sバナーストリー1,SE,,,山本,,"246×76
→244×80へ変更中",AB,都度,1,[:mst_quest.asset_key]_quest_select_cell,kai1_charaget01_quest_select_cell,アップ済み,,,,,
いいジャン祭,コンテンツTOP,バナー,,34.0,【コンテンツTOP】 Sバナーストリー2,SE,,,山本,,"246×76
→244×80へ変更中",AB,都度,1,[:mst_quest.asset_key]_quest_select_cell,kai1_charaget02_quest_select_cell,アップ済み,,,,,
いいジャン祭,コンテンツTOP,バナー,,35.0,【コンテンツTOP】 Sバナーチャレンジ,SE,,,山本,,"246×76
→244×80へ変更中",AB,都度,1,[:mst_quest.asset_key]_quest_select_cell,kai1_challenge01_quest_select_cell,アップ済み,,,,,
いいジャン祭,コンテンツTOP,バナー,,36.0,【コンテンツTOP】 Sバナー高難度,SE,,,山本,,"246×76
→244×80へ変更中",AB,都度,1,[:mst_quest.asset_key]_quest_select_cell,kai1_savage_quest_select_cell,アップ済み,,,,,
いいジャン祭,イベント,アセット,,37.0,"クエストTOPステージサムネール
・古橋伊春、古橋伊春のキャラのかけら
・四ノ宮功、四ノ宮功のキャラのかけら
・怪獣9、10号のエンブレム
・各種カラーメモリー
・各種メモリーフラグメント
・コイン
・プリズム
・ノーマルガシャチケット
・スペシャルガシャチケット
・ピックアップガシャチケット
・各種選べるキャラのかけらBOX
・各種ランダムキャラのかけらBOX

",原画素材,,,望月,,126×102,AB,都度,12,stage_icon_[:asset_key],stage_icon_event_kai1_00007,アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1197680199#gid=1197680199,,
通常,イベント,アセット,,38.0,シリーズバナー（クエスト選択）,原画素材,,,望月,,300×300,AB,都度,1,series_banner_[:asset_key],series_banner_kai,アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=301989532#gid=301989532,,
いいジャン祭,イベント,アセット,,39.0,原画のかけらa（イベントクエスト用）,原画素材,,,どん,,524×524,AB,都度,1,artwork_[:asset_key]a,artwork_event_kai_0001a,アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1933316692#gid=1933316692,,
いいジャン祭,イベント,アセット,,40.0,原画のかけらb（イベントクエスト用）,原画素材,,,どん,,154×154,AB,都度,1,artwork_[:asset_key]b,artwork_event_kai_0001b,アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1933316692#gid=1933316692,,
いいジャン祭,イベント,アセット,,41.0,降臨バトルエンブレム,エンブレム,,,どん,,120×120,AB,都度,6,emblem_icon_[:asset_key],emblem_icon_adventbattle_kai_season01_00001,アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1135844646#gid=1135844646,,
いいジャン祭,イベント,アセット,,42.0,イベントエンブレム,エンブレム,,,どん,,120×120,AB,都度,2~4,emblem_icon_[:asset_key],emblem_icon_event_kai_00001,アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1135844646#gid=1135844646,,
いいジャン祭,ガシャ,バナー,,43.0,怪獣8号 いいジャン祭ピックアップガシャ,L,,,江村,,668×370,S3,都度,1,gacha_banner_[:banner_url],gacha_banner_kai_00001,アップ済み,,,https://docs.google.com/spreadsheets/d/1oJmkDK37Qizzdaxn4KCwh1BMwdNWuHCx3AGH8BC9yu0/edit?gid=1064670817#gid=1064670817,,
いいジャン祭,,,,44.0,怪獣8号 いいジャン祭ピックアップガシャ,M,,,江村,,668×220,S3,都度,1,,notice_gacha_kai_00001,アップ済み,,,,,
通常,ガシャ,バナー,,45.0,チュートリアルガシャ,L,,"なしでOKみたい
https://wonderplanet-glow.slack.com/archives/C069N3UL80H/p1744702073341949?thread_ts=1744620391.885969&cid=C069N3UL80H",江村,,668×370,S3,単発,1,gacha_banner_[:banner_url],gacha_banner_special_00001,未対応,,,,,
通常,ガシャ,バナー,,46.0,有償限定スタートダッシュガシャ,L,,,江村,,668×370,S3,単発,1,gacha_banner_[:banner_url],gacha_banner_startdash_00001,アップ済み,,,,,
通常,ガシャ,バナー,,47.0,プレミアムメダルガシャ,L,,,江村,,668×370,S3,単発,1,gacha_banner_[:banner_url],gacha_banner_medal_00001,アップ済み,,,,,
通常,ガシャ,バナー,,48.0,スペシャルガシャ,L,,,江村,,668×370,S3,単発,1,gacha_banner_[:banner_url],gacha_banner_special_00001,アップ済み,,,,,
通常,ガシャ,バナー,,49.0,ノーマルガシャ_キャラ,L,,,江村,,668×370,S3,単発,1,gacha_banner_[:banner_url],gacha_banner_normal_00001,アップ済み,,,,,
通常,,,,50.0,図鑑用バナー(series_banner),,,IP追加時に必要,望月,,300×300,AB,都度,,,series_banner_kai.png,アップ済み,,,,,
通常,,,,51.0,ロゴ(series_logo),,,IP追加時に必要,望月,,350×245,AB,都度,,,series_logo_kai.png,アップ済み,,,,,
通常,,,,52.0,通常ログインボーナス,,,,山本,,602 × 98,,,1,,general_glo_00001_loginbonus,,,,,,
,,,,,以下対応なし,,,,,,,,,,,,,,,,,
いいジャン祭,お知らせ,バナー,,,先行情報の形で汎用Mバナー,,未定,,未定,,,,,,,,,,,,,
いいジャン祭,お知らせ,バナー,,,メンテナンスお知らせ,,未定,,未定,,,,,,,,,,,,,
通常,パック,バナー,,,"プリズム
・バナー不要",,,,,,,AB,単発,,,,,,,,,
通常,パック,バナー,,,ジャンブルパック,,,,,,,AB,単発,,,,,,,,,
通常,パック,バナー,,,強化パック：A（販売するかどうかは要検討）,,,,,,,AB,単発,,,,,,,,,
通常,パック,バナー,,,強化パック：A（販売するかどうかは要検討）,,,,,,,AB,単発,,,,,,,,,
通常,,,,,バックバナー,,,,,,,,,,,https://wonderplanet-glow.slack.com/archives/C069N3UL80H/p1744702621983249?thread_ts=1744702246.829559&cid=C069N3UL80H,,,,,,
,,,,,オールスタークエスト,,,,,,,,単発（今は）,,,追加,,,,,,
降臨バトル,,,,,降臨バトル関連,,,,,,,,単発（変わる可能性ある）,,,,,,,,,
