,,,,,,,,,,,,,,,,,,,,,,,,,,
,作成開始日,,,担当者,,,,,,,,,,,クエストフレーバーテキスト（最大18文字×8行）,,,,,,,,,,,文字数
,2025/12/9,,,和田,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,クエスト名,,,朱印の者たち,,,,,,,,,,,,,,,,,,,,,,0
,クエストID,,,quest_event_jig1_charaget02,,,,,,,,,,,,,,,,,,,,,,0
,クエスト種類,,,イベントクエスト,,,,,,,,,,,,,,,,,,,,,,0
,リリースキー,,,202601010,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,※!（エクスクラメーションマーク）は半角で,,,,,,,,,,,
,開催期間,,,,,,,,,,,,,,,,,,,,,,,,,
,開始日時,,2026/1/21,,,15:00:00,,,から,,,,,,,,,,,,,,,,,
,終了日時,,2026/2/16,,,10:59:59,,,終了,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,クエストトップ表示キャラID,,,キャラ名,,,セリフ1,,,セリフ2,,,セリフ3,,,,,,,,,,,,,
,chara_jig_00601,,,民谷 巌鉄斎,,, 天下に轟く偉業を成す！,,,手打ち,,,手打ち,,,,,,,,,,,,,
,,,,error,,,手打ち,,,手打ち,,,手打ち,,,,,,,,,,,,,
,,,,error,,,手打ち,,,手打ち,,,手打ち,,,,,,,,,,,,,
