ENABLE,release_key,id,mst_mission_limited_term_id,language,description
e,202509010,limited_term_1_ja,limited_term_1,ja,降臨バトル「怪獣退治の時間︎」に5回挑戦しよう！
e,202509010,limited_term_2_ja,limited_term_2,ja,降臨バトル「怪獣退治の時間︎」に10回挑戦しよう！
e,202509010,limited_term_3_ja,limited_term_3,ja,降臨バトル「怪獣退治の時間︎」に20回挑戦しよう！
e,202509010,limited_term_4_ja,limited_term_4,ja,降臨バトル「怪獣退治の時間︎」に30回挑戦しよう！
e,202510010,limited_term_5_ja,limited_term_5,ja,降臨バトル「SPY×FAMILY」に5回挑戦しよう！
e,202510010,limited_term_6_ja,limited_term_6,ja,降臨バトル「SPY×FAMILY」に10回挑戦しよう！
e,202510010,limited_term_7_ja,limited_term_7,ja,降臨バトル「SPY×FAMILY」に20回挑戦しよう！
e,202510010,limited_term_8_ja,limited_term_8,ja,降臨バトル「SPY×FAMILY」に30回挑戦しよう！
e,202510020,limited_term_9_ja,limited_term_9,ja,降臨バトル「ダンダダン」に5回挑戦しよう！
e,202510020,limited_term_10_ja,limited_term_10,ja,降臨バトル「ダンダダン」に10回挑戦しよう！
e,202510020,limited_term_11_ja,limited_term_11,ja,降臨バトル「ダンダダン」に20回挑戦しよう！
e,202510020,limited_term_12_ja,limited_term_12,ja,降臨バトル「ダンダダン」に30回挑戦しよう！
e,202511010,limited_term_13_ja,limited_term_13,ja,降臨バトル「業務実行！！」に5回挑戦しよう！
e,202511010,limited_term_14_ja,limited_term_14,ja,降臨バトル「業務実行！！」に10回挑戦しよう！
e,202511010,limited_term_15_ja,limited_term_15,ja,降臨バトル「業務実行！！」に20回挑戦しよう！
e,202511010,limited_term_16_ja,limited_term_16,ja,降臨バトル「業務実行！！」に30回挑戦しよう！
e,202511010,limited_term_17_ja,limited_term_17,ja,降臨バトル「怪獣退治の時間︎」に5回挑戦しよう！
e,202511010,limited_term_18_ja,limited_term_18,ja,降臨バトル「怪獣退治の時間︎」に10回挑戦しよう！
e,202511010,limited_term_19_ja,limited_term_19,ja,降臨バトル「怪獣退治の時間︎」に20回挑戦しよう！
e,202511010,limited_term_20_ja,limited_term_20,ja,降臨バトル「怪獣退治の時間︎」に30回挑戦しよう！
e,202511020,limited_term_21_ja,limited_term_21,ja,降臨バトル「夏コミの魔物」に5回挑戦しよう！
e,202511020,limited_term_22_ja,limited_term_22,ja,降臨バトル「夏コミの魔物」に10回挑戦しよう！
e,202511020,limited_term_23_ja,limited_term_23,ja,降臨バトル「夏コミの魔物」に20回挑戦しよう！
e,202511020,limited_term_24_ja,limited_term_24,ja,降臨バトル「夏コミの魔物」に30回挑戦しよう！
e,202512010,limited_term_25_ja,limited_term_25,ja,降臨バトル「魔防隊と戦う者」に5回挑戦しよう！
e,202512010,limited_term_26_ja,limited_term_26,ja,降臨バトル「魔防隊と戦う者」に10回挑戦しよう！
e,202512010,limited_term_27_ja,limited_term_27,ja,降臨バトル「魔防隊と戦う者」に20回挑戦しよう！
e,202512010,limited_term_28_ja,limited_term_28,ja,降臨バトル「魔防隊と戦う者」に30回挑戦しよう！
