ENABLE,id,release_key,group_id,mst_mission_achievement_id,unlock_order
e,1,202509010,Achievement_LoginCount,achievement_2_4,1
e,2,202509010,Achievement_LoginCount,achievement_2_5,2
e,3,202509010,Achievement_LoginCount,achievement_2_6,3
e,4,202509010,Achievement_LoginCount,achievement_2_7,4
e,5,202509010,Achievement_LoginCount,achievement_2_8,5
e,6,202509010,Achievement_LoginCount,achievement_2_9,6
e,7,202509010,Achievement_LoginCount,achievement_2_10,7
e,8,202509010,Achievement_LoginCount,achievement_2_11,8
e,9,202509010,Achievement_LoginCount,achievement_2_12,9
e,10,202509010,Achievement_LoginCount,achievement_2_13,10
e,11,202509010,Achievement_LoginCount,achievement_2_14,11
e,12,202509010,Achievement_LoginCount,achievement_2_15,12
e,13,202509010,Achievement_LoginCount,achievement_2_16,13
e,14,202509010,Achievement_LoginCount,achievement_2_17,14
e,15,202509010,Achievement_LoginCount,achievement_2_18,15
e,16,202509010,Achievement_LoginCount,achievement_2_19,16
e,17,202509010,Achievement_LoginCount,achievement_2_20,17
e,18,202509010,Achievement_LoginCount,achievement_2_21,18
e,19,202509010,Achievement_LoginCount,achievement_2_22,19
e,20,202509010,Achievement_LoginCount,achievement_2_23,20
e,21,202509010,Achievement_LoginCount,achievement_2_24,21
e,22,202509010,Achievement_LoginCount,achievement_2_25,22
e,23,202509010,Achievement_IdleIncentiveCount,achievement_2_26,1
e,24,202509010,Achievement_IdleIncentiveCount,achievement_2_27,2
e,25,202509010,Achievement_IdleIncentiveCount,achievement_2_28,3
e,26,202509010,Achievement_DefeatEnemyCount,achievement_2_29,1
e,27,202509010,Achievement_DefeatEnemyCount,achievement_2_30,2
e,28,202509010,Achievement_DefeatEnemyCount,achievement_2_31,3
e,29,202509010,Achievement_DefeatEnemyCount,achievement_2_32,4
e,30,202509010,Achievement_DefeatEnemyCount,achievement_2_33,5
e,31,202509010,Achievement_DefeatEnemyCount,achievement_2_34,6
e,32,202509010,Achievement_DefeatEnemyCount,achievement_2_35,7
e,33,202509010,Achievement_DefeatBossEnemyCount,achievement_2_36,1
e,34,202509010,Achievement_DefeatBossEnemyCount,achievement_2_37,2
e,35,202509010,Achievement_DefeatBossEnemyCount,achievement_2_38,3
e,36,202509010,Achievement_UnitLevelUpCount,achievement_2_39,1
e,37,202509010,Achievement_UnitLevelUpCount,achievement_2_40,2
e,38,202509010,Achievement_UnitLevelUpCount,achievement_2_41,3
e,39,202509010,Achievement_UnitLevelUpCount,achievement_2_42,4
e,40,202509010,Achievement_UnitLevelUpCount,achievement_2_43,5
e,41,202509010,Achievement_CoinCollect,achievement_2_44,1
e,42,202509010,Achievement_CoinCollect,achievement_2_45,2
e,43,202509010,Achievement_CoinCollect,achievement_2_46,3
e,44,202509010,Achievement_CoinCollect,achievement_2_47,4
e,45,202509010,Achievement_OutpostEnhanceCount,achievement_2_48,1
e,46,202509010,Achievement_OutpostEnhanceCount,achievement_2_49,2
e,47,202509010,Achievement_OutpostEnhanceCount,achievement_2_50,3
e,48,202509010,Achievement_OutpostEnhanceCount,achievement_2_51,4
e,49,202509010,Achievement_OutpostEnhanceCount,achievement_2_52,5
e,50,202509010,achievement_2_53,achievement_2_53,1
e,51,202509010,achievement_2_53,achievement_2_54,2
e,52,202509010,achievement_2_53,achievement_2_55,3
e,53,202509010,achievement_2_56,achievement_2_56,1
e,54,202509010,achievement_2_56,achievement_2_57,2
e,55,202509010,achievement_2_56,achievement_2_58,3
e,56,202509010,achievement_2_59,achievement_2_59,1
e,57,202509010,achievement_2_59,achievement_2_60,2
e,58,202509010,achievement_2_59,achievement_2_61,3
e,59,202509010,achievement_2_62,achievement_2_62,1
e,60,202509010,achievement_2_62,achievement_2_63,2
e,61,202509010,achievement_2_62,achievement_2_64,3
e,62,202509010,achievement_2_65,achievement_2_65,1
e,63,202509010,achievement_2_65,achievement_2_66,2
e,64,202509010,achievement_2_65,achievement_2_67,3
e,65,202509010,achievement_2_68,achievement_2_68,1
e,66,202509010,achievement_2_68,achievement_2_69,2
e,67,202509010,achievement_2_68,achievement_2_70,3
e,68,202509010,achievement_2_71,achievement_2_71,1
e,69,202509010,achievement_2_71,achievement_2_72,2
e,70,202509010,achievement_2_71,achievement_2_73,3
e,71,202509010,achievement_2_74,achievement_2_74,1
e,72,202509010,achievement_2_74,achievement_2_75,2
e,73,202509010,achievement_2_74,achievement_2_76,3
e,74,202509010,achievement_2_77,achievement_2_77,1
e,75,202509010,achievement_2_77,achievement_2_78,2
e,76,202509010,achievement_2_77,achievement_2_79,3
e,77,202509010,achievement_2_80,achievement_2_80,1
e,78,202509010,achievement_2_80,achievement_2_81,2
e,79,202509010,achievement_2_80,achievement_2_82,3
e,80,202509010,achievement_2_83,achievement_2_83,1
e,81,202509010,achievement_2_83,achievement_2_84,2
e,82,202509010,achievement_2_83,achievement_2_85,3
e,83,202509010,achievement_2_86,achievement_2_86,1
e,84,202509010,achievement_2_86,achievement_2_87,2
e,85,202509010,achievement_2_86,achievement_2_88,3
e,86,202509010,achievement_2_89,achievement_2_89,1
e,87,202509010,achievement_2_89,achievement_2_90,2
e,88,202509010,achievement_2_89,achievement_2_91,3
e,89,202509010,achievement_2_92,achievement_2_92,1
e,90,202509010,achievement_2_92,achievement_2_93,2
e,91,202509010,achievement_2_92,achievement_2_94,3
e,92,202509010,achievement_2_95,achievement_2_95,1
e,93,202509010,achievement_2_95,achievement_2_96,2
e,94,202509010,achievement_2_95,achievement_2_97,3
e,95,202509010,achievement_2_98,achievement_2_98,1
e,96,202509010,achievement_2_98,achievement_2_99,2
e,97,202509010,achievement_2_98,achievement_2_100,3
e,98,202509010,achievement_2_98,achievement_2_98,1
e,99,202509010,achievement_2_98,achievement_2_99,2
e,100,202509010,achievement_2_98,achievement_2_100,3
