ENABLE,id,emblemType,mstSeriesId,assetKey,release_key
e,emblem_normal_spy_00001,Series,spy,normal_spy_00001,202509010
e,emblem_normal_aka_00001,Series,aka,normal_aka_00001,202509010
e,emblem_normal_rik_00001,Series,rik,normal_rik_00001,202509010
e,emblem_normal_dan_00001,Series,dan,normal_dan_00001,202509010
e,emblem_normal_gom_00001,Series,gom,normal_gom_00001,202509010
e,emblem_normal_chi_00001,Series,chi,normal_chi_00001,202509010
e,emblem_normal_kai_00001,Series,kai,normal_kai_00001,202509010
e,emblem_normal_sur_00001,Series,sur,normal_sur_00001,202509010
e,emblem_normal_tak_00001,Series,tak,normal_tak_00001,202509010
e,emblem_normal_jig_00001,Series,jig,normal_jig_00001,202509010
e,emblem_normal_mag_00001,Series,mag,normal_mag_00001,202509010
e,emblem_normal_sum_00001,Series,sum,normal_sum_00001,202509010
e,emblem_event_kai_00001,Event,kai,event_kai_00001,202509010
e,emblem_event_kai_00002,Event,kai,event_kai_00002,202509010
e,emblem_event_kai_00003,Event,kai,event_kai_00003,202509010
e,emblem_event_kai_00004,Event,kai,event_kai_00004,202509010
e,emblem_adventbattle_kai_season01_00001,Event,kai,adventbattle_kai_season01_00001,202509010
e,emblem_adventbattle_kai_season01_00002,Event,kai,adventbattle_kai_season01_00002,202509010
e,emblem_adventbattle_kai_season01_00003,Event,kai,adventbattle_kai_season01_00003,202509010
e,emblem_adventbattle_kai_season01_00004,Event,kai,adventbattle_kai_season01_00004,202509010
e,emblem_adventbattle_kai_season01_00005,Event,kai,adventbattle_kai_season01_00005,202509010
e,emblem_adventbattle_kai_season01_00006,Event,kai,adventbattle_kai_season01_00006,202509010
e,emblem_event_spy_00001,Event,spy,event_spy_00001,202510010
e,emblem_adventbattle_spy_season01_00001,Event,spy,adventbattle_spy_season01_00001,202510010
e,emblem_adventbattle_spy_season01_00002,Event,spy,adventbattle_spy_season01_00002,202510010
e,emblem_adventbattle_spy_season01_00003,Event,spy,adventbattle_spy_season01_00003,202510010
e,emblem_adventbattle_spy_season01_00004,Event,spy,adventbattle_spy_season01_00004,202510010
e,emblem_adventbattle_spy_season01_00005,Event,spy,adventbattle_spy_season01_00005,202510010
e,emblem_adventbattle_spy_season01_00006,Event,spy,adventbattle_spy_season01_00006,202510010
e,emblem_event_dan_00001,Event,dan,event_dan_00001,202510020
e,emblem_event_dan_00002,Event,dan,event_dan_00002,202510020
e,emblem_event_dan_00003,Event,dan,event_dan_00003,202510020
e,emblem_adventbattle_dan_season01_00001,Event,dan,adventbattle_dan_season01_00001,202510020
e,emblem_adventbattle_dan_season01_00002,Event,dan,adventbattle_dan_season01_00002,202510020
e,emblem_adventbattle_dan_season01_00003,Event,dan,adventbattle_dan_season01_00003,202510020
e,emblem_adventbattle_dan_season01_00004,Event,dan,adventbattle_dan_season01_00004,202510020
e,emblem_adventbattle_dan_season01_00005,Event,dan,adventbattle_dan_season01_00005,202510020
e,emblem_adventbattle_dan_season01_00006,Event,dan,adventbattle_dan_season01_00006,202510020
e,emblem_event_mag_00001,Event,mag,event_mag_00001,202511010
e,emblem_event_mag_00002,Event,mag,event_mag_00002,202511010
e,emblem_event_mag_00003,Event,mag,event_mag_00003,202511010
e,emblem_adventbattle_mag_season01_00001,Event,mag,adventbattle_mag_season01_00001,202511010
e,emblem_adventbattle_mag_season01_00002,Event,mag,adventbattle_mag_season01_00002,202511010
e,emblem_adventbattle_mag_season01_00003,Event,mag,adventbattle_mag_season01_00003,202511010
e,emblem_adventbattle_mag_season01_00004,Event,mag,adventbattle_mag_season01_00004,202511010
e,emblem_adventbattle_mag_season01_00005,Event,mag,adventbattle_mag_season01_00005,202511010
e,emblem_adventbattle_mag_season01_00006,Event,mag,adventbattle_mag_season01_00006,202511010
e,emblem_event_yuw_00001,Event,yuw,event_yuw_00001,202511020
e,emblem_event_yuw_00002,Event,yuw,event_yuw_00002,202511020
e,emblem_adventbattle_yuw_season01_00001,Event,yuw,adventbattle_yuw_season01_00001,202511020
e,emblem_adventbattle_yuw_season01_00002,Event,yuw,adventbattle_yuw_season01_00002,202511020
e,emblem_adventbattle_yuw_season01_00003,Event,yuw,adventbattle_yuw_season01_00003,202511020
e,emblem_adventbattle_yuw_season01_00004,Event,yuw,adventbattle_yuw_season01_00004,202511020
e,emblem_adventbattle_yuw_season01_00005,Event,yuw,adventbattle_yuw_season01_00005,202511020
e,emblem_adventbattle_yuw_season01_00006,Event,yuw,adventbattle_yuw_season01_00006,202511020
e,emblem_event_sur_00001,Event,sur,event_sur_00001,202512010
e,emblem_event_sur_00002,Event,sur,event_sur_00002,202512010
e,emblem_event_sur_00003,Event,sur,event_sur_00003,202512010
e,emblem_adventbattle_sur_season01_00001,Event,sur,adventbattle_sur_season01_00001,202512010
e,emblem_adventbattle_sur_season01_00002,Event,sur,adventbattle_sur_season01_00002,202512010
e,emblem_adventbattle_sur_season01_00003,Event,sur,adventbattle_sur_season01_00003,202512010
e,emblem_adventbattle_sur_season01_00004,Event,sur,adventbattle_sur_season01_00004,202512010
e,emblem_adventbattle_sur_season01_00005,Event,sur,adventbattle_sur_season01_00005,202512010
e,emblem_adventbattle_sur_season01_00006,Event,sur,adventbattle_sur_season01_00006,202512010
