ENABLE,release_key,id,mst_quest_id,language,name,category_name,flavor_text
e,202509010,tutorial_ja,tutorial,ja,チュートリアル,"",チュートリアル専用のステージ
e,202509010,quest_main_spy_normal_1_ja,quest_main_spy_normal_1,ja,SPY×FAMILY,"",『SPY×FAMILY』のクエスト。\n\nこのクエストでは、青属性の敵と攻撃UPコマが登場。\n黄属性のキャラとコマ効果を活用して対抗しよう。
e,202509010,quest_main_spy_hard_1_ja,quest_main_spy_hard_1,ja,SPY×FAMILY,"",『SPY×FAMILY』のクエスト。\n\nこのクエストでは、青属性の敵と攻撃UPコマが登場。\n黄属性のキャラとコマ効果を活用して対抗しよう。
e,202509010,quest_main_spy_veryhard_1_ja,quest_main_spy_veryhard_1,ja,SPY×FAMILY,"",『SPY×FAMILY』のクエスト。\n\nこのクエストでは、青属性の敵と攻撃UPコマが登場。\n黄属性のキャラとコマ効果を活用して対抗しよう。
e,202509010,quest_main_gom_normal_2_ja,quest_main_gom_normal_2,ja,姫様“拷問”の時間です,"",『姫様“拷問”の時間です』のクエスト。\n\nこのクエストでは、黄属性の敵とダメージコマが登場。\n緑属性のキャラで対抗しよう。\nダメージコマに入ったキャラはダメージを受けるから気をつけて戦おう。
e,202509010,quest_main_gom_hard_2_ja,quest_main_gom_hard_2,ja,姫様“拷問”の時間です,"",『姫様“拷問”の時間です』のクエスト。\n\nこのクエストでは、黄属性の敵とダメージコマが登場。\n緑属性のキャラで対抗しよう。\nダメージコマに入ったキャラはダメージを受けるから気をつけて戦おう。
e,202509010,quest_main_gom_veryhard_2_ja,quest_main_gom_veryhard_2,ja,姫様“拷問”の時間です,"",『姫様“拷問”の時間です』のクエスト。\n\nこのクエストでは、黄属性の敵とダメージコマが登場。\n緑属性のキャラで対抗しよう。\nダメージコマに入ったキャラはダメージを受けるから気をつけて戦おう。
e,202509010,quest_main_aka_normal_3_ja,quest_main_aka_normal_3,ja,ラーメン赤猫,"",『ラーメン赤猫』のクエスト。\n\nこのクエストでは、赤属性の敵が登場。\n青属性のキャラで対抗しよう。\n攻撃DOWNコマに入ったキャラは攻撃が下がってしまうから気をつけて戦おう。
e,202509010,quest_main_aka_hard_3_ja,quest_main_aka_hard_3,ja,ラーメン赤猫,"",『ラーメン赤猫』のクエスト。\n\nこのクエストでは、赤属性の敵が登場。\n青属性のキャラで対抗しよう。\n攻撃DOWNコマに入ったキャラは攻撃が下がってしまうから気をつけて戦おう。
e,202509010,quest_main_aka_veryhard_3_ja,quest_main_aka_veryhard_3,ja,ラーメン赤猫,"",『ラーメン赤猫』のクエスト。\n\nこのクエストでは、赤属性の敵が登場。\n青属性のキャラで対抗しよう。\n攻撃DOWNコマに入ったキャラは攻撃が下がってしまうから気をつけて戦おう。
e,202509010,quest_main_glo1_normal_4_ja,quest_main_glo1_normal_4,ja,リミックスクエスト Vol.1,"","『SPY×FAMILY』『姫様""拷問""の時間です』『ラーメン赤猫』の\n3作品のリミックスクエスト。\n\n3作品クエストの様々な敵が登場するぞ!"
e,202509010,quest_main_glo1_hard_4_ja,quest_main_glo1_hard_4,ja,リミックスクエスト Vol.1,"","『SPY×FAMILY』『姫様""拷問""の時間です』『ラーメン赤猫』の\n3作品のリミックスクエスト。\n\n3作品クエストの様々な敵が登場するぞ!"
e,202509010,quest_main_glo1_veryhard_4_ja,quest_main_glo1_veryhard_4,ja,リミックスクエスト Vol.1,"","『SPY×FAMILY』『姫様""拷問""の時間です』『ラーメン赤猫』の\n3作品のリミックスクエスト。\n\n3作品クエストの様々な敵が登場するぞ!"
e,202509010,quest_main_dan_normal_5_ja,quest_main_dan_normal_5,ja,ダンダダン,"",『ダンダダン』のクエスト。\n\nこのクエストでは、赤属性の敵が登場。\n青属性のキャラで対抗しよう。\n暗闇コマは味方キャラが侵入すると中の様子が確認できるようになる。
e,202509010,quest_main_dan_hard_5_ja,quest_main_dan_hard_5,ja,ダンダダン,"",『ダンダダン』のクエスト。\n\nこのクエストでは、赤属性の敵が登場。\n青属性のキャラで対抗しよう。\n暗闇コマは味方キャラが侵入すると中の様子が確認できるようになる。
e,202509010,quest_main_dan_veryhard_5_ja,quest_main_dan_veryhard_5,ja,ダンダダン,"",『ダンダダン』のクエスト。\n\nこのクエストでは、赤属性の敵が登場。\n青属性のキャラで対抗しよう。\n暗闇コマは味方キャラが侵入すると中の様子が確認できるようになる。
e,202509010,quest_main_jig_normal_6_ja,quest_main_jig_normal_6,ja,地獄楽,"",『地獄楽』のクエスト。\n\nこのクエストでは、「毒」攻撃や「スタン」攻撃を主にしてくるぞ。\nキャラの特性で対策して挑もう!
e,202509010,quest_main_jig_hard_6_ja,quest_main_jig_hard_6,ja,地獄楽,"",『地獄楽』のクエスト。\n\nこのクエストでは、「毒」攻撃や「スタン」攻撃を主にしてくるぞ。\nキャラの特性で対策して挑もう!
e,202509010,quest_main_jig_veryhard_6_ja,quest_main_jig_veryhard_6,ja,地獄楽,"",『地獄楽』のクエスト。\n\nこのクエストでは、「毒」攻撃や「スタン」攻撃を主にしてくるぞ。\nキャラの特性で対策して挑もう!
e,202509010,quest_main_tak_normal_7_ja,quest_main_tak_normal_7,ja,タコピーの原罪,"",『タコピーの原罪』のクエスト。\n\nこのクエストでは、様々なコマ効果が登場するぞ!\n特に暗闇コマの中には注意しよう!
e,202509010,quest_main_tak_hard_7_ja,quest_main_tak_hard_7,ja,タコピーの原罪,"",『タコピーの原罪』のクエスト。\n\nこのクエストでは、様々なコマ効果が登場するぞ!\n特に暗闇コマの中には注意しよう!
e,202509010,quest_main_tak_veryhard_7_ja,quest_main_tak_veryhard_7,ja,タコピーの原罪,"",『タコピーの原罪』のクエスト。\n\nこのクエストでは、様々なコマ効果が登場するぞ!\n特に暗闇コマの中には注意しよう!
e,202509010,quest_main_glo2_normal_8_ja,quest_main_glo2_normal_8,ja,リミックスクエスト Vol.2,"",『ダンダダン』『地獄楽』『タコピーの原罪』の\n3作品のリミックスクエスト。\n\n3作品クエストの様々な敵が登場するぞ!
e,202509010,quest_main_glo2_hard_8_ja,quest_main_glo2_hard_8,ja,リミックスクエスト Vol.2,"",『ダンダダン』『地獄楽』『タコピーの原罪』の\n3作品のリミックスクエスト。\n\n3作品クエストの様々な敵が登場するぞ!
e,202509010,quest_main_glo2_veryhard_8_ja,quest_main_glo2_veryhard_8,ja,リミックスクエスト Vol.2,"",『ダンダダン』『地獄楽』『タコピーの原罪』の\n3作品のリミックスクエスト。\n\n3作品クエストの様々な敵が登場するぞ!
e,202509010,quest_main_chi_normal_9_ja,quest_main_chi_normal_9,ja,チェンソーマン,"",『チェンソーマン』のクエスト。\n\nこのクエストでは、敵自身が体力を「回復」してくる攻撃を主にしてくるぞ!\n短期決戦に持ち込もう!
e,202509010,quest_main_chi_hard_9_ja,quest_main_chi_hard_9,ja,チェンソーマン,"",『チェンソーマン』のクエスト。\n\nこのクエストでは、敵自身が体力を「回復」してくる攻撃を主にしてくるぞ!\n短期決戦に持ち込もう!
e,202509010,quest_main_chi_veryhard_9_ja,quest_main_chi_veryhard_9,ja,チェンソーマン,"",『チェンソーマン』のクエスト。\n\nこのクエストでは、敵自身が体力を「回復」してくる攻撃を主にしてくるぞ!\n短期決戦に持ち込もう!
e,202509010,quest_main_sur_normal_10_ja,quest_main_sur_normal_10,ja,魔都精兵のスレイブ,"",『魔都精兵のスレイブ』のクエスト。\n\nこのクエストでは、「スタン」攻撃や「ノックバック」攻撃を主にしてくるぞ!\nキャラの特性で対策して挑もう!
e,202509010,quest_main_sur_hard_10_ja,quest_main_sur_hard_10,ja,魔都精兵のスレイブ,"",『魔都精兵のスレイブ』のクエスト。\n\nこのクエストでは、「スタン」攻撃や「ノックバック」攻撃を主にしてくるぞ!\nキャラの特性で対策して挑もう!
e,202509010,quest_main_sur_veryhard_10_ja,quest_main_sur_veryhard_10,ja,魔都精兵のスレイブ,"",『魔都精兵のスレイブ』のクエスト。\n\nこのクエストでは、「スタン」攻撃や「ノックバック」攻撃を主にしてくるぞ!\nキャラの特性で対策して挑もう!
e,202509010,quest_main_rik_normal_11_ja,quest_main_rik_normal_11,ja,トマトイプーのリコピン,"",『トマトイプーのリコピン』のクエスト。\n\nこのクエストでは、様々な行動をしてくるリコピンが出現!\n「ノックバック」攻撃や、「攻撃DOWN」攻撃などの攻撃を主にしてくるぞ!\n遠距離攻撃が得意なキャラが活躍するぞ!
