ENABLE,id,mst_quest_id,mst_in_game_id,stage_number,recommended_level,cost_stamina,exp,coin,prev_mst_stage_id,mst_stage_tips_group_id,auto_lap_type,max_auto_lap_count,sort_order,asset_key,mst_stage_limit_status_id,release_key,mst_artwork_fragment_drop_group_id,start_at,end_at
e,tutorial_1,tutorial,tutorial_1,1,1,0,50,0,"",1,,1,997,general_coin,"",202509010,,2024-01-01 00:00:00,2030-01-01 00:00:00
e,tutorial_2,tutorial,tutorial_2,2,1,0,50,0,"",1,,1,998,general_coin,"",202509010,,2024-01-01 00:00:00,2030-01-01 00:00:00
e,tutorial_3,tutorial,tutorial_3,3,1,0,50,0,tutorial_2,1,,1,999,general_coin,"",202509010,,2024-01-01 00:00:00,2030-01-01 00:00:00
e,normal_spy_00001,quest_main_spy_normal_1,normal_spy_00001,1,1,5,50,50,"",1,AfterClear,5,1,spy_normal_01,"",202509010,spy_a_0001,2025-05-01 12:00:00,2030-01-01 00:00:00
e,normal_spy_00002,quest_main_spy_normal_1,normal_spy_00002,2,1,5,50,50,normal_spy_00001,1,AfterClear,5,2,spy_normal_02,"",202509010,spy_a_0002,2025-05-01 12:00:00,2030-01-01 00:00:00
e,normal_spy_00003,quest_main_spy_normal_1,normal_spy_00003,3,1,5,50,50,normal_spy_00002,1,AfterClear,5,3,spy_normal_03,"",202509010,spy_a_0003,2025-05-01 12:00:00,2030-01-01 00:00:00
e,normal_spy_00004,quest_main_spy_normal_1,normal_spy_00004,4,1,5,50,50,normal_spy_00003,1,AfterClear,5,4,spy_normal_04,"",202509010,spy_a_0004,2025-05-01 12:00:00,2030-01-01 00:00:00
e,normal_spy_00005,quest_main_spy_normal_1,normal_spy_00005,5,1,5,50,50,normal_spy_00004,1,AfterClear,5,5,spy_normal_05,"",202509010,spy_a_0005,2025-05-01 12:00:00,2030-01-01 00:00:00
e,normal_spy_00006,quest_main_spy_normal_1,normal_spy_00006,6,1,5,50,50,normal_spy_00005,1,AfterClear,5,6,spy_normal_06,"",202509010,spy_a_0006,2025-05-01 12:00:00,2030-01-01 00:00:00
e,hard_spy_00001,quest_main_spy_hard_1,hard_spy_00001,1,40,20,200,300,normal_spy_00006,1,AfterClear,5,7,spy_normal_01,"",202509010,spy_b_0001,2025-05-01 12:00:00,2030-01-01 00:00:00
e,hard_spy_00002,quest_main_spy_hard_1,hard_spy_00002,2,40,20,200,300,hard_spy_00001,1,AfterClear,5,8,spy_normal_02,"",202509010,spy_b_0002,2025-05-01 12:00:00,2030-01-01 00:00:00
e,hard_spy_00003,quest_main_spy_hard_1,hard_spy_00003,3,40,20,200,300,hard_spy_00002,1,AfterClear,5,9,spy_normal_03,"",202509010,spy_b_0003,2025-05-01 12:00:00,2030-01-01 00:00:00
e,hard_spy_00004,quest_main_spy_hard_1,hard_spy_00004,4,40,20,200,300,hard_spy_00003,1,AfterClear,5,10,spy_normal_04,"",202509010,spy_b_0004,2025-05-01 12:00:00,2030-01-01 00:00:00
e,hard_spy_00005,quest_main_spy_hard_1,hard_spy_00005,5,40,20,200,300,hard_spy_00004,1,AfterClear,5,11,spy_normal_05,"",202509010,spy_b_0005,2025-05-01 12:00:00,2030-01-01 00:00:00
e,hard_spy_00006,quest_main_spy_hard_1,hard_spy_00006,6,40,20,200,300,hard_spy_00005,1,AfterClear,5,12,spy_normal_06,"",202509010,spy_b_0006,2025-05-01 12:00:00,2030-01-01 00:00:00
e,veryhard_spy_00001,quest_main_spy_veryhard_1,veryhard_spy_00001,1,60,30,300,750,hard_spy_00006,1,,1,13,spy_normal_01,"",202509010,spy_c_0001,2025-05-01 12:00:00,2030-01-01 00:00:00
e,veryhard_spy_00002,quest_main_spy_veryhard_1,veryhard_spy_00002,2,60,30,300,750,veryhard_spy_00001,1,,1,14,spy_normal_02,"",202509010,spy_c_0002,2025-05-01 12:00:00,2030-01-01 00:00:00
e,veryhard_spy_00003,quest_main_spy_veryhard_1,veryhard_spy_00003,3,60,30,300,750,veryhard_spy_00002,1,,1,15,spy_normal_03,"",202509010,spy_c_0003,2025-05-01 12:00:00,2030-01-01 00:00:00
e,veryhard_spy_00004,quest_main_spy_veryhard_1,veryhard_spy_00004,4,60,30,300,750,veryhard_spy_00003,1,,1,16,spy_normal_04,"",202509010,spy_c_0004,2025-05-01 12:00:00,2030-01-01 00:00:00
e,veryhard_spy_00005,quest_main_spy_veryhard_1,veryhard_spy_00005,5,60,30,300,750,veryhard_spy_00004,1,,1,17,spy_normal_05,"",202509010,spy_c_0005,2025-05-01 12:00:00,2030-01-01 00:00:00
