ENABLE,id,mst_quest_id,mst_unit_id,coin_bonus_rate,start_at,end_at,release_key
e,1,quest_enhance_00001,chara_kai_00101,0.1,2025-09-22 11:00:00,2025-10-22 11:59:59,202509010
e,2,quest_enhance_00001,chara_kai_00301,0.1,2025-09-22 11:00:00,2025-10-22 11:59:59,202509010
e,3,quest_enhance_00001,chara_kai_00001,0.1,2025-09-22 11:00:00,2025-10-22 11:59:59,202509010
e,4,quest_enhance_00001,chara_kai_00002,0.1,2025-09-22 11:00:00,2025-10-22 11:59:59,202509010
e,5,quest_enhance_00001,chara_kai_00201,0.1,2025-09-22 11:00:00,2025-10-22 11:59:59,202509010
e,6,quest_enhance_00001,chara_kai_00401,0.1,2025-09-22 11:00:00,2025-10-22 11:59:59,202509010
e,7,quest_enhance_00001,chara_kai_00501,0.1,2025-09-22 11:00:00,2025-10-22 11:59:59,202509010
e,8,quest_enhance_00001,chara_kai_00601,0.1,2025-09-22 11:00:00,2025-10-22 11:59:59,202509010
e,9,quest_enhance_00001,chara_spy_00001,0.1,2025-10-06 12:00:00,2025-11-06 14:59:59,202510010
e,10,quest_enhance_00001,chara_spy_00101,0.1,2025-10-06 12:00:00,2025-11-06 14:59:59,202510010
e,11,quest_enhance_00001,chara_spy_00201,0.1,2025-10-06 12:00:00,2025-11-06 14:59:59,202510010
e,12,quest_enhance_00001,chara_spy_00301,0.1,2025-10-06 12:00:00,2025-11-06 14:59:59,202510010
e,13,quest_enhance_00001,chara_spy_00401,0.1,2025-10-06 12:00:00,2025-11-06 14:59:59,202510010
e,14,quest_enhance_00001,chara_spy_00501,0.1,2025-10-06 12:00:00,2025-11-06 14:59:59,202510010
e,15,quest_enhance_00001,chara_dan_00001,0.1,2025-10-22 15:00:00,2025-11-25 14:59:59,202510020
e,16,quest_enhance_00001,chara_dan_00002,0.1,2025-10-22 15:00:00,2025-11-25 14:59:59,202510020
e,17,quest_enhance_00001,chara_dan_00101,0.1,2025-10-22 15:00:00,2025-11-25 14:59:59,202510020
e,18,quest_enhance_00001,chara_dan_00201,0.1,2025-10-22 15:00:00,2025-11-25 14:59:59,202510020
e,19,quest_enhance_00001,chara_dan_00202,0.1,2025-10-22 15:00:00,2025-11-25 14:59:59,202510020
e,20,quest_enhance_00001,chara_dan_00301,0.1,2025-10-22 15:00:00,2025-11-25 14:59:59,202510020
e,21,quest_enhance_00001,chara_mag_00001,0.1,2025-11-06 15:00:00,2025-12-08 10:59:59,202511010
e,22,quest_enhance_00001,chara_mag_00101,0.1,2025-11-06 15:00:00,2025-12-08 10:59:59,202511010
e,23,quest_enhance_00001,chara_mag_00201,0.1,2025-11-06 15:00:00,2025-12-08 10:59:59,202511010
e,24,quest_enhance_00001,chara_mag_00301,0.1,2025-11-06 15:00:00,2025-12-08 10:59:59,202511010
e,25,quest_enhance_00001,chara_mag_00401,0.1,2025-11-06 15:00:00,2025-12-08 10:59:59,202511010
e,26,quest_enhance_00001,chara_mag_00501,0.1,2025-11-06 15:00:00,2025-12-08 10:59:59,202511010
e,27,quest_enhance_00001,chara_yuw_00001,0.1,2025-11-25 15:00:00,2025-12-08 10:59:59,202511020
e,28,quest_enhance_00001,chara_yuw_00101,0.1,2025-11-25 15:00:00,2025-12-08 10:59:59,202511020
e,29,quest_enhance_00001,chara_yuw_00201,0.1,2025-11-25 15:00:00,2025-12-08 10:59:59,202511020
e,30,quest_enhance_00001,chara_yuw_00301,0.1,2025-11-25 15:00:00,2025-12-08 10:59:59,202511020
e,31,quest_enhance_00001,chara_yuw_00401,0.1,2025-11-25 15:00:00,2025-12-08 10:59:59,202511020
e,32,quest_enhance_00001,chara_yuw_00501,0.1,2025-11-25 15:00:00,2025-12-08 10:59:59,202511020
e,33,quest_enhance_00001,chara_yuw_00601,0.1,2025-11-25 15:00:00,2025-12-08 10:59:59,202511020
e,34,quest_enhance_00001,chara_yuw_00301,0.2,2025-12-08 15:00:00,2025-12-31 23:59:59,202512010
e,35,quest_enhance_00001,chara_yuw_00401,0.2,2025-12-08 15:00:00,2025-12-31 23:59:59,202512010
e,36,quest_enhance_00001,chara_yuw_00001,0.15,2025-12-08 15:00:00,2025-12-31 23:59:59,202512010
e,37,quest_enhance_00001,chara_yuw_00101,0.15,2025-12-08 15:00:00,2025-12-31 23:59:59,202512010
