ENABLE,release_key,id,mst_mission_daily_id,language,description
e,202509010,daily_2_1_ja,daily_2_1,ja,ログインしよう
e,202509010,daily_2_2_ja,daily_2_2,ja,"コインを累計2,000枚集めよう"
e,202509010,daily_2_3_ja,daily_2_3,ja,探索で探索報酬を累計1回受け取ろう
e,202509010,daily_2_4_ja,daily_2_4,ja,探索でクイック探索を累計1回行おう
e,202509010,daily_2_5_ja,daily_2_5,ja,ランクマッチに累計1回挑戦しよう
e,202509010,daily_2_6_ja,daily_2_6,ja,スペシャルガシャを累計1回引こう
e,202509010,daily_bonus_point_2_1_ja,daily_bonus_point_2_1,ja,累計ポイントを20貯めよう
e,202509010,daily_bonus_point_2_2_ja,daily_bonus_point_2_2,ja,累計ポイントを40貯めよう
e,202509010,daily_bonus_point_2_3_ja,daily_bonus_point_2_3,ja,累計ポイントを60貯めよう
e,202509010,daily_bonus_point_2_4_ja,daily_bonus_point_2_4,ja,累計ポイントを80貯めよう
e,202509010,daily_bonus_point_2_5_ja,daily_bonus_point_2_5,ja,累計ポイントを100貯めよう
