ENABLE,id,opr_gacha_id,cost_type,cost_id,cost_num,draw_count,cost_priority,release_key
e,1,Tutorial_001,Diamond,"",0,10,1,202509010
e,2,Special_001,Ad,"",1,1,1,202509010
e,3,Special_001,Item,ticket_glo_00002,1,1,2,202509010
e,4,Special_001,Diamond,"",150,1,3,202509010
e,5,Special_001,Diamond,"",1500,10,3,202509010
e,7,Pickup_kai_001,Item,ticket_glo_00003,1,1,2,202509010
e,8,Pickup_kai_001,Diamond,"",150,1,3,202509010
e,9,Pickup_kai_001,Diamond,"",1500,10,3,202509010
e,10,Premiummedal_001,Item,ticket_glo_90000,1,1,1,202509010
e,12,UR_10Ticket_001,Item,ticket_glo_00203,1,10,1,202509010
e,13,StartDash_001,PaidDiamond,"",1500,10,1,202509010
e,16,StartDash_Ticket_001,Item,ticket_glo_00206,1,10,1,202509010
e,17,Pickup_spy_001,Item,ticket_glo_00003,1,1,2,202510010
e,18,Pickup_spy_001,Diamond,"",150,1,3,202510010
e,19,Pickup_spy_001,Diamond,"",1500,10,3,202510010
e,20,Pickup_spy_002,Item,ticket_glo_00003,1,1,2,202510010
e,21,Pickup_spy_002,Diamond,"",150,1,3,202510010
e,22,Pickup_spy_002,Diamond,"",1500,10,3,202510010
e,23,Pickup_mag_001,Item,ticket_glo_00003,1,1,2,202511010
e,24,Pickup_mag_001,Diamond,"",150,1,3,202511010
e,25,Pickup_mag_001,Diamond,"",1500,10,3,202511010
e,26,Pickup_mag_002,Item,ticket_glo_00003,1,1,2,202511010
e,27,Pickup_mag_002,Diamond,"",150,1,3,202511010
e,28,Pickup_mag_002,Diamond,"",1500,10,3,202511010
e,29,Pickup_dan_001,Item,ticket_glo_00003,1,1,2,202510020
e,30,Pickup_dan_001,Diamond,"",150,1,3,202510020
e,31,Pickup_dan_001,Diamond,"",1500,10,3,202510020
e,32,Pickup_dan_002,Item,ticket_glo_00003,1,1,2,202510020
e,33,Pickup_dan_002,Diamond,"",150,1,3,202510020
e,34,Pickup_dan_002,Diamond,"",1500,10,3,202510020
e,37,Pickup_yuw_001,Item,ticket_glo_00003,1,1,2,202511020
e,38,Pickup_yuw_001,Diamond,"",150,1,3,202511020
e,39,Pickup_yuw_001,Diamond,"",1500,10,3,202511020
e,40,Pickup_yuw_002,Item,ticket_glo_00003,1,1,2,202511020
e,41,Pickup_yuw_002,Diamond,"",150,1,3,202511020
e,42,Pickup_yuw_002,Diamond,"",1500,10,3,202511020
e,43,Pickup_sur_001,Item,ticket_glo_00003,1,1,2,202512010
e,44,Pickup_sur_001,Diamond,"",150,1,3,202512010
e,45,Pickup_sur_001,Diamond,"",1500,10,3,202512010
e,46,Pickup_sur_002,Item,ticket_glo_00003,1,1,2,202512010
e,47,Pickup_sur_002,Diamond,"",150,1,3,202512010
e,48,Pickup_sur_002,Diamond,"",1500,10,3,202512010
e,49,Fest_Xmas_001,Item,ticket_glo_00004,1,1,2,202512015
e,50,Fest_Xmas_001,Diamond,"",150,1,3,202512015
e,51,Fest_Xmas_001,Diamond,"",1500,10,3,202512015
