ENABLE,id,gacha_type,upper_group,enable_ad_play,enable_add_ad_play_upper,ad_play_interval_time,multi_draw_count,multi_fixed_prize_count,daily_play_limit_count,total_play_limit_count,daily_ad_limit_count,total_ad_limit_count,prize_group_id,fixed_prize_group_id,appearance_condition,unlock_condition_type,unlock_duration_hours,start_at,end_at,display_information_id,dev-qa_display_information_id,display_gacha_caution_id,gacha_priority,release_key
e,Tutorial_001,Tutorial,"","","",,10,1,,,0,,Tutorial_001,fixd_Tutorial_001,Always,None,,2025-04-01 04:00:00,2038-01-01 00:00:00,"","","",100,202509010
e,Special_001,Premium,Special_001,1,1,,10,1,,,1,,Special_001,fixd_Special_001,Always,None,,2025-04-01 04:00:00,2038-01-01 00:00:00,"","",93ce5e4c-6cd3-41e0-bb23-0f49b8e0dcce,3,202509010
e,Pickup_kai_001,Pickup,Pickup_kai_001,"","",,10,1,,,0,,Pickup_kai_001,fixd_Pickup_kai_001,Always,None,,2025-09-24 14:00:00,2025-10-22 11:59:59,9ea21da9-3bfe-4ecd-8f90-df4f446c23af,9ea21da9-3bfe-4ecd-8f90-df4f446c23af,1796f733-8ee6-41b4-af4e-44c2118e50e4,50,202509010
e,Premiummedal_001,Medal,Premiummedal_001,"","",,10,0,,,0,,Premiummedal_001,,Always,None,,2025-04-01 04:00:00,2038-01-01 00:00:00,"","","",1,202509010
e,UR_10Ticket_001,Ticket,"","","",,10,1,,,0,,UR_10Ticket_001,fixd_UR_10Ticket_001,HasTicket,None,,2025-09-24 14:00:00,2038-01-01 00:00:00,eb55ce65-d9a3-4f43-8656-e0c70cd20f92,eb55ce65-d9a3-4f43-8656-e0c70cd20f92,9a54609a-1bb7-4b9f-85b0-57974c950290,10,202509010
e,StartDash_001,PaidOnly,"","","",,10,1,,10,0,,Special_001,fixd_UR_10Ticket_001,Always,MainPartTutorialComplete,72,2025-04-01 04:00:00,2038-01-01 00:00:00,7276eb05-9f9c-4615-83c4-05908e8dc1d5,7276eb05-9f9c-4615-83c4-05908e8dc1d5,dd2c0a61-3be3-478c-bfe6-481c54dd6834,100,202509010
e,StartDash_Ticket_001,Ticket,"","","",,10,1,,,0,,Special_001,fixd_UR_10Ticket_001,HasTicket,None,,2025-04-01 04:00:00,2038-01-01 00:00:00,9eabd624-11c6-4245-9198-947037023c5a,9eabd624-11c6-4245-9198-947037023c5a,dd2c0a61-3be3-478c-bfe6-481c54dd6834,100,202509010
e,Pickup_spy_001,Pickup,Pickup_spy_001,"","",,10,1,,,0,,Pickup_spy_001,fixd_Pickup_spy_001,Always,None,,2025-10-06 15:00:00,2025-11-06 14:59:59,61a2d189-64ef-4df9-89fa-390b80f6e9d4,61a2d189-64ef-4df9-89fa-390b80f6e9d4,df73d632-45e0-41e0-8a68-8473d987c3eb,52,202510010
e,Pickup_spy_002,Pickup,Pickup_spy_002,"","",,10,1,,,0,,Pickup_spy_002,fixd_Pickup_spy_002,Always,None,,2025-10-06 15:00:00,2025-11-06 14:59:59,97d07eef-63ea-4262-a249-7816e7c4a64f,97d07eef-63ea-4262-a249-7816e7c4a64f,c134dedb-6ee5-4fda-932c-8646a46cd694,51,202510010
e,Pickup_mag_001,Pickup,Pickup_mag_001,"","",,10,1,,,0,,Pickup_mag_001,fixd_Pickup_mag_001,Always,None,,2025-11-06 15:00:00,2025-12-08 10:59:59,10c6a187-bd25-4172-bd1d-4c5865f7bdd7,10c6a187-bd25-4172-bd1d-4c5865f7bdd7,ac27c4fd-d14f-4005-b82d-ee73692c0efc,56,202511010
