ENABLE,release_key,id,mst_stage_id,language,name,category_name
e,202509010,tutorial_1_ja,tutorial_1,ja,チュートリアルステージ1,""
e,202509010,tutorial_2_ja,tutorial_2,ja,チュートリアルステージ2,""
e,202509010,tutorial_3_ja,tutorial_3,ja,チュートリアルステージ3,""
e,202509010,normal_spy_00001_ja,normal_spy_00001,ja,SPY×FAMILY,""
e,202509010,normal_spy_00002_ja,normal_spy_00002,ja,SPY×FAMILY,""
e,202509010,normal_spy_00003_ja,normal_spy_00003,ja,SPY×FAMILY,""
e,202509010,normal_spy_00004_ja,normal_spy_00004,ja,SPY×FAMILY,""
e,202509010,normal_spy_00005_ja,normal_spy_00005,ja,SPY×FAMILY,""
e,202509010,normal_spy_00006_ja,normal_spy_00006,ja,SPY×FAMILY,""
e,202509010,hard_spy_00001_ja,hard_spy_00001,ja,SPY×FAMILY,""
e,202509010,hard_spy_00002_ja,hard_spy_00002,ja,SPY×FAMILY,""
e,202509010,hard_spy_00003_ja,hard_spy_00003,ja,SPY×FAMILY,""
e,202509010,hard_spy_00004_ja,hard_spy_00004,ja,SPY×FAMILY,""
e,202509010,hard_spy_00005_ja,hard_spy_00005,ja,SPY×FAMILY,""
e,202509010,hard_spy_00006_ja,hard_spy_00006,ja,SPY×FAMILY,""
e,202509010,veryhard_spy_00001_ja,veryhard_spy_00001,ja,SPY×FAMILY,""
e,202509010,veryhard_spy_00002_ja,veryhard_spy_00002,ja,SPY×FAMILY,""
e,202509010,veryhard_spy_00003_ja,veryhard_spy_00003,ja,SPY×FAMILY,""
e,202509010,veryhard_spy_00004_ja,veryhard_spy_00004,ja,SPY×FAMILY,""
e,202509010,veryhard_spy_00005_ja,veryhard_spy_00005,ja,SPY×FAMILY,""
e,202509010,veryhard_spy_00006_ja,veryhard_spy_00006,ja,SPY×FAMILY,""
e,202509010,normal_gom_00001_ja,normal_gom_00001,ja,姫様“拷問”の時間です,""
e,202509010,normal_gom_00002_ja,normal_gom_00002,ja,姫様“拷問”の時間です,""
e,202509010,normal_gom_00003_ja,normal_gom_00003,ja,姫様“拷問”の時間です,""
