運営仕様書名,フォルダパス,対応テーブル
GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理,MstEvent
GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理,MstUnit
GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理,MstQuest
GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理,OprGacha
GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理,MstArtwork
GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理,MstEmblem
GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理,MstItem
GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理,MstHomeBanner
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstUnitI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstSpecialAttackI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstSpeechBalloonI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstEventDisplayUnitI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstEnemyCharacterI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstQuestI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstStageI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstEventI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstAdventBattleI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstArtworkI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstArtworkFragmentI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstEmblemI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstInGameI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstAbilityI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstAttackI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstItemI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstPvpI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,OprGachaI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,OprGachaDisplayUnitI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstStoreProductI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,OprProductI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstPackI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstMissionEventI18n
GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料,MstMissionLimitedTermI18n
